v20defThreshold;v22defThreshold;v25defThreshold;Tot;OK;KO;PercentOK;Wilson95Lower;NoAUTot;NoAUOK;NoAUKO;NoAUPercentOK;NoAUWilson95Lower;Months;WorstMonthPercentOK;MonthsBelow70;Rank
69.0;60.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;1
69.0;61.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;2
69.0;62.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;3
69.0;63.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;4
69.0;64.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;5
69.0;65.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;6
69.0;66.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;7
69.0;67.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;8
69.0;68.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;9
69.0;69.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;10
69.0;70.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;11
69.0;71.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;12
69.0;72.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;13
69.0;73.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;14
69.0;74.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;15
69.0;75.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;16
69.0;76.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;17
69.0;77.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;18
69.0;78.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;19
69.0;79.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;20
69.0;80.0;80.0;194;157;37;80.93;74.8199;159;130;29;81.76;75.0333;2;72.88;0;21
69.0;80.0;60.0;195;157;38;80.51;74.3862;159;130;29;81.76;75.0333;2;71.67;0;22
69.0;80.0;61.0;195;157;38;80.51;74.3862;159;130;29;81.76;75.0333;2;71.67;0;23
69.0;80.0;62.0;195;157;38;80.51;74.3862;159;130;29;81.76;75.0333;2;71.67;0;24
69.0;80.0;63.0;195;157;38;80.51;74.3862;159;130;29;81.76;75.0333;2;71.67;0;25
69.0;80.0;64.0;195;157;38;80.51;74.3862;159;130;29;81.76;75.0333;2;71.67;0;26
69.0;80.0;65.0;195;157;38;80.51;74.3862;159;130;29;81.76;75.0333;2;71.67;0;27
69.0;80.0;66.0;195;157;38;80.51;74.3862;159;130;29;81.76;75.0333;2;71.67;0;28
69.0;80.0;67.0;195;157;38;80.51;74.3862;159;130;29;81.76;75.0333;2;71.67;0;29
69.0;80.0;68.0;195;157;38;80.51;74.3862;159;130;29;81.76;75.0333;2;71.67;0;30
