StrongDefenseThreshold;LowRecentPPGThreshold;VulnerableDefenseThreshold;HighRecentPPGThreshold;StrongDefenseWeight;RecentFormWeight;RestartWeight;VulnerableDefensesBonusWeight;StrongRecentFormBonusWeight;RestartReadyBonusWeight;MaxTotalPenalty;MaxTotalBonus;BaselineAltaOK;BaselineAltaKO;BaselineAltaTotal;BaselineAltaPrecision;SimulatedAltaOK;SimulatedAltaKO;SimulatedAltaTotal;SimulatedAltaPrecision;AltaCoverage;AltaKOAvoided;AltaOKLost;ProtectiveBalance;AltaOKPromoted;AltaKOPromoted;PromotionBalance;NetGain;Stage;Accepted
6.0;0.4;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.4;8.0;1.4;0.5;0.5;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.4;8.0;1.4;0.5;1.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.4;8.0;1.4;0.5;1.5;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.4;8.0;1.4;0.5;2.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.5;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.5;8.0;1.4;0.5;0.5;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.5;8.0;1.4;0.5;1.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.5;8.0;1.4;0.5;1.5;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.5;8.0;1.4;0.5;2.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.6;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.7;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.8;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;0.9;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;1.0;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;65;255;74.5098;96.2264;5;5;0;0;0;0;0;recent_form;NO
6.0;1.0;8.0;1.4;0.5;1.5;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;188;64;252;74.6032;95.0943;6;7;-1;0;0;0;-1;recent_form;NO
6.0;1.0;8.0;1.4;0.5;2.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;188;64;252;74.6032;95.0943;6;7;-1;0;0;0;-1;recent_form;NO
6.0;0.6;8.0;1.4;0.5;0.5;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;189;65;254;74.4094;95.8491;5;6;-1;0;0;0;-1;recent_form;NO
6.0;0.6;8.0;1.4;0.5;1.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;189;65;254;74.4094;95.8491;5;6;-1;0;0;0;-1;recent_form;NO
6.0;0.6;8.0;1.4;0.5;1.5;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;189;65;254;74.4094;95.8491;5;6;-1;0;0;0;-1;recent_form;NO
6.0;0.6;8.0;1.4;0.5;2.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;189;65;254;74.4094;95.8491;5;6;-1;0;0;0;-1;recent_form;NO
6.0;0.7;8.0;1.4;0.5;0.5;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;189;65;254;74.4094;95.8491;5;6;-1;0;0;0;-1;recent_form;NO
6.0;0.7;8.0;1.4;0.5;1.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;189;65;254;74.4094;95.8491;5;6;-1;0;0;0;-1;recent_form;NO
6.0;0.7;8.0;1.4;0.5;1.5;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;189;65;254;74.4094;95.8491;5;6;-1;0;0;0;-1;recent_form;NO
