Maturity;Rule;OK;N;HitRate;PositiveMonths;NegativeMonths;Months
5-6;GF14_GA19;145;187;77.54;6;1;7
5-6;GF16_GA19;108;139;77.7;5;2;7
5-6;L5OVER70_DGF20;23;32;71.88;3;2;5
5-6;L5OVER70_DGF30;5;8;62.5;1;1;2
5-6;L7OVER70_DGF30;8;10;80.0;2;0;2
5-8;GF14_GA19;249;320;77.81;7;0;7
5-8;GF16_GA19;180;229;78.6;6;1;7
5-8;L5OVER70_DGF20;109;134;81.34;7;0;7
5-8;L5OVER70_DGF30;54;65;83.08;6;0;6
5-8;L7OVER70_DGF30;73;86;84.88;6;0;6
7-8;GF14_GA19;104;133;78.2;7;0;7
7-8;GF16_GA19;72;90;80.0;6;0;6
7-8;L5OVER70_DGF20;86;102;84.31;6;0;6
7-8;L5OVER70_DGF30;49;57;85.96;6;0;6
7-8;L7OVER70_DGF30;65;76;85.53;6;0;6
