Engine;Metric;Rule;Threshold;Baseline_OK;Baseline_KO;Baseline_Total;Baseline_HitRate;OK;KO;Total;HitRate;DeltaVsBaseline;KO_Rate;AbsoluteDrop
v20;SEASON;AWAY_STRONG;0.8;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0;83.3333
v20;SEASON;AWAY_STRONG;1.0;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0;83.3333
v20;SEASON;AWAY_STRONG;1.1;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0;83.3333
v20;SEASON;AWAY_STRONG;1.2;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0;83.3333
v20;SEASON;AWAY_STRONG;1.3;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0;83.3333
v20;SEASON;AWAY_STRONG;1.4;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0;83.3333
v20;SEASON;AWAY_STRONG;1.5;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0;83.3333
v20;SEASON;AWAY_STRONG;1.6;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0;83.3333
v20;LAST5;AWAY_STRONG;0.8;95;19;114;83.3333;0;1;1;0.0;-83.3333;100.0;83.3333
v26;LAST5;BOTH_STRONG;0.8;143;44;187;76.4706;0;1;1;0.0;-76.4706;100.0;76.4706
v20;LAST5;AWAY_STRONG;1.2;95;19;114;83.3333;1;2;3;33.3333;-50.0;66.6667;50.0
v20;LAST5;AWAY_STRONG;1.3;95;19;114;83.3333;1;2;3;33.3333;-50.0;66.6667;50.0
v20;LAST5;AWAY_STRONG;1.0;95;19;114;83.3333;1;1;2;50.0;-33.3333;50.0;33.3333
v20;LAST5;AWAY_STRONG;1.1;95;19;114;83.3333;1;1;2;50.0;-33.3333;50.0;33.3333
v20;LAST5;BOTH_STRONG;1.4;95;19;114;83.3333;1;1;2;50.0;-33.3333;50.0;33.3333
v20;LAST5;BOTH_STRONG;1.5;95;19;114;83.3333;1;1;2;50.0;-33.3333;50.0;33.3333
v26;SEASON;BOTH_STRONG;1.6;143;44;187;76.4706;5;5;10;50.0;-26.4706;50.0;26.4706
v26;LAST5;BOTH_STRONG;1.2;143;44;187;76.4706;4;4;8;50.0;-26.4706;50.0;26.4706
v26;LAST5;BOTH_STRONG;1.3;143;44;187;76.4706;4;4;8;50.0;-26.4706;50.0;26.4706
v26;SEASON;BOTH_STRONG;1.5;143;44;187;76.4706;2;2;4;50.0;-26.4706;50.0;26.4706
v26;LAST5;BOTH_STRONG;1.0;143;44;187;76.4706;2;2;4;50.0;-26.4706;50.0;26.4706
v26;LAST5;BOTH_STRONG;1.1;143;44;187;76.4706;2;2;4;50.0;-26.4706;50.0;26.4706
v26;SEASON;BOTH_STRONG;1.4;143;44;187;76.4706;1;1;2;50.0;-26.4706;50.0;26.4706
v20;LAST5;AWAY_STRONG;1.4;95;19;114;83.3333;4;3;7;57.1429;-26.1904;42.8571;26.1904
v20;LAST5;AWAY_STRONG;1.5;95;19;114;83.3333;4;3;7;57.1429;-26.1904;42.8571;26.1904
v20;SEASON;AT_LEAST_ONE_STRONG;0.8;95;19;114;83.3333;3;2;5;60.0;-23.3333;40.0;23.3333
v26;LAST5;AWAY_STRONG;1.0;143;44;187;76.4706;15;13;28;53.5714;-22.8992;46.4286;22.8992
v26;LAST5;AWAY_STRONG;1.1;143;44;187;76.4706;15;13;28;53.5714;-22.8992;46.4286;22.8992
v26;SEASON;AWAY_STRONG;1.1;143;44;187;76.4706;6;5;11;54.5455;-21.9251;45.4545;21.9251
v20;LAST5;AWAY_STRONG;1.6;95;19;114;83.3333;8;5;13;61.5385;-21.7948;38.4615;21.7948
v26;LAST5;AWAY_STRONG;0.8;143;44;187;76.4706;10;8;18;55.5556;-20.915;44.4444;20.915
v26;SEASON;AWAY_STRONG;1.2;143;44;187;76.4706;11;8;19;57.8947;-18.5759;42.1053;18.5759
v26;LAST5;BOTH_STRONG;1.6;143;44;187;76.4706;15;10;25;60.0;-16.4706;40.0;16.4706
v26;LAST5;BOTH_STRONG;1.4;143;44;187;76.4706;9;6;15;60.0;-16.4706;40.0;16.4706
v26;LAST5;BOTH_STRONG;1.5;143;44;187;76.4706;9;6;15;60.0;-16.4706;40.0;16.4706
v26;SEASON;AWAY_STRONG;1.0;143;44;187;76.4706;5;3;8;62.5;-13.9706;37.5;13.9706
v26;LAST5;AWAY_STRONG;1.2;143;44;187;76.4706;26;15;41;63.4146;-13.056;36.5854;13.056
v26;LAST5;AWAY_STRONG;1.3;143;44;187;76.4706;26;15;41;63.4146;-13.056;36.5854;13.056
v22;LAST5;BOTH_STRONG;0.8;482;181;663;72.6998;3;2;5;60.0;-12.6998;40.0;12.6998
v25;LAST5;BOTH_STRONG;0.8;482;181;663;72.6998;3;2;5;60.0;-12.6998;40.0;12.6998
v26;LAST5;AT_LEAST_ONE_STRONG;1.0;143;44;187;76.4706;32;18;50;64.0;-12.4706;36.0;12.4706
v26;LAST5;AT_LEAST_ONE_STRONG;1.1;143;44;187;76.4706;32;18;50;64.0;-12.4706;36.0;12.4706
v26;SEASON;AT_LEAST_ONE_STRONG;1.1;143;44;187;76.4706;18;10;28;64.2857;-12.1849;35.7143;12.1849
v20;LAST5;BOTH_STRONG;1.6;95;19;114;83.3333;5;2;7;71.4286;-11.9047;28.5714;11.9047
v26;LAST5;AWAY_STRONG;1.6;143;44;187;76.4706;53;29;82;64.6341;-11.8365;35.3659;11.8365
v26;SEASON;AWAY_STRONG;1.3;143;44;187;76.4706;17;9;26;65.3846;-11.086;34.6154;11.086
v22;LAST5;AWAY_STRONG;1.0;482;181;663;72.6998;50;31;81;61.7284;-10.9714;38.2716;10.9714
v22;LAST5;AWAY_STRONG;1.1;482;181;663;72.6998;50;31;81;61.7284;-10.9714;38.2716;10.9714
v25;LAST5;AWAY_STRONG;1.0;482;181;663;72.6998;50;31;81;61.7284;-10.9714;38.2716;10.9714
v25;LAST5;AWAY_STRONG;1.1;482;181;663;72.6998;50;31;81;61.7284;-10.9714;38.2716;10.9714
v26;SEASON;AWAY_STRONG;1.4;143;44;187;76.4706;23;12;35;65.7143;-10.7563;34.2857;10.7563
v22;LAST5;BOTH_STRONG;1.4;482;181;663;72.6998;31;19;50;62.0;-10.6998;38.0;10.6998
v22;LAST5;BOTH_STRONG;1.5;482;181;663;72.6998;31;19;50;62.0;-10.6998;38.0;10.6998
v25;LAST5;BOTH_STRONG;1.4;482;181;663;72.6998;31;19;50;62.0;-10.6998;38.0;10.6998
v25;LAST5;BOTH_STRONG;1.5;482;181;663;72.6998;31;19;50;62.0;-10.6998;38.0;10.6998
v26;SEASON;AT_LEAST_ONE_STRONG;1.2;143;44;187;76.4706;29;15;44;65.9091;-10.5615;34.0909;10.5615
v22;LAST5;AWAY_STRONG;0.8;482;181;663;72.6998;27;16;43;62.7907;-9.9091;37.2093;9.9091
v25;LAST5;AWAY_STRONG;0.8;482;181;663;72.6998;27;16;43;62.7907;-9.9091;37.2093;9.9091
v26;LAST5;AWAY_STRONG;1.4;143;44;187;76.4706;42;21;63;66.6667;-9.8039;33.3333;9.8039
v26;LAST5;AWAY_STRONG;1.5;143;44;187;76.4706;42;21;63;66.6667;-9.8039;33.3333;9.8039
v20;SEASON;AT_LEAST_ONE_STRONG;1.3;95;19;114;83.3333;25;9;34;73.5294;-9.8039;26.4706;9.8039
v20;LAST5;AT_LEAST_ONE_STRONG;1.2;95;19;114;83.3333;31;11;42;73.8095;-9.5238;26.1905;9.5238
v20;LAST5;AT_LEAST_ONE_STRONG;1.3;95;19;114;83.3333;31;11;42;73.8095;-9.5238;26.1905;9.5238
v26;SEASON;AWAY_STRONG;1.5;143;44;187;76.4706;33;16;49;67.3469;-9.1237;32.6531;9.1237
v26;LAST5;AT_LEAST_ONE_STRONG;0.8;143;44;187;76.4706;23;11;34;67.6471;-8.8235;32.3529;8.8235
v22;LAST5;BOTH_STRONG;1.6;482;181;663;72.6998;62;35;97;63.9175;-8.7823;36.0825;8.7823
v25;LAST5;BOTH_STRONG;1.6;482;181;663;72.6998;62;35;97;63.9175;-8.7823;36.0825;8.7823
v22;SEASON;BOTH_STRONG;1.6;482;181;663;72.6998;32;18;50;64.0;-8.6998;36.0;8.6998
v25;SEASON;BOTH_STRONG;1.6;482;181;663;72.6998;32;18;50;64.0;-8.6998;36.0;8.6998
v22;LAST5;AWAY_STRONG;1.6;482;181;663;72.6998;170;95;265;64.1509;-8.5489;35.8491;8.5489
v25;LAST5;AWAY_STRONG;1.6;482;181;663;72.6998;170;95;265;64.1509;-8.5489;35.8491;8.5489
v22;LAST5;BOTH_STRONG;1.0;482;181;663;72.6998;9;5;14;64.2857;-8.4141;35.7143;8.4141
v22;LAST5;BOTH_STRONG;1.1;482;181;663;72.6998;9;5;14;64.2857;-8.4141;35.7143;8.4141
v25;LAST5;BOTH_STRONG;1.0;482;181;663;72.6998;9;5;14;64.2857;-8.4141;35.7143;8.4141
v25;LAST5;BOTH_STRONG;1.1;482;181;663;72.6998;9;5;14;64.2857;-8.4141;35.7143;8.4141
v20;SEASON;HOME_STRONG;0.8;95;19;114;83.3333;3;1;4;75.0;-8.3333;25.0;8.3333
v22;LAST5;AWAY_STRONG;1.4;482;181;663;72.6998;124;67;191;64.9215;-7.7783;35.0785;7.7783
v22;LAST5;AWAY_STRONG;1.5;482;181;663;72.6998;124;67;191;64.9215;-7.7783;35.0785;7.7783
v25;LAST5;AWAY_STRONG;1.4;482;181;663;72.6998;124;67;191;64.9215;-7.7783;35.0785;7.7783
v25;LAST5;AWAY_STRONG;1.5;482;181;663;72.6998;124;67;191;64.9215;-7.7783;35.0785;7.7783
v20;SEASON;HOME_STRONG;1.3;95;19;114;83.3333;25;8;33;75.7576;-7.5757;24.2424;7.5757
v20;LAST5;AT_LEAST_ONE_STRONG;1.0;95;19;114;83.3333;19;6;25;76.0;-7.3333;24.0;7.3333
v20;LAST5;AT_LEAST_ONE_STRONG;1.1;95;19;114;83.3333;19;6;25;76.0;-7.3333;24.0;7.3333
v22;LAST5;AT_LEAST_ONE_STRONG;1.0;482;181;663;72.6998;102;53;155;65.8065;-6.8933;34.1935;6.8933
v22;LAST5;AT_LEAST_ONE_STRONG;1.1;482;181;663;72.6998;102;53;155;65.8065;-6.8933;34.1935;6.8933
v25;LAST5;AT_LEAST_ONE_STRONG;1.0;482;181;663;72.6998;102;53;155;65.8065;-6.8933;34.1935;6.8933
v25;LAST5;AT_LEAST_ONE_STRONG;1.1;482;181;663;72.6998;102;53;155;65.8065;-6.8933;34.1935;6.8933
v20;LAST5;AT_LEAST_ONE_STRONG;0.8;95;19;114;83.3333;13;4;17;76.4706;-6.8627;23.5294;6.8627
v20;SEASON;AT_LEAST_ONE_STRONG;1.4;95;19;114;83.3333;33;10;43;76.7442;-6.5891;23.2558;6.5891
v20;LAST5;HOME_STRONG;1.2;95;19;114;83.3333;30;9;39;76.9231;-6.4102;23.0769;6.4102
v20;LAST5;HOME_STRONG;1.3;95;19;114;83.3333;30;9;39;76.9231;-6.4102;23.0769;6.4102
v22;LAST5;AWAY_STRONG;1.2;482;181;663;72.6998;85;43;128;66.4062;-6.2936;33.5938;6.2936
v22;LAST5;AWAY_STRONG;1.3;482;181;663;72.6998;85;43;128;66.4062;-6.2936;33.5938;6.2936
v25;LAST5;AWAY_STRONG;1.2;482;181;663;72.6998;85;43;128;66.4062;-6.2936;33.5938;6.2936
v25;LAST5;AWAY_STRONG;1.3;482;181;663;72.6998;85;43;128;66.4062;-6.2936;33.5938;6.2936
v26;SEASON;AWAY_STRONG;1.6;143;44;187;76.4706;45;19;64;70.3125;-6.1581;29.6875;6.1581
v22;SEASON;AWAY_STRONG;1.4;482;181;663;72.6998;80;40;120;66.6667;-6.0331;33.3333;6.0331
v25;SEASON;AWAY_STRONG;1.4;482;181;663;72.6998;80;40;120;66.6667;-6.0331;33.3333;6.0331
v22;SEASON;AWAY_STRONG;1.1;482;181;663;72.6998;24;12;36;66.6667;-6.0331;33.3333;6.0331
v25;SEASON;AWAY_STRONG;1.1;482;181;663;72.6998;24;12;36;66.6667;-6.0331;33.3333;6.0331
v22;SEASON;BOTH_STRONG;1.5;482;181;663;72.6998;20;10;30;66.6667;-6.0331;33.3333;6.0331
v25;SEASON;BOTH_STRONG;1.5;482;181;663;72.6998;20;10;30;66.6667;-6.0331;33.3333;6.0331
v22;LAST5;BOTH_STRONG;1.2;482;181;663;72.6998;18;9;27;66.6667;-6.0331;33.3333;6.0331
v22;LAST5;BOTH_STRONG;1.3;482;181;663;72.6998;18;9;27;66.6667;-6.0331;33.3333;6.0331
v25;LAST5;BOTH_STRONG;1.2;482;181;663;72.6998;18;9;27;66.6667;-6.0331;33.3333;6.0331
v25;LAST5;BOTH_STRONG;1.3;482;181;663;72.6998;18;9;27;66.6667;-6.0331;33.3333;6.0331
v26;SEASON;HOME_STRONG;1.1;143;44;187;76.4706;12;5;17;70.5882;-5.8824;29.4118;5.8824
v26;LAST5;AT_LEAST_ONE_STRONG;1.2;143;44;187;76.4706;53;22;75;70.6667;-5.8039;29.3333;5.8039
v26;LAST5;AT_LEAST_ONE_STRONG;1.3;143;44;187;76.4706;53;22;75;70.6667;-5.8039;29.3333;5.8039
v20;SEASON;AT_LEAST_ONE_STRONG;1.5;95;19;114;83.3333;38;11;49;77.551;-5.7823;22.449;5.7823
v22;SEASON;AWAY_STRONG;1.3;482;181;663;72.6998;53;26;79;67.0886;-5.6112;32.9114;5.6112
v25;SEASON;AWAY_STRONG;1.3;482;181;663;72.6998;53;26;79;67.0886;-5.6112;32.9114;5.6112
v22;SEASON;AWAY_STRONG;1.6;482;181;663;72.6998;136;66;202;67.3267;-5.3731;32.6733;5.3731
v25;SEASON;AWAY_STRONG;1.6;482;181;663;72.6998;136;66;202;67.3267;-5.3731;32.6733;5.3731
v20;SEASON;AT_LEAST_ONE_STRONG;1.6;95;19;114;83.3333;46;13;59;77.9661;-5.3672;22.0339;5.3672
v26;SEASON;AT_LEAST_ONE_STRONG;1.3;143;44;187;76.4706;42;17;59;71.1864;-5.2842;28.8136;5.2842
v22;SEASON;AWAY_STRONG;1.5;482;181;663;72.6998;110;53;163;67.4847;-5.2151;32.5153;5.2151
v25;SEASON;AWAY_STRONG;1.5;482;181;663;72.6998;110;53;163;67.4847;-5.2151;32.5153;5.2151
v20;LAST5;HOME_STRONG;1.0;95;19;114;83.3333;18;5;23;78.2609;-5.0724;21.7391;5.0724
v20;LAST5;HOME_STRONG;1.1;95;19;114;83.3333;18;5;23;78.2609;-5.0724;21.7391;5.0724
v20;SEASON;HOME_STRONG;1.4;95;19;114;83.3333;33;9;42;78.5714;-4.7619;21.4286;4.7619
v22;LAST5;AT_LEAST_ONE_STRONG;0.8;482;181;663;72.6998;60;28;88;68.1818;-4.518;31.8182;4.518
v25;LAST5;AT_LEAST_ONE_STRONG;0.8;482;181;663;72.6998;60;28;88;68.1818;-4.518;31.8182;4.518
v20;LAST5;AT_LEAST_ONE_STRONG;1.4;95;19;114;83.3333;41;11;52;78.8462;-4.4871;21.1538;4.4871
v20;LAST5;AT_LEAST_ONE_STRONG;1.5;95;19;114;83.3333;41;11;52;78.8462;-4.4871;21.1538;4.4871
v26;SEASON;HOME_STRONG;1.2;143;44;187;76.4706;18;7;25;72.0;-4.4706;28.0;4.4706
v26;LAST5;AT_LEAST_ONE_STRONG;1.4;143;44;187;76.4706;78;30;108;72.2222;-4.2484;27.7778;4.2484
v26;LAST5;AT_LEAST_ONE_STRONG;1.5;143;44;187;76.4706;78;30;108;72.2222;-4.2484;27.7778;4.2484
v20;SEASON;HOME_STRONG;1.5;95;19;114;83.3333;38;10;48;79.1667;-4.1666;20.8333;4.1666
v20;SEASON;HOME_STRONG;1.6;95;19;114;83.3333;46;12;58;79.3103;-4.023;20.6897;4.023
v26;SEASON;AT_LEAST_ONE_STRONG;1.0;143;44;187;76.4706;16;6;22;72.7273;-3.7433;27.2727;3.7433
v26;LAST5;AT_LEAST_ONE_STRONG;1.6;143;44;187;76.4706;99;37;136;72.7941;-3.6765;27.2059;3.6765
v22;SEASON;AWAY_STRONG;1.2;482;181;663;72.6998;38;17;55;69.0909;-3.6089;30.9091;3.6089
v25;SEASON;AWAY_STRONG;1.2;482;181;663;72.6998;38;17;55;69.0909;-3.6089;30.9091;3.6089
v22;SEASON;BOTH_STRONG;1.4;482;181;663;72.6998;9;4;13;69.2308;-3.469;30.7692;3.469
v25;SEASON;BOTH_STRONG;1.4;482;181;663;72.6998;9;4;13;69.2308;-3.469;30.7692;3.469
v26;SEASON;AT_LEAST_ONE_STRONG;1.4;143;44;187;76.4706;57;21;78;73.0769;-3.3937;26.9231;3.3937
