LeagueId;Home;Away;Reason
USA_MLSNextPro_EasternConference_SoutheastDivision;Atlanta United 2;Toronto FC II;Storico recente insufficiente
USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II;Storico recente insufficiente
USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;New York City II;Storico recente insufficiente
Bulgaria_ParvaLiga;Slavia Sofia;CSKA Sofia;Storico recente insufficiente
Bulgaria_ParvaLiga;Botev Plovdiv;Lok. Sofia;Storico recente insufficiente
Romania_Superliga;Corvinul;Csikszereda M. Ciuc;Storico recente insufficiente
Romania_Superliga;Rapid Bucarest;Sepsi Sf. Gheorghe;Storico recente insufficiente
Germany_Oberliga_Bayern_Nord;Grossbardorf;Wurzburger FV;Storico recente insufficiente
Germany_Oberliga_Bayern_Nord;Bamberg;Weiden;Storico recente insufficiente
Germany_Oberliga_Bayern_Nord;DJK Bamberg;Kornburg;Storico recente insufficiente
Germany_Oberliga_Bayern_Nord;Neudrossenfeld;Fortuna Regensburg;Storico recente insufficiente
Germany_Oberliga_Bayern_Sud;Ismaning;Pfaffenhofen;Storico recente insufficiente
Germany_Oberliga_Bayern_Sud;Kottern-St. Mang;Schwabmunchen;Storico recente insufficiente
Germany_Oberliga_Bayern_Sud;Pipinsried;Heimstetten;Storico recente insufficiente
Germany_Oberliga_Bayern_Sud;Rosenheim;Schalding;Storico recente insufficiente
Germany_Oberliga_Bayern_Sud;Landshut;Erlbach;Storico recente insufficiente
Germany_Oberliga_Bayern_Nord;Kornburg;Ammerthal;Storico recente insufficiente
Germany_Oberliga_Bayern_Sud;Heimstetten;FC Schwaig;Storico recente insufficiente
Germany_Oberliga_Bayern_Sud;TSV 1880 Wasserburg;Gundelfingen;Storico recente insufficiente
Germany_Oberliga_Bayern_Sud;Hankofen-Hailing;Ismaning;Storico recente insufficiente
Romania_Superliga;UTA Arad;Otelul;Storico recente insufficiente
Finland_Kolmonen_Southern_Group2;LPS Helsinki;VJS Vantaa B;Storico recente insufficiente
Finland_Kolmonen_Western_Group2;NOPS;FC Haka Juniors;Storico recente insufficiente
Finland_Kolmonen_Western_Group2;LeKi Futis;Saaksjarven Loiske;Storico recente insufficiente
Germany_Regionalliga_Bayern;Eichstatt;Illertissen;Storico recente insufficiente
Germany_Regionalliga_Bayern;Schwaben Augsburg;Buchbach;Storico recente insufficiente
Germany_Regionalliga_Bayern;Landsberg;Memmingen;Storico recente insufficiente
Germany_Regionalliga_Bayern;Vilzing;Norinberga II;Storico recente insufficiente
Germany_Regionalliga_Bayern;Ansbach;Burghausen;Storico recente insufficiente
Germany_Regionalliga_Bayern;Bayern II;Eltersdorf;Storico recente insufficiente
Germany_Regionalliga_Bayern;Bayreuth;Augsburg II;Storico recente insufficiente
Finland_Kolmonen_Western_Group2;TP-49;Ylojarvi United;Storico recente insufficiente
Finland_Kolmonen_Western_Group2;Tampere Utd II;Lasten;Storico recente insufficiente
Germany_Oberliga_Bayern_Nord;Neumarkt;Grossbardorf;Storico recente insufficiente
Romania_Superliga;Din. Bucuresti;Univ. Craiova;Storico recente insufficiente
Germany_Regionalliga_Bayern;Unterhaching;Furth II;Storico recente insufficiente
Denmark_Superliga;Sonderjyske;Midtjylland;Storico recente insufficiente
Denmark_Superliga;FC Copenhagen;Lyngby;Storico recente insufficiente
Denmark_Superliga;Horsens;Nordsjaelland;Storico recente insufficiente
Denmark_1stDivision;Hobro;Aarhus Fremad;Storico recente insufficiente
Germany_Regionalliga_Nordost;Chemie Leipzig;Babelsberg;Storico recente insufficiente
Germany_Regionalliga_Nordost;Greifswald;Hallescher;Storico recente insufficiente
Germany_Regionalliga_Nordost;Jena;Zwickau;Storico recente insufficiente
Germany_Oberliga_Hamburg;HEBC Hamburg;Niendorfer TSV;Storico recente insufficiente
Germany_Oberliga_Hamburg;Sasel;TSV Buchholz 08;Storico recente insufficiente
Germany_Oberliga_Hamburg;Pinneberg;Harksheide;Storico recente insufficiente
Germany_Oberliga_Hamburg;Vorwarts-Wacker;Tesla Hamburg;Storico recente insufficiente
Poland_Ekstraklasa;Rakow;Plock;Storico recente insufficiente
Poland_Ekstraklasa;Widzew Lodz;Motor Lublin;Storico recente insufficiente
Poland_Ekstraklasa;Wisla;Katowice;Storico recente insufficiente
Poland_Division1;Termalica B-B.;Ruch;Storico recente insufficiente
Poland_Division1;Skierniewice;Stal Mielec;Storico recente insufficiente
Poland_Division1;Puszcza;Polonia W.;Storico recente insufficiente
Poland_Division2;Avia Swidnik;Ol. Grudziadz;Storico recente insufficiente
Poland_Division2;Chojniczanka;Tychy;Storico recente insufficiente
CzechRepublic_ChNL;Slavia Praga B;Pribram;Storico recente insufficiente
CzechRepublic_ChNL;Ostrava B;Vlasim;Storico recente insufficiente
Russia_PremierLeague;Lok. Mosca;Akhmat Grozny;Storico recente insufficiente
Russia_PremierLeague;Kazan;Krasnodar;Storico recente insufficiente
Russia_PremierLeague;Orenburg;FK Rostov;Storico recente insufficiente
Ukraine_PershaLiga;Kolos Kovalivka 2;Prykarpattya;Storico recente insufficiente
Ukraine_PershaLiga;Probiy Horodenka;Inhulets;Storico recente insufficiente
Ukraine_PershaLiga;Kulikiv;Metalist Kharkiv;Storico recente insufficiente
Hungary_NBI;Vasas;Győr;Storico recente insufficiente
Hungary_NBI;Debrecen;Puskas Academy;Storico recente insufficiente
Hungary_NBI;Paks;Ferencvaros;Storico recente insufficiente
Romania_Superliga;CFR Cluj;FC Voluntari;Storico recente insufficiente
Denmark_Superliga;Randers;Silkeborg;Storico recente insufficiente
Poland_Ekstraklasa;Zaglebie;Piast;Storico recente insufficiente
Poland_Division1;Legnica;Podbeskidzie;Storico recente insufficiente
CzechRepublic_1Liga;Artis Brno;Mlada Boleslav;Storico recente insufficiente
CzechRepublic_ChNL;Opava;Karvina;Storico recente insufficiente
Slovakia_2Liga;Samorin;Malzenice;Storico recente insufficiente
Hungary_NBI;MTK Budapest;Zalaegerszeg;Storico recente insufficiente
Finland_Kolmonen_Western_Group3;VPV;KPV/Akatemia;Storico recente insufficiente
