MatchDate;LeagueId;Home;Away;Outcome;StoredV20Score;RecomputedLast10Score;RecomputedLast10Band;ParityDelta;ParityOK;Last7Score;Last7Band;ScoreDeltaLast7VsLast10;RankingGapScore;HomeAttackScore;AwayDefenseWeaknessScore;HomeLast10Score;AwayLast10Score;HomeLast7Rate;AwayLast7Rate;HomeLast7Count;AwayLast7Count;HomeLast7Sequence;AwayLast7Sequence;Transition
2026-07-10;Australia_NPLQueensland;Peninsula;Wynnum Wolves;KO;76.5;76.5;ALTA;0.0;True;74.57;MEDIA-ALTA;-1.93;6.0;25.0;20.0;12.0;13.5;0.714286;0.857143;7;7;0110111;1111110;ALTA_TO_NON_ALTA
2026-07-11;Australia_QueenslandPremierLeague;Redlands;Capalaba;KO;77.24;76.0;ALTA;-1.24;False;74.93;MEDIA-ALTA;-1.07;7.32;21.18;25.0;12.0;10.5;0.857143;0.571429;7;7;0111111;1011100;ALTA_TO_NON_ALTA
2026-07-18;Latvia_Virsliga;Riga FC;Tukums 2000;OK;76.13;77.03;ALTA;0.9;False;74.46;MEDIA-ALTA;-2.57;6.98;25.0;21.05;10.5;13.5;0.571429;0.857143;7;7;0111001;1011111;ALTA_TO_NON_ALTA
2026-07-25;Australia_NPLQueensland;Gold Coast Knights;Gold Coast;KO;75.8;75.8;ALTA;0.0;True;73.23;MEDIA-ALTA;-2.57;9.24;22.0;20.56;13.5;10.5;0.857143;0.571429;7;7;1111101;1010110;ALTA_TO_NON_ALTA
2026-07-25;Norway_3rdDivision_Group1;Baerum Sportsklubb;Vålerenga 2;OK;75.78;76.2;ALTA;0.42;False;74.27;MEDIA-ALTA;-1.93;1.08;25.0;24.62;12.0;13.5;0.714286;0.857143;7;7;0111110;1011111;ALTA_TO_NON_ALTA
2026-07-26;USA_USLLeagueOne;Charlotte Independ.;Richmond Kickers;OK;76.37;76.37;ALTA;0.0;True;72.51;MEDIA-ALTA;-3.86;14.12;22.5;18.75;12.0;9.0;0.714286;0.428571;7;7;1011011;1001010;ALTA_TO_NON_ALTA
2026-08-01;Norway_3rdDivision_Group1;Vålerenga 2;Lokomotiv Oslo;OK;76.6;76.6;ALTA;0.0;True;74.67;MEDIA-ALTA;-1.93;3.96;22.14;25.0;13.5;12.0;0.857143;0.714286;7;7;0111111;1101110;ALTA_TO_NON_ALTA
2026-08-01;Australia_NPLACT;Monaro Panthers;O'Connor Knights;KO;75.59;75.59;ALTA;0.0;True;73.24;MEDIA-ALTA;-2.35;11.72;25.0;19.38;13.5;6.0;0.857143;0.285714;7;7;1011111;1010000;ALTA_TO_NON_ALTA
2026-08-01;Australia_NPLACT;Queanbeyan City;Brindabella;OK;75.02;75.02;ALTA;0.0;True;72.45;MEDIA-ALTA;-2.57;6.02;20.0;25.0;13.5;10.5;0.857143;0.571429;7;7;1111110;0111010;ALTA_TO_NON_ALTA
2026-08-04;Finland_Kakkonen_GroupB;Ilves 2;MuSa;OK;77.04;77.04;ALTA;0.0;True;73.83;MEDIA-ALTA;-3.21;4.54;25.0;25.0;12.0;10.5;0.714286;0.571429;7;7;0110111;0011110;ALTA_TO_NON_ALTA
2026-08-05;Finland_Kolmonen_Eastern_Group2;KuPS/Akatemia II;ToU;OK;77.68;77.68;ALTA;0.0;True;74.47;MEDIA-ALTA;-3.21;7.32;22.86;25.0;10.5;12.0;0.571429;0.714286;7;7;1110001;0101111;ALTA_TO_NON_ALTA
2026-08-07;Australia_NPLQueensland;Queensland Lions;Brisbane Roar U23;OK;78.68;78.68;ALTA;0.0;True;74.82;MEDIA-ALTA;-3.86;10.18;25.0;22.5;9.0;12.0;0.428571;0.714286;7;7;1101000;1110110;ALTA_TO_NON_ALTA
2026-08-07;Finland_Kolmonen_Western_Group2;FC LeKi;ACE;OK;75.66;75.66;ALTA;0.0;True;74.37;MEDIA-ALTA;-1.29;3.66;20.0;25.0;12.0;15.0;0.714286;1.0;7;7;0111110;1111111;ALTA_TO_NON_ALTA
2026-08-08;Norway_3rdDivision_Group5;Harstad;Skjervoy;OK;75.91;75.91;ALTA;0.0;True;73.98;MEDIA-ALTA;-1.93;1.12;25.0;24.29;13.5;12.0;0.857143;0.714286;7;7;1111011;1001111;ALTA_TO_NON_ALTA
2026-08-08;Norway_3rdDivision_Group3;Fana;Gneist;OK;75.37;75.37;ALTA;0.0;True;74.94;MEDIA-ALTA;-0.43;2.08;24.29;25.0;12.0;12.0;0.857143;0.714286;7;7;1101111;1100111;ALTA_TO_NON_ALTA
