MatchDate;LeagueId;Home;Away;Outcome;StoredV20Score;RecomputedLast10Score;RecomputedLast10Band;ParityDelta;ParityOK;Last7Score;Last7Band;ScoreDeltaLast7VsLast10;RankingGapScore;HomeAttackScore;AwayDefenseWeaknessScore;HomeLast10Score;AwayLast10Score;HomeLast7Rate;AwayLast7Rate;HomeLast7Count;AwayLast7Count;HomeLast7Sequence;AwayLast7Sequence;Transition
2026-07-01;Sweden_Division2_NorraGotaland;Husqvarna;Lidkoping;KO;74.89;74.89;MEDIA-ALTA;0.0;True;77.46;ALTA;2.57;6.22;25.0;22.67;10.5;10.5;0.857143;0.714286;7;7;0111111;1001111;NON_ALTA_TO_ALTA
2026-07-03;Australia_SAStateLeague;Adelaide Olympic;Salisbury Utd.;KO;73.41;73.41;MEDIA-ALTA;0.0;True;75.12;ALTA;1.71;6.28;19.38;23.75;10.5;13.5;0.857143;0.857143;7;7;1111101;0111111;NON_ALTA_TO_ALTA
2026-07-03;Norway_OBOSLigaen;Kongsvinger;Sogndal;OK;74.99;74.99;MEDIA-ALTA;0.0;True;76.71;ALTA;1.72;3.3;23.85;23.85;12.0;12.0;0.857143;0.857143;7;7;1101111;1101111;NON_ALTA_TO_ALTA
2026-07-04;Australia_NPLSouthAustralia;Adelaide City;Para;KO;73.47;74.53;MEDIA-ALTA;1.06;False;76.47;ALTA;1.94;10.66;19.38;25.0;7.5;12.0;0.571429;0.857143;7;7;0111010;0111111;NON_ALTA_TO_ALTA
2026-07-05;Australia_NPLQueenslandU23;Brisbane City U23;QLD State Team U17;KO;74.47;74.47;MEDIA-ALTA;0.0;True;75.33;ALTA;0.86;1.22;21.25;25.0;12.0;15.0;0.857143;1.0;7;7;0111111;1111111;NON_ALTA_TO_ALTA
2026-07-05;Australia_NorthernNSWStateLeague;Wallsend Red Devils;Singleton Strikers;OK;74.09;74.09;MEDIA-ALTA;0.0;True;76.66;ALTA;2.57;6.42;25.0;21.67;12.0;9.0;0.857143;0.714286;7;7;1111110;0110111;NON_ALTA_TO_ALTA
2026-07-05;Estonia_Esiliiga;Flora U21;Levadia U21;OK;74.86;74.86;MEDIA-ALTA;0.0;True;75.72;ALTA;0.86;2.86;25.0;20.0;15.0;12.0;1.0;0.857143;7;7;1111111;1111011;NON_ALTA_TO_ALTA
2026-07-05;Finland_Kakkonen_GroupC;VPS 2;Huima / Urho;OK;72.7;73.2;MEDIA-ALTA;0.5;False;75.56;ALTA;2.36;2.7;25.0;20.0;13.5;12.0;1.0;0.857143;7;7;1111111;0111111;NON_ALTA_TO_ALTA
2026-07-12;Finland_Kakkonen_GroupC;Vaajakoski;Jaro 2;OK;72.84;72.84;MEDIA-ALTA;0.0;True;76.7;ALTA;3.86;5.66;18.18;25.0;12.0;12.0;0.857143;1.0;7;7;1110111;1111111;NON_ALTA_TO_ALTA
2026-07-12;USA_MLSNextPro_EasternConference_SoutheastDivision;Atlanta United 2;Inter Miami II;OK;72.3;72.3;MEDIA-ALTA;0.0;True;75.73;ALTA;3.43;5.66;25.0;23.64;9.0;9.0;0.714286;0.714286;7;7;1011110;1111100;NON_ALTA_TO_ALTA
2026-07-16;Iceland_Division_2;Haukar;Throttur Vogar;OK;71.22;71.84;MEDIA-ALTA;0.62;False;77.2;ALTA;5.36;4.34;25.0;20.0;12.0;10.5;0.857143;1.0;7;7;1011111;1111111;NON_ALTA_TO_ALTA
2026-07-18;Iceland_Division_2;KFA;Selfoss;KO;74.03;74.55;MEDIA-ALTA;0.52;False;75.41;ALTA;0.86;3.38;24.17;20.0;12.0;15.0;0.857143;1.0;7;7;1111011;1111111;NON_ALTA_TO_ALTA
2026-07-18;Australia_NPLQueensland;Eastern Suburbs;Magic United;OK;73.97;73.97;MEDIA-ALTA;0.0;True;76.33;ALTA;2.36;6.1;17.37;25.0;12.0;13.5;0.857143;1.0;7;7;1111110;1111111;NON_ALTA_TO_ALTA
2026-07-18;Australia_NPLQueenslandU23;Moreton City Excelsior U23;Peninsula U23;OK;73.89;73.89;MEDIA-ALTA;0.0;True;75.82;ALTA;1.93;5.5;25.0;23.89;12.0;7.5;0.857143;0.571429;7;7;1111110;1011100;NON_ALTA_TO_ALTA
2026-07-18;Australia_NPLNSW;Sutherland;Sydney Olympic;KO;67.73;67.73;MEDIA-ALTA;0.0;True;75.23;ALTA;7.5;7.78;16.25;21.2;12.0;10.5;1.0;1.0;7;7;1111111;1111111;NON_ALTA_TO_ALTA
2026-07-25;Norway_3rdDivision_Group2;Molde 2;Byåsen;OK;74.45;74.45;MEDIA-ALTA;0.0;True;75.31;ALTA;0.86;1.62;25.0;20.83;15.0;12.0;1.0;0.857143;7;7;1111111;1101111;NON_ALTA_TO_ALTA
2026-07-31;Finland_Kolmonen_Southern_Group3;RiPS;Ponnistus;KO;78.44;74.65;MEDIA-ALTA;-3.79;False;75.72;ALTA;1.07;4.42;22.73;25.0;12.0;10.5;0.857143;0.714286;7;7;1111110;1111100;NON_ALTA_TO_ALTA
2026-08-03;Estonia_EsiliigaB;Parnu JK Vaprus U21;Levadia U19;OK;72.71;72.71;MEDIA-ALTA;0.0;True;75.07;ALTA;2.36;1.68;25.0;20.53;15.0;10.5;1.0;0.857143;7;7;1111111;1110111;NON_ALTA_TO_ALTA
2026-08-03;Norway_3rdDivision_Group3;Brann 2;Stord;KO;72.52;72.52;MEDIA-ALTA;0.0;True;75.1;ALTA;2.58;3.06;24.62;23.85;12.0;9.0;0.857143;0.714286;7;7;0111111;1111001;NON_ALTA_TO_ALTA
2026-08-06;Finland_Kolmonen_Eastern_Group3;MiPK;LAUTP;OK;73.51;73.51;MEDIA-ALTA;0.0;True;77.37;ALTA;3.86;2.2;25.0;22.31;13.5;10.5;1.0;0.857143;7;7;1111111;1111101;NON_ALTA_TO_ALTA
