ConfigType;ConfigName;Original_OK;Original_KO;Original_Total;Original_HitRate;Selected_OK;Selected_KO;Selected_Total;Selected_HitRate;OK_Sacrificed;KO_Eliminated;CoveragePct;PurityGain;NetRescue;KO_per_OK_Sacrificed
SINGLE;HOME_ATTACK>=6.5;387;153;540;71.6667;371;147;518;71.6216;16;6;95.9259;-0.0451;-10;0.375
SINGLE;HOME_ATTACK>=7.5;387;153;540;71.6667;363;140;503;72.167;24;13;93.1481;0.5003;-11;0.5417
SINGLE;HOME_ATTACK>=8.5;387;153;540;71.6667;335;129;464;72.1983;52;24;85.9259;0.5316;-28;0.4615
SINGLE;HOME_ATTACK>=9.5;387;153;540;71.6667;308;118;426;72.3005;79;35;78.8889;0.6338;-44;0.443
SINGLE;HOME_ATTACK>=10.5;387;153;540;71.6667;263;95;358;73.4637;124;58;66.2963;1.797;-66;0.4677
SINGLE;AWAY_DEFENSE>=5.0;387;153;540;71.6667;365;145;510;71.5686;22;8;94.4444;-0.0981;-14;0.3636
SINGLE;AWAY_DEFENSE>=6.0;387;153;540;71.6667;340;133;473;71.8816;47;20;87.5926;0.2149;-27;0.4255
SINGLE;AWAY_DEFENSE>=7.0;387;153;540;71.6667;293;109;402;72.8856;94;44;74.4444;1.2189;-50;0.4681
SINGLE;AWAY_DEFENSE>=8.0;387;153;540;71.6667;254;85;339;74.9263;133;68;62.7778;3.2596;-65;0.5113
SINGLE;AWAY_DEFENSE>=9.0;387;153;540;71.6667;192;69;261;73.5632;195;84;48.3333;1.8965;-111;0.4308
SINGLE;HOME_LAST10>=6.0;387;153;540;71.6667;383;152;535;71.5888;4;1;99.0741;-0.0779;-3;0.25
SINGLE;HOME_LAST10>=7.2;387;153;540;71.6667;368;148;516;71.3178;19;5;95.5556;-0.3489;-14;0.2632
SINGLE;HOME_LAST10>=8.4;387;153;540;71.6667;325;129;454;71.5859;62;24;84.0741;-0.0808;-38;0.3871
SINGLE;HOME_LAST10>=9.6;387;153;540;71.6667;234;82;316;74.0506;153;71;58.5185;2.3839;-82;0.4641
SINGLE;AWAY_LAST10>=6.0;387;153;540;71.6667;385;153;538;71.5613;2;0;99.6296;-0.1054;-2;0.0
SINGLE;AWAY_LAST10>=7.2;387;153;540;71.6667;374;149;523;71.5105;13;4;96.8519;-0.1562;-9;0.3077
SINGLE;AWAY_LAST10>=8.4;387;153;540;71.6667;330;133;463;71.2743;57;20;85.7407;-0.3924;-37;0.3509
SINGLE;AWAY_LAST10>=9.6;387;153;540;71.6667;230;90;320;71.875;157;63;59.2593;0.2083;-94;0.4013
PAIR_AND;HomeAttackScore>=6.5 AND AwayDefenseWeaknessScore>=5.0;387;153;540;71.6667;350;139;489;71.5746;37;14;90.5556;-0.0921;-23;0.3784
PAIR_AND;HomeAttackScore>=6.5 AND AwayDefenseWeaknessScore>=6.0;387;153;540;71.6667;327;127;454;72.0264;60;26;84.0741;0.3597;-34;0.4333
PAIR_AND;HomeAttackScore>=6.5 AND AwayDefenseWeaknessScore>=7.0;387;153;540;71.6667;281;104;385;72.987;106;49;71.2963;1.3203;-57;0.4623
PAIR_AND;HomeAttackScore>=6.5 AND AwayDefenseWeaknessScore>=8.0;387;153;540;71.6667;246;82;328;75.0;141;71;60.7407;3.3333;-70;0.5035
PAIR_AND;HomeAttackScore>=6.5 AND AwayDefenseWeaknessScore>=9.0;387;153;540;71.6667;185;66;251;73.7052;202;87;46.4815;2.0385;-115;0.4307
PAIR_AND;HomeAttackScore>=7.5 AND AwayDefenseWeaknessScore>=5.0;387;153;540;71.6667;343;133;476;72.0588;44;20;88.1481;0.3921;-24;0.4545
PAIR_AND;HomeAttackScore>=7.5 AND AwayDefenseWeaknessScore>=6.0;387;153;540;71.6667;322;122;444;72.5225;65;31;82.2222;0.8558;-34;0.4769
PAIR_AND;HomeAttackScore>=7.5 AND AwayDefenseWeaknessScore>=7.0;387;153;540;71.6667;276;100;376;73.4043;111;53;69.6296;1.7376;-58;0.4775
PAIR_AND;HomeAttackScore>=7.5 AND AwayDefenseWeaknessScore>=8.0;387;153;540;71.6667;242;81;323;74.9226;145;72;59.8148;3.2559;-73;0.4966
PAIR_AND;HomeAttackScore>=7.5 AND AwayDefenseWeaknessScore>=9.0;387;153;540;71.6667;181;65;246;73.5772;206;88;45.5556;1.9105;-118;0.4272
PAIR_AND;HomeAttackScore>=8.5 AND AwayDefenseWeaknessScore>=5.0;387;153;540;71.6667;317;123;440;72.0455;70;30;81.4815;0.3788;-40;0.4286
PAIR_AND;HomeAttackScore>=8.5 AND AwayDefenseWeaknessScore>=6.0;387;153;540;71.6667;297;112;409;72.6161;90;41;75.7407;0.9494;-49;0.4556
PAIR_AND;HomeAttackScore>=8.5 AND AwayDefenseWeaknessScore>=7.0;387;153;540;71.6667;254;92;346;73.4104;133;61;64.0741;1.7437;-72;0.4586
PAIR_AND;HomeAttackScore>=8.5 AND AwayDefenseWeaknessScore>=8.0;387;153;540;71.6667;224;75;299;74.9164;163;78;55.3704;3.2497;-85;0.4785
PAIR_AND;HomeAttackScore>=8.5 AND AwayDefenseWeaknessScore>=9.0;387;153;540;71.6667;169;63;232;72.8448;218;90;42.963;1.1781;-128;0.4128
PAIR_AND;HomeAttackScore>=9.5 AND AwayDefenseWeaknessScore>=5.0;387;153;540;71.6667;291;113;404;72.0297;96;40;74.8148;0.363;-56;0.4167
PAIR_AND;HomeAttackScore>=9.5 AND AwayDefenseWeaknessScore>=6.0;387;153;540;71.6667;274;102;376;72.8723;113;51;69.6296;1.2056;-62;0.4513
PAIR_AND;HomeAttackScore>=9.5 AND AwayDefenseWeaknessScore>=7.0;387;153;540;71.6667;232;82;314;73.8854;155;71;58.1481;2.2187;-84;0.4581
PAIR_AND;HomeAttackScore>=9.5 AND AwayDefenseWeaknessScore>=8.0;387;153;540;71.6667;204;67;271;75.2768;183;86;50.1852;3.6101;-97;0.4699
PAIR_AND;HomeAttackScore>=9.5 AND AwayDefenseWeaknessScore>=9.0;387;153;540;71.6667;154;55;209;73.6842;233;98;38.7037;2.0175;-135;0.4206
PAIR_AND;HomeAttackScore>=10.5 AND AwayDefenseWeaknessScore>=5.0;387;153;540;71.6667;249;91;340;73.2353;138;62;62.963;1.5686;-76;0.4493
PAIR_AND;HomeAttackScore>=10.5 AND AwayDefenseWeaknessScore>=6.0;387;153;540;71.6667;234;80;314;74.5223;153;73;58.1481;2.8556;-80;0.4771
PAIR_AND;HomeAttackScore>=10.5 AND AwayDefenseWeaknessScore>=7.0;387;153;540;71.6667;197;63;260;75.7692;190;90;48.1481;4.1025;-100;0.4737
PAIR_AND;HomeAttackScore>=10.5 AND AwayDefenseWeaknessScore>=8.0;387;153;540;71.6667;174;50;224;77.6786;213;103;41.4815;6.0119;-110;0.4836
PAIR_AND;HomeAttackScore>=10.5 AND AwayDefenseWeaknessScore>=9.0;387;153;540;71.6667;129;42;171;75.4386;258;111;31.6667;3.7719;-147;0.4302
PAIR_AND;HomeAttackScore>=6.5 AND HomeLast10OverScore>=6.0;387;153;540;71.6667;368;146;514;71.5953;19;7;95.1852;-0.0714;-12;0.3684
PAIR_AND;HomeAttackScore>=6.5 AND HomeLast10OverScore>=7.2;387;153;540;71.6667;354;142;496;71.371;33;11;91.8519;-0.2957;-22;0.3333
PAIR_AND;HomeAttackScore>=6.5 AND HomeLast10OverScore>=8.4;387;153;540;71.6667;314;124;438;71.6895;73;29;81.1111;0.0228;-44;0.3973
PAIR_AND;HomeAttackScore>=6.5 AND HomeLast10OverScore>=9.6;387;153;540;71.6667;226;78;304;74.3421;161;75;56.2963;2.6754;-86;0.4658
PAIR_AND;HomeAttackScore>=7.5 AND HomeLast10OverScore>=6.0;387;153;540;71.6667;360;140;500;72.0;27;13;92.5926;0.3333;-14;0.4815
PAIR_AND;HomeAttackScore>=7.5 AND HomeLast10OverScore>=7.2;387;153;540;71.6667;347;136;483;71.8427;40;17;89.4444;0.176;-23;0.425
PAIR_AND;HomeAttackScore>=7.5 AND HomeLast10OverScore>=8.4;387;153;540;71.6667;309;119;428;72.1963;78;34;79.2593;0.5296;-44;0.4359
PAIR_AND;HomeAttackScore>=7.5 AND HomeLast10OverScore>=9.6;387;153;540;71.6667;223;78;301;74.0864;164;75;55.7407;2.4197;-89;0.4573
PAIR_AND;HomeAttackScore>=8.5 AND HomeLast10OverScore>=6.0;387;153;540;71.6667;333;129;462;72.0779;54;24;85.5556;0.4112;-30;0.4444
PAIR_AND;HomeAttackScore>=8.5 AND HomeLast10OverScore>=7.2;387;153;540;71.6667;321;128;449;71.4922;66;25;83.1481;-0.1745;-41;0.3788
PAIR_AND;HomeAttackScore>=8.5 AND HomeLast10OverScore>=8.4;387;153;540;71.6667;290;114;404;71.7822;97;39;74.8148;0.1155;-58;0.4021
PAIR_AND;HomeAttackScore>=8.5 AND HomeLast10OverScore>=9.6;387;153;540;71.6667;208;76;284;73.2394;179;77;52.5926;1.5727;-102;0.4302
PAIR_AND;HomeAttackScore>=9.5 AND HomeLast10OverScore>=6.0;387;153;540;71.6667;307;118;425;72.2353;80;35;78.7037;0.5686;-45;0.4375
PAIR_AND;HomeAttackScore>=9.5 AND HomeLast10OverScore>=7.2;387;153;540;71.6667;295;117;412;71.6019;92;36;76.2963;-0.0648;-56;0.3913
PAIR_AND;HomeAttackScore>=9.5 AND HomeLast10OverScore>=8.4;387;153;540;71.6667;269;104;373;72.118;118;49;69.0741;0.4513;-69;0.4153
PAIR_AND;HomeAttackScore>=9.5 AND HomeLast10OverScore>=9.6;387;153;540;71.6667;194;70;264;73.4848;193;83;48.8889;1.8181;-110;0.4301
PAIR_AND;HomeAttackScore>=10.5 AND HomeLast10OverScore>=6.0;387;153;540;71.6667;262;95;357;73.3894;125;58;66.1111;1.7227;-67;0.464
PAIR_AND;HomeAttackScore>=10.5 AND HomeLast10OverScore>=7.2;387;153;540;71.6667;253;94;347;72.9107;134;59;64.2593;1.244;-75;0.4403
PAIR_AND;HomeAttackScore>=10.5 AND HomeLast10OverScore>=8.4;387;153;540;71.6667;231;84;315;73.3333;156;69;58.3333;1.6666;-87;0.4423
PAIR_AND;HomeAttackScore>=10.5 AND HomeLast10OverScore>=9.6;387;153;540;71.6667;169;58;227;74.4493;218;95;42.037;2.7826;-123;0.4358
PAIR_AND;HomeAttackScore>=6.5 AND AwayLast10OverScore>=6.0;387;153;540;71.6667;369;147;516;71.5116;18;6;95.5556;-0.1551;-12;0.3333
PAIR_AND;HomeAttackScore>=6.5 AND AwayLast10OverScore>=7.2;387;153;540;71.6667;359;143;502;71.5139;28;10;92.963;-0.1528;-18;0.3571
PAIR_AND;HomeAttackScore>=6.5 AND AwayLast10OverScore>=8.4;387;153;540;71.6667;316;127;443;71.3318;71;26;82.037;-0.3349;-45;0.3662
PAIR_AND;HomeAttackScore>=6.5 AND AwayLast10OverScore>=9.6;387;153;540;71.6667;218;85;303;71.9472;169;68;56.1111;0.2805;-101;0.4024
PAIR_AND;HomeAttackScore>=7.5 AND AwayLast10OverScore>=6.0;387;153;540;71.6667;361;140;501;72.0559;26;13;92.7778;0.3892;-13;0.5
PAIR_AND;HomeAttackScore>=7.5 AND AwayLast10OverScore>=7.2;387;153;540;71.6667;351;136;487;72.0739;36;17;90.1852;0.4072;-19;0.4722
PAIR_AND;HomeAttackScore>=7.5 AND AwayLast10OverScore>=8.4;387;153;540;71.6667;308;121;429;71.7949;79;32;79.4444;0.1282;-47;0.4051
PAIR_AND;HomeAttackScore>=7.5 AND AwayLast10OverScore>=9.6;387;153;540;71.6667;210;80;290;72.4138;177;73;53.7037;0.7471;-104;0.4124
PAIR_AND;HomeAttackScore>=8.5 AND AwayLast10OverScore>=6.0;387;153;540;71.6667;333;129;462;72.0779;54;24;85.5556;0.4112;-30;0.4444
PAIR_AND;HomeAttackScore>=8.5 AND AwayLast10OverScore>=7.2;387;153;540;71.6667;323;125;448;72.0982;64;28;82.963;0.4315;-36;0.4375
PAIR_AND;HomeAttackScore>=8.5 AND AwayLast10OverScore>=8.4;387;153;540;71.6667;281;110;391;71.867;106;43;72.4074;0.2003;-63;0.4057
PAIR_AND;HomeAttackScore>=8.5 AND AwayLast10OverScore>=9.6;387;153;540;71.6667;192;73;265;72.4528;195;80;49.0741;0.7861;-115;0.4103
PAIR_AND;HomeAttackScore>=9.5 AND AwayLast10OverScore>=6.0;387;153;540;71.6667;306;118;424;72.1698;81;35;78.5185;0.5031;-46;0.4321
PAIR_AND;HomeAttackScore>=9.5 AND AwayLast10OverScore>=7.2;387;153;540;71.6667;297;114;411;72.2628;90;39;76.1111;0.5961;-51;0.4333
PAIR_AND;HomeAttackScore>=9.5 AND AwayLast10OverScore>=8.4;387;153;540;71.6667;258;99;357;72.2689;129;54;66.1111;0.6022;-75;0.4186
PAIR_AND;HomeAttackScore>=9.5 AND AwayLast10OverScore>=9.6;387;153;540;71.6667;173;65;238;72.6891;214;88;44.0741;1.0224;-126;0.4112
PAIR_AND;HomeAttackScore>=10.5 AND AwayLast10OverScore>=6.0;387;153;540;71.6667;261;95;356;73.3146;126;58;65.9259;1.6479;-68;0.4603
PAIR_AND;HomeAttackScore>=10.5 AND AwayLast10OverScore>=7.2;387;153;540;71.6667;252;91;343;73.4694;135;62;63.5185;1.8027;-73;0.4593
PAIR_AND;HomeAttackScore>=10.5 AND AwayLast10OverScore>=8.4;387;153;540;71.6667;216;78;294;73.4694;171;75;54.4444;1.8027;-96;0.4386
PAIR_AND;HomeAttackScore>=10.5 AND AwayLast10OverScore>=9.6;387;153;540;71.6667;146;51;197;74.1117;241;102;36.4815;2.445;-139;0.4232
PAIR_AND;AwayDefenseWeaknessScore>=5.0 AND HomeLast10OverScore>=6.0;387;153;540;71.6667;361;144;505;71.4851;26;9;93.5185;-0.1816;-17;0.3462
PAIR_AND;AwayDefenseWeaknessScore>=5.0 AND HomeLast10OverScore>=7.2;387;153;540;71.6667;346;140;486;71.1934;41;13;90.0;-0.4733;-28;0.3171
PAIR_AND;AwayDefenseWeaknessScore>=5.0 AND HomeLast10OverScore>=8.4;387;153;540;71.6667;305;123;428;71.2617;82;30;79.2593;-0.405;-52;0.3659
PAIR_AND;AwayDefenseWeaknessScore>=5.0 AND HomeLast10OverScore>=9.6;387;153;540;71.6667;222;79;301;73.7542;165;74;55.7407;2.0875;-91;0.4485
PAIR_AND;AwayDefenseWeaknessScore>=6.0 AND HomeLast10OverScore>=6.0;387;153;540;71.6667;336;132;468;71.7949;51;21;86.6667;0.1282;-30;0.4118
PAIR_AND;AwayDefenseWeaknessScore>=6.0 AND HomeLast10OverScore>=7.2;387;153;540;71.6667;321;128;449;71.4922;66;25;83.1481;-0.1745;-41;0.3788
PAIR_AND;AwayDefenseWeaknessScore>=6.0 AND HomeLast10OverScore>=8.4;387;153;540;71.6667;283;113;396;71.4646;104;40;73.3333;-0.2021;-64;0.3846
PAIR_AND;AwayDefenseWeaknessScore>=6.0 AND HomeLast10OverScore>=9.6;387;153;540;71.6667;205;71;276;74.2754;182;82;51.1111;2.6087;-100;0.4505
PAIR_AND;AwayDefenseWeaknessScore>=7.0 AND HomeLast10OverScore>=6.0;387;153;540;71.6667;289;108;397;72.796;98;45;73.5185;1.1293;-53;0.4592
PAIR_AND;AwayDefenseWeaknessScore>=7.0 AND HomeLast10OverScore>=7.2;387;153;540;71.6667;276;104;380;72.6316;111;49;70.3704;0.9649;-62;0.4414
PAIR_AND;AwayDefenseWeaknessScore>=7.0 AND HomeLast10OverScore>=8.4;387;153;540;71.6667;244;91;335;72.8358;143;62;62.037;1.1691;-81;0.4336
PAIR_AND;AwayDefenseWeaknessScore>=7.0 AND HomeLast10OverScore>=9.6;387;153;540;71.6667;178;58;236;75.4237;209;95;43.7037;3.757;-114;0.4545
PAIR_AND;AwayDefenseWeaknessScore>=8.0 AND HomeLast10OverScore>=6.0;387;153;540;71.6667;250;84;334;74.8503;137;69;61.8519;3.1836;-68;0.5036
PAIR_AND;AwayDefenseWeaknessScore>=8.0 AND HomeLast10OverScore>=7.2;387;153;540;71.6667;241;82;323;74.613;146;71;59.8148;2.9463;-75;0.4863
PAIR_AND;AwayDefenseWeaknessScore>=8.0 AND HomeLast10OverScore>=8.4;387;153;540;71.6667;216;73;289;74.7405;171;80;53.5185;3.0738;-91;0.4678
PAIR_AND;AwayDefenseWeaknessScore>=8.0 AND HomeLast10OverScore>=9.6;387;153;540;71.6667;159;50;209;76.0766;228;103;38.7037;4.4099;-125;0.4518
PAIR_AND;AwayDefenseWeaknessScore>=9.0 AND HomeLast10OverScore>=6.0;387;153;540;71.6667;189;68;257;73.5409;198;85;47.5926;1.8742;-113;0.4293
PAIR_AND;AwayDefenseWeaknessScore>=9.0 AND HomeLast10OverScore>=7.2;387;153;540;71.6667;182;67;249;73.0924;205;86;46.1111;1.4257;-119;0.4195
PAIR_AND;AwayDefenseWeaknessScore>=9.0 AND HomeLast10OverScore>=8.4;387;153;540;71.6667;162;61;223;72.6457;225;92;41.2963;0.979;-133;0.4089
PAIR_AND;AwayDefenseWeaknessScore>=9.0 AND HomeLast10OverScore>=9.6;387;153;540;71.6667;121;41;162;74.6914;266;112;30.0;3.0247;-154;0.4211
PAIR_AND;AwayDefenseWeaknessScore>=5.0 AND AwayLast10OverScore>=6.0;387;153;540;71.6667;364;145;509;71.5128;23;8;94.2593;-0.1539;-15;0.3478
PAIR_AND;AwayDefenseWeaknessScore>=5.0 AND AwayLast10OverScore>=7.2;387;153;540;71.6667;354;141;495;71.5152;33;12;91.6667;-0.1515;-21;0.3636
PAIR_AND;AwayDefenseWeaknessScore>=5.0 AND AwayLast10OverScore>=8.4;387;153;540;71.6667;311;126;437;71.167;76;27;80.9259;-0.4997;-49;0.3553
PAIR_AND;AwayDefenseWeaknessScore>=5.0 AND AwayLast10OverScore>=9.6;387;153;540;71.6667;214;86;300;71.3333;173;67;55.5556;-0.3334;-106;0.3873
PAIR_AND;AwayDefenseWeaknessScore>=6.0 AND AwayLast10OverScore>=6.0;387;153;540;71.6667;339;133;472;71.822;48;20;87.4074;0.1553;-28;0.4167
PAIR_AND;AwayDefenseWeaknessScore>=6.0 AND AwayLast10OverScore>=7.2;387;153;540;71.6667;330;129;459;71.8954;57;24;85.0;0.2287;-33;0.4211
