Profile;OriginalBand;NewBand;Outcome;Matches
ACCUMULATION_LIGHT;ALTA;ALTA;KO;127
ACCUMULATION_LIGHT;ALTA;ALTA;OK;316
ACCUMULATION_LIGHT;ALTA;MEDIA;KO;9
ACCUMULATION_LIGHT;ALTA;MEDIA;OK;18
ACCUMULATION_LIGHT;BASSA;BASSA;KO;156
ACCUMULATION_LIGHT;BASSA;BASSA;OK;182
ACCUMULATION_LIGHT;MEDIA;BASSA;KO;12
ACCUMULATION_LIGHT;MEDIA;BASSA;OK;11
ACCUMULATION_LIGHT;MEDIA;MEDIA;KO;187
ACCUMULATION_LIGHT;MEDIA;MEDIA;OK;306
ACCUMULATION_MEDIUM;ALTA;ALTA;KO;120
ACCUMULATION_MEDIUM;ALTA;ALTA;OK;295
ACCUMULATION_MEDIUM;ALTA;MEDIA;KO;16
ACCUMULATION_MEDIUM;ALTA;MEDIA;OK;39
ACCUMULATION_MEDIUM;BASSA;BASSA;KO;156
ACCUMULATION_MEDIUM;BASSA;BASSA;OK;182
ACCUMULATION_MEDIUM;MEDIA;BASSA;KO;21
ACCUMULATION_MEDIUM;MEDIA;BASSA;OK;20
ACCUMULATION_MEDIUM;MEDIA;MEDIA;KO;178
ACCUMULATION_MEDIUM;MEDIA;MEDIA;OK;297
ACCUMULATION_STRONG;ALTA;ALTA;KO;114
ACCUMULATION_STRONG;ALTA;ALTA;OK;279
ACCUMULATION_STRONG;ALTA;MEDIA;KO;22
ACCUMULATION_STRONG;ALTA;MEDIA;OK;55
ACCUMULATION_STRONG;BASSA;BASSA;KO;156
ACCUMULATION_STRONG;BASSA;BASSA;OK;182
ACCUMULATION_STRONG;MEDIA;BASSA;KO;37
ACCUMULATION_STRONG;MEDIA;BASSA;OK;31
ACCUMULATION_STRONG;MEDIA;MEDIA;KO;162
ACCUMULATION_STRONG;MEDIA;MEDIA;OK;286
BASELINE;ALTA;ALTA;KO;136
BASELINE;ALTA;ALTA;OK;334
BASELINE;BASSA;BASSA;KO;156
BASELINE;BASSA;BASSA;OK;182
BASELINE;MEDIA;MEDIA;KO;199
BASELINE;MEDIA;MEDIA;OK;317
FOUR_SIGNALS_MEDIUM;ALTA;ALTA;KO;132
FOUR_SIGNALS_MEDIUM;ALTA;ALTA;OK;321
FOUR_SIGNALS_MEDIUM;ALTA;MEDIA;KO;4
FOUR_SIGNALS_MEDIUM;ALTA;MEDIA;OK;13
FOUR_SIGNALS_MEDIUM;BASSA;BASSA;KO;156
FOUR_SIGNALS_MEDIUM;BASSA;BASSA;OK;182
FOUR_SIGNALS_MEDIUM;MEDIA;BASSA;KO;4
FOUR_SIGNALS_MEDIUM;MEDIA;BASSA;OK;6
FOUR_SIGNALS_MEDIUM;MEDIA;MEDIA;KO;195
FOUR_SIGNALS_MEDIUM;MEDIA;MEDIA;OK;311
