Feature;Bin;MinValue;MaxValue;Matches;Over25;Under25;Over25Pct;Seasons
HomeXGFAvg;1;0.4071;0.9544;132;62;70;46.97;2022,2023,2024,2025
HomeXGFAvg;2;0.955;1.0264;132;60;72;45.45;2022,2023,2024,2025
HomeXGFAvg;3;1.0266;1.1308;132;55;77;41.67;2022,2023,2024,2025
HomeXGFAvg;4;1.1308;1.2233;132;53;79;40.15;2022,2023,2024,2025
HomeXGFAvg;5;1.2238;1.3037;132;63;69;47.73;2022,2023,2024,2025
HomeXGFAvg;6;1.3045;1.4074;132;70;62;53.03;2022,2023,2024,2025
HomeXGFAvg;7;1.4081;1.5396;132;61;71;46.21;2022,2023,2024,2025
HomeXGFAvg;8;1.5399;1.6954;132;66;66;50.0;2022,2023,2024,2025
HomeXGFAvg;9;1.6958;1.8959;132;67;65;50.76;2022,2023,2024,2025
HomeXGFAvg;10;1.9036;2.7108;132;65;67;49.24;2022,2023,2024,2025
HomeXGAAvg;1;0.4421;0.9386;132;63;69;47.73;2022,2023,2024,2025
HomeXGAAvg;2;0.9407;1.0727;132;60;72;45.45;2022,2023,2024,2025
HomeXGAAvg;3;1.0742;1.1581;132;61;71;46.21;2022,2023,2024,2025
HomeXGAAvg;4;1.159;1.2495;132;68;64;51.52;2022,2023,2024,2025
HomeXGAAvg;5;1.2497;1.3749;132;60;72;45.45;2022,2023,2024,2025
HomeXGAAvg;6;1.375;1.4823;132;56;76;42.42;2022,2023,2024,2025
HomeXGAAvg;7;1.4823;1.5954;132;64;68;48.48;2022,2023,2024,2025
HomeXGAAvg;8;1.5964;1.7059;132;59;73;44.7;2022,2023,2024,2025
HomeXGAAvg;9;1.7065;1.8205;132;65;67;49.24;2022,2023,2024,2025
HomeXGAAvg;10;1.8222;2.4587;132;66;66;50.0;2022,2023,2024,2025
AwayXGFAvg;1;0.4289;0.9515;132;62;70;46.97;2022,2023,2024,2025
AwayXGFAvg;2;0.9518;1.0298;132;59;73;44.7;2022,2023,2024,2025
AwayXGFAvg;3;1.03;1.1394;132;54;78;40.91;2022,2023,2024,2025
AwayXGFAvg;4;1.1397;1.2252;132;56;76;42.42;2022,2023,2024,2025
AwayXGFAvg;5;1.226;1.3129;132;65;67;49.24;2022,2023,2024,2025
AwayXGFAvg;6;1.3131;1.4095;132;68;64;51.52;2022,2023,2024,2025
AwayXGFAvg;7;1.4105;1.5379;132;64;68;48.48;2022,2023,2024,2025
AwayXGFAvg;8;1.5381;1.7239;132;63;69;47.73;2022,2023,2024,2025
AwayXGFAvg;9;1.7259;1.9079;132;63;69;47.73;2022,2023,2024,2025
AwayXGFAvg;10;1.92;2.8377;132;68;64;51.52;2022,2023,2024,2025
AwayXGAAvg;1;0.4535;0.9282;132;67;65;50.76;2022,2023,2024,2025
AwayXGAAvg;2;0.9291;1.0572;132;62;70;46.97;2022,2023,2024,2025
AwayXGAAvg;3;1.0579;1.1493;132;58;74;43.94;2022,2023,2024,2025
AwayXGAAvg;4;1.1517;1.2447;132;71;61;53.79;2022,2023,2024,2025
AwayXGAAvg;5;1.2458;1.3664;132;59;73;44.7;2022,2023,2024,2025
AwayXGAAvg;6;1.3667;1.4857;132;56;76;42.42;2022,2023,2024,2025
AwayXGAAvg;7;1.486;1.597;132;61;71;46.21;2022,2023,2024,2025
AwayXGAAvg;8;1.5973;1.7034;132;68;64;51.52;2022,2023,2024,2025
AwayXGAAvg;9;1.7036;1.8271;132;67;65;50.76;2022,2023,2024,2025
AwayXGAAvg;10;1.8272;2.6566;132;53;79;40.15;2022,2023,2024,2025
HomeXGFLast3Avg;1;0.2672;0.6842;132;61;71;46.21;2022,2023,2024,2025
HomeXGFLast3Avg;2;0.6851;0.8584;132;72;60;54.55;2022,2023,2024,2025
HomeXGFLast3Avg;3;0.8602;1.0109;132;53;79;40.15;2022,2023,2024,2025
HomeXGFLast3Avg;4;1.0112;1.1382;132;59;73;44.7;2022,2023,2024,2025
HomeXGFLast3Avg;5;1.1386;1.2616;132;67;65;50.76;2022,2023,2024,2025
HomeXGFLast3Avg;6;1.2623;1.4054;132;62;70;46.97;2022,2023,2024,2025
HomeXGFLast3Avg;7;1.4056;1.5792;132;58;74;43.94;2022,2023,2024,2025
HomeXGFLast3Avg;8;1.5801;1.7767;132;58;74;43.94;2022,2023,2024,2025
HomeXGFLast3Avg;9;1.7845;2.077;132;62;70;46.97;2022,2023,2024,2025
HomeXGFLast3Avg;10;2.0817;3.8021;132;70;62;53.03;2022,2023,2024,2025
HomeXGALast3Avg;1;0.2836;0.7149;132;67;65;50.76;2022,2023,2024,2025
HomeXGALast3Avg;2;0.7155;0.935;132;56;76;42.42;2022,2023,2024,2025
HomeXGALast3Avg;3;0.9358;1.0666;132;63;69;47.73;2022,2023,2024,2025
HomeXGALast3Avg;4;1.0669;1.1922;132;61;71;46.21;2022,2023,2024,2025
HomeXGALast3Avg;5;1.1923;1.3295;132;64;68;48.48;2022,2023,2024,2025
HomeXGALast3Avg;6;1.3303;1.4641;132;63;69;47.73;2022,2023,2024,2025
HomeXGALast3Avg;7;1.4641;1.6232;132;56;76;42.42;2022,2023,2024,2025
HomeXGALast3Avg;8;1.6238;1.8145;132;68;64;51.52;2022,2023,2024,2025
HomeXGALast3Avg;9;1.8185;2.0784;132;64;68;48.48;2022,2023,2024,2025
HomeXGALast3Avg;10;2.0812;4.1141;132;60;72;45.45;2022,2023,2024,2025
AwayXGFLast3Avg;1;0.2677;0.7325;132;64;68;48.48;2022,2023,2024,2025
AwayXGFLast3Avg;2;0.7368;0.9064;132;59;73;44.7;2022,2023,2024,2025
AwayXGFLast3Avg;3;0.9068;1.0375;132;55;77;41.67;2022,2023,2024,2025
AwayXGFLast3Avg;4;1.0391;1.1605;132;73;59;55.3;2022,2023,2024,2025
AwayXGFLast3Avg;5;1.1605;1.2967;132;53;79;40.15;2022,2023,2024,2025
AwayXGFLast3Avg;6;1.2968;1.4599;132;64;68;48.48;2022,2023,2024,2025
AwayXGFLast3Avg;7;1.4607;1.6229;132;59;73;44.7;2022,2023,2024,2025
AwayXGFLast3Avg;8;1.6251;1.8126;132;74;58;56.06;2022,2023,2024,2025
AwayXGFLast3Avg;9;1.8126;2.121;132;65;67;49.24;2022,2023,2024,2025
AwayXGFLast3Avg;10;2.1356;3.9095;132;56;76;42.42;2022,2023,2024,2025
AwayXGALast3Avg;1;0.2693;0.7141;132;57;75;43.18;2022,2023,2024,2025
AwayXGALast3Avg;2;0.7183;0.8739;132;77;55;58.33;2022,2023,2024,2025
AwayXGALast3Avg;3;0.8742;1.0074;132;57;75;43.18;2022,2023,2024,2025
AwayXGALast3Avg;4;1.0075;1.1513;132;68;64;51.52;2022,2023,2024,2025
AwayXGALast3Avg;5;1.1571;1.2922;132;57;75;43.18;2022,2023,2024,2025
AwayXGALast3Avg;6;1.2927;1.4139;132;58;74;43.94;2022,2023,2024,2025
AwayXGALast3Avg;7;1.414;1.5655;132;68;64;51.52;2022,2023,2024,2025
AwayXGALast3Avg;8;1.566;1.7323;132;57;75;43.18;2022,2023,2024,2025
AwayXGALast3Avg;9;1.7369;2.0373;132;63;69;47.73;2022,2023,2024,2025
AwayXGALast3Avg;10;2.0398;3.8291;132;60;72;45.45;2022,2023,2024,2025
HomeXGFLast5Avg;1;0.4059;0.8057;132;64;68;48.48;2022,2023,2024,2025
HomeXGFLast5Avg;2;0.8059;0.9404;132;57;75;43.18;2022,2023,2024,2025
HomeXGFLast5Avg;3;0.9408;1.0456;132;59;73;44.7;2022,2023,2024,2025
HomeXGFLast5Avg;4;1.0461;1.1666;132;64;68;48.48;2022,2023,2024,2025
HomeXGFLast5Avg;5;1.1668;1.2802;132;63;69;47.73;2022,2023,2024,2025
HomeXGFLast5Avg;6;1.2802;1.3914;132;61;71;46.21;2022,2023,2024,2025
HomeXGFLast5Avg;7;1.3921;1.5475;132;60;72;45.45;2022,2023,2024,2025
HomeXGFLast5Avg;8;1.5501;1.7453;132;55;77;41.67;2022,2023,2024,2025
HomeXGFLast5Avg;9;1.7478;2.022;132;63;69;47.73;2022,2023,2024,2025
HomeXGFLast5Avg;10;2.0241;3.2605;132;76;56;57.58;2022,2023,2024,2025
HomeXGALast5Avg;1;0.401;0.8203;132;61;71;46.21;2022,2023,2024,2025
HomeXGALast5Avg;2;0.8204;0.9912;132;63;69;47.73;2022,2023,2024,2025
HomeXGALast5Avg;3;0.9916;1.1149;132;62;70;46.97;2022,2023,2024,2025
HomeXGALast5Avg;4;1.116;1.219;132;58;74;43.94;2022,2023,2024,2025
HomeXGALast5Avg;5;1.22;1.3309;132;67;65;50.76;2022,2023,2024,2025
HomeXGALast5Avg;6;1.3311;1.4418;132;54;78;40.91;2022,2023,2024,2025
HomeXGALast5Avg;7;1.4425;1.5593;132;62;70;46.97;2022,2023,2024,2025
HomeXGALast5Avg;8;1.5596;1.7339;132;67;65;50.76;2022,2023,2024,2025
HomeXGALast5Avg;9;1.7364;1.9563;132;72;60;54.55;2022,2023,2024,2025
HomeXGALast5Avg;10;1.9572;3.6607;132;56;76;42.42;2022,2023,2024,2025
AwayXGFLast5Avg;1;0.3272;0.8244;132;60;72;45.45;2022,2023,2024,2025
