Driver;Group;BinIndex;BinMin;BinMax;Count;GroupTotal;Percentage
AtLeastOneTeamRestartNotReady;ALTA_KO;1;0.0;0.1;337;366;92.076503
AtLeastOneTeamRestartNotReady;ALTA_KO;2;0.1;0.2;0;366;0.0
AtLeastOneTeamRestartNotReady;ALTA_KO;3;0.2;0.3;0;366;0.0
AtLeastOneTeamRestartNotReady;ALTA_KO;4;0.3;0.4;0;366;0.0
AtLeastOneTeamRestartNotReady;ALTA_KO;5;0.4;0.5;0;366;0.0
AtLeastOneTeamRestartNotReady;ALTA_KO;6;0.5;0.6;0;366;0.0
AtLeastOneTeamRestartNotReady;ALTA_KO;7;0.6;0.7;0;366;0.0
AtLeastOneTeamRestartNotReady;ALTA_KO;8;0.7;0.8;0;366;0.0
AtLeastOneTeamRestartNotReady;ALTA_KO;9;0.8;0.9;0;366;0.0
AtLeastOneTeamRestartNotReady;ALTA_KO;10;0.9;1.0;29;366;7.923497
AtLeastOneTeamRestartNotReady;ALTA_OK;1;0.0;0.1;948;1043;90.891659
AtLeastOneTeamRestartNotReady;ALTA_OK;2;0.1;0.2;0;1043;0.0
AtLeastOneTeamRestartNotReady;ALTA_OK;3;0.2;0.3;0;1043;0.0
AtLeastOneTeamRestartNotReady;ALTA_OK;4;0.3;0.4;0;1043;0.0
AtLeastOneTeamRestartNotReady;ALTA_OK;5;0.4;0.5;0;1043;0.0
AtLeastOneTeamRestartNotReady;ALTA_OK;6;0.5;0.6;0;1043;0.0
AtLeastOneTeamRestartNotReady;ALTA_OK;7;0.6;0.7;0;1043;0.0
AtLeastOneTeamRestartNotReady;ALTA_OK;8;0.7;0.8;0;1043;0.0
AtLeastOneTeamRestartNotReady;ALTA_OK;9;0.8;0.9;0;1043;0.0
AtLeastOneTeamRestartNotReady;ALTA_OK;10;0.9;1.0;95;1043;9.108341
AtLeastOneTeamRestartNotReady;MEDIA_KO;1;0.0;0.1;934;1002;93.213573
AtLeastOneTeamRestartNotReady;MEDIA_KO;2;0.1;0.2;0;1002;0.0
AtLeastOneTeamRestartNotReady;MEDIA_KO;3;0.2;0.3;0;1002;0.0
AtLeastOneTeamRestartNotReady;MEDIA_KO;4;0.3;0.4;0;1002;0.0
AtLeastOneTeamRestartNotReady;MEDIA_KO;5;0.4;0.5;0;1002;0.0
AtLeastOneTeamRestartNotReady;MEDIA_KO;6;0.5;0.6;0;1002;0.0
AtLeastOneTeamRestartNotReady;MEDIA_KO;7;0.6;0.7;0;1002;0.0
AtLeastOneTeamRestartNotReady;MEDIA_KO;8;0.7;0.8;0;1002;0.0
AtLeastOneTeamRestartNotReady;MEDIA_KO;9;0.8;0.9;0;1002;0.0
AtLeastOneTeamRestartNotReady;MEDIA_KO;10;0.9;1.0;68;1002;6.786427
AtLeastOneTeamRestartNotReady;MEDIA_OK;1;0.0;0.1;1531;1638;93.467643
AtLeastOneTeamRestartNotReady;MEDIA_OK;2;0.1;0.2;0;1638;0.0
AtLeastOneTeamRestartNotReady;MEDIA_OK;3;0.2;0.3;0;1638;0.0
AtLeastOneTeamRestartNotReady;MEDIA_OK;4;0.3;0.4;0;1638;0.0
AtLeastOneTeamRestartNotReady;MEDIA_OK;5;0.4;0.5;0;1638;0.0
AtLeastOneTeamRestartNotReady;MEDIA_OK;6;0.5;0.6;0;1638;0.0
AtLeastOneTeamRestartNotReady;MEDIA_OK;7;0.6;0.7;0;1638;0.0
AtLeastOneTeamRestartNotReady;MEDIA_OK;8;0.7;0.8;0;1638;0.0
AtLeastOneTeamRestartNotReady;MEDIA_OK;9;0.8;0.9;0;1638;0.0
AtLeastOneTeamRestartNotReady;MEDIA_OK;10;0.9;1.0;107;1638;6.532357
AveragePPGLast5;ALTA_KO;1;0.0;0.3;0;358;0.0
AveragePPGLast5;ALTA_KO;2;0.3;0.6;10;358;2.793296
AveragePPGLast5;ALTA_KO;3;0.6;0.9;22;358;6.145251
AveragePPGLast5;ALTA_KO;4;0.9;1.2;56;358;15.642458
AveragePPGLast5;ALTA_KO;5;1.2;1.5;76;358;21.22905
AveragePPGLast5;ALTA_KO;6;1.5;1.8;95;358;26.536313
AveragePPGLast5;ALTA_KO;7;1.8;2.1;56;358;15.642458
AveragePPGLast5;ALTA_KO;8;2.1;2.4;30;358;8.379888
AveragePPGLast5;ALTA_KO;9;2.4;2.7;10;358;2.793296
AveragePPGLast5;ALTA_KO;10;2.7;3.0;3;358;0.837989
AveragePPGLast5;ALTA_OK;1;0.0;0.3;5;1025;0.487805
