Driver;ALTA_OK_Count;ALTA_OK_Mean;ALTA_OK_Median;ALTA_OK_StdDev;ALTA_KO_Count;ALTA_KO_Mean;ALTA_KO_Median;ALTA_KO_StdDev;MEDIA_OK_Count;MEDIA_OK_Mean;MEDIA_OK_Median;MEDIA_OK_StdDev;MEDIA_KO_Count;MEDIA_KO_Mean;MEDIA_KO_Median;MEDIA_KO_StdDev;AltaDeltaMean;MediaDeltaMean;AltaAUC;MediaAUC;AltaEffectSize;MediaEffectSize;AltaDirection;MediaDirection;AltaPower;MediaPower
AwayWinsLast5;117;2.051282;2.0;1.197192;41;2.536585;2.0;1.191383;106;1.801887;2.0;1.269525;83;1.927711;2.0;1.148945;-0.485303;-0.125824;0.379925;0.467663;-0.405872;-0.103294;LOWER_IS_BETTER;LOWER_IS_BETTER;0.24015;0.064674
AwayPPGLast5;117;1.389744;1.4;0.699131;41;1.658537;1.6;0.673171;106;1.296226;1.3;0.736248;83;1.387952;1.4;0.636519;-0.268793;-0.091725;0.384615;0.466185;-0.388111;-0.132115;LOWER_IS_BETTER;LOWER_IS_BETTER;0.230769;0.067629
HomeGFLast5Avg;117;2.251282;2.2;0.922336;41;1.902439;1.8;0.677329;106;1.683019;1.6;0.737598;83;1.607229;1.4;0.700049;0.348843;0.07579;0.60986;0.527677;0.402753;0.105063;HIGHER_IS_BETTER;HIGHER_IS_BETTER;0.219721;0.055353
HomeWinsLast5;117;2.324786;2.0;1.252888;41;1.878049;2.0;1.310281;106;1.981132;2.0;1.124186;83;1.951807;2.0;1.288537;0.446738;0.029325;0.605066;0.509263;0.352358;0.024457;HIGHER_IS_BETTER;HIGHER_IS_BETTER;0.210131;0.018527
HomePPGLast5;117;1.560684;1.4;0.71192;41;1.321951;1.2;0.713464;106;1.4;1.4;0.622836;83;1.395181;1.4;0.715391;0.238733;0.004819;0.603606;0.502103;0.33515;0.007247;HIGHER_IS_BETTER;HIGHER_IS_BETTER;0.207213;0.004206
AwayGALast5Avg;117;2.205128;2.0;0.896512;41;1.882927;1.8;0.712229;106;1.632075;1.6;0.679143;83;1.701205;1.6;0.754344;0.322201;-0.069129;0.599437;0.485906;0.377699;-0.096943;HIGHER_IS_BETTER;LOWER_IS_BETTER;0.198874;0.028188
BTTSProfileScore;117;8.554274;8.4;1.045376;41;8.49878;8.57;0.925925;106;7.094811;7.11;0.926455;83;7.407952;7.38;0.968291;0.055493;-0.31314;0.510736;0.402989;0.054614;-0.331356;HIGHER_IS_BETTER;LOWER_IS_BETTER;0.021472;0.194021
HomeGFAvgSinceRestart;117;2.283915;2.0;1.386959;41;1.764244;2.0;1.127489;106;1.606689;1.5;1.21477;83;1.586349;1.4;1.09933;0.519671;0.020339;0.591932;0.496704;0.392121;0.01745;HIGHER_IS_BETTER;LOWER_IS_BETTER;0.183865;0.006592
HomeVenueOverScore;117;7.721624;8.0;1.669862;41;7.774878;8.33;1.496133;106;6.329151;6.67;1.881053;83;5.784217;6.0;1.871175;-0.053254;0.544934;0.497082;0.584622;-0.03273;0.290364;LOWER_IS_BETTER;HIGHER_IS_BETTER;0.005837;0.169243
HomeOverRateSinceRestart;117;0.797282;1.0;0.337044;41;0.691171;0.9;0.398163;106;0.641406;0.667;0.37736;83;0.643578;0.667;0.365752;0.106111;-0.002173;0.583177;0.502103;0.299984;-0.005836;HIGHER_IS_BETTER;HIGHER_IS_BETTER;0.166354;0.004206
