Driver;Band;BinIndex;BinMin;BinMax;OK;KO;Total;HitRate
RankingGapScore;ALTA;1;0.4;0.55;2;0;2;1.0
RankingGapScore;ALTA;2;0.55;1.2;1;0;1;1.0
RankingGapScore;ALTA;3;1.2;1.6;1;0;1;1.0
RankingGapScore;ALTA;4;1.6;2.0;1;0;1;1.0
RankingGapScore;ALTA;5;2.0;2.8;1;0;1;1.0
RankingGapScore;ALTA;6;2.8;3.27;2;0;2;1.0
RankingGapScore;ALTA;7;3.27;3.892;1;2;3;0.333333
RankingGapScore;ALTA;8;3.892;4.174;1;1;2;0.5
RankingGapScore;ALTA;9;4.174;4.888;2;0;2;1.0
RankingGapScore;ALTA;10;4.888;6.0;1;1;2;0.5
RankingGapScore;MEDIA;1;0.4;0.55;1;1;2;0.5
RankingGapScore;MEDIA;2;0.55;1.2;2;1;3;0.666667
RankingGapScore;MEDIA;3;1.2;1.6;2;0;2;1.0
RankingGapScore;MEDIA;4;1.6;2.0;3;1;4;0.75
RankingGapScore;MEDIA;5;2.0;2.8;3;0;3;1.0
RankingGapScore;MEDIA;6;2.8;3.27;2;1;3;0.666667
RankingGapScore;MEDIA;7;3.27;3.892;1;1;2;0.5
RankingGapScore;MEDIA;8;3.892;4.174;1;1;2;0.5
RankingGapScore;MEDIA;9;4.174;4.888;1;1;2;0.5
RankingGapScore;MEDIA;10;4.888;6.0;1;2;3;0.333333
HomeAttackScore;ALTA;1;4.92;6.008;0;0;0;
HomeAttackScore;ALTA;2;6.008;6.848;1;0;1;1.0
HomeAttackScore;ALTA;3;6.848;7.82;0;1;1;0.0
HomeAttackScore;ALTA;4;7.82;9.36;2;0;2;1.0
HomeAttackScore;ALTA;5;9.36;10.21;1;0;1;1.0
HomeAttackScore;ALTA;6;10.21;11.296;3;0;3;1.0
HomeAttackScore;ALTA;7;11.296;12.47;1;1;2;0.5
HomeAttackScore;ALTA;8;12.47;12.8;1;1;2;0.5
HomeAttackScore;ALTA;9;12.8;13.0;4;1;5;0.8
HomeAttackScore;MEDIA;1;4.92;6.008;2;3;5;0.4
HomeAttackScore;MEDIA;2;6.008;6.848;2;1;3;0.666667
HomeAttackScore;MEDIA;3;6.848;7.82;3;0;3;1.0
HomeAttackScore;MEDIA;4;7.82;9.36;1;0;1;1.0
HomeAttackScore;MEDIA;5;9.36;10.21;3;1;4;0.75
HomeAttackScore;MEDIA;6;10.21;11.296;1;1;2;0.5
HomeAttackScore;MEDIA;7;11.296;12.47;0;1;1;0.0
HomeAttackScore;MEDIA;8;12.47;12.8;2;0;2;1.0
HomeAttackScore;MEDIA;9;12.8;13.0;3;2;5;0.6
AwayAttackScore;ALTA;1;4.17;5.91;1;1;2;0.5
AwayAttackScore;ALTA;2;5.91;7.442;0;0;0;
AwayAttackScore;ALTA;3;7.442;8.27;2;0;2;1.0
AwayAttackScore;ALTA;4;8.27;8.86;0;0;0;
AwayAttackScore;ALTA;5;8.86;9.85;3;0;3;1.0
AwayAttackScore;ALTA;6;9.85;10.896;1;0;1;1.0
AwayAttackScore;ALTA;7;10.896;11.82;1;0;1;1.0
AwayAttackScore;ALTA;8;11.82;12.43;2;0;2;1.0
AwayAttackScore;ALTA;9;12.43;13.0;3;3;6;0.5
AwayAttackScore;MEDIA;1;4.17;5.91;1;1;2;0.5
AwayAttackScore;MEDIA;2;5.91;7.442;3;2;5;0.6
AwayAttackScore;MEDIA;3;7.442;8.27;0;2;2;0.0
AwayAttackScore;MEDIA;4;8.27;8.86;2;0;2;1.0
AwayAttackScore;MEDIA;5;8.86;9.85;2;0;2;1.0
AwayAttackScore;MEDIA;6;9.85;10.896;3;2;5;0.6
AwayAttackScore;MEDIA;7;10.896;11.82;1;0;1;1.0
AwayAttackScore;MEDIA;8;11.82;12.43;3;1;4;0.75
AwayAttackScore;MEDIA;9;12.43;13.0;2;1;3;0.666667
HomeDefenseWeaknessScore;ALTA;1;2.02;3.416;0;0;0;
HomeDefenseWeaknessScore;ALTA;2;3.416;3.968;0;0;0;
HomeDefenseWeaknessScore;ALTA;3;3.968;4.716;0;1;1;0.0
HomeDefenseWeaknessScore;ALTA;4;4.716;5.214;0;1;1;0.0
HomeDefenseWeaknessScore;ALTA;5;5.214;5.86;2;0;2;1.0
HomeDefenseWeaknessScore;ALTA;6;5.86;6.614;3;0;3;1.0
HomeDefenseWeaknessScore;ALTA;7;6.614;7.632;1;0;1;1.0
HomeDefenseWeaknessScore;ALTA;8;7.632;8.0;7;2;9;0.777778
HomeDefenseWeaknessScore;MEDIA;1;2.02;3.416;4;1;5;0.8
HomeDefenseWeaknessScore;MEDIA;2;3.416;3.968;4;0;4;1.0
HomeDefenseWeaknessScore;MEDIA;3;3.968;4.716;2;1;3;0.666667
HomeDefenseWeaknessScore;MEDIA;4;4.716;5.214;1;2;3;0.333333
HomeDefenseWeaknessScore;MEDIA;5;5.214;5.86;1;0;1;1.0
HomeDefenseWeaknessScore;MEDIA;6;5.86;6.614;2;1;3;0.666667
HomeDefenseWeaknessScore;MEDIA;7;6.614;7.632;1;2;3;0.333333
HomeDefenseWeaknessScore;MEDIA;8;7.632;8.0;2;2;4;0.5
AwayDefenseWeaknessScore;ALTA;1;4.04;5.68;0;0;0;
AwayDefenseWeaknessScore;ALTA;2;5.68;6.236;1;1;2;0.5
AwayDefenseWeaknessScore;ALTA;3;6.236;6.748;1;0;1;1.0
AwayDefenseWeaknessScore;ALTA;4;6.748;7.2;1;0;1;1.0
AwayDefenseWeaknessScore;ALTA;5;7.2;8.08;1;0;1;1.0
AwayDefenseWeaknessScore;ALTA;6;8.08;8.368;0;0;0;
AwayDefenseWeaknessScore;ALTA;7;8.368;9.254;2;1;3;0.666667
AwayDefenseWeaknessScore;ALTA;8;9.254;10.0;7;2;9;0.777778
AwayDefenseWeaknessScore;MEDIA;1;4.04;5.68;2;2;4;0.5
AwayDefenseWeaknessScore;MEDIA;2;5.68;6.236;2;1;3;0.666667
AwayDefenseWeaknessScore;MEDIA;3;6.236;6.748;2;1;3;0.666667
AwayDefenseWeaknessScore;MEDIA;4;6.748;7.2;0;1;1;0.0
AwayDefenseWeaknessScore;MEDIA;5;7.2;8.08;5;0;5;1.0
AwayDefenseWeaknessScore;MEDIA;6;8.08;8.368;3;2;5;0.6
