Rule1;Rule2;ALTA_OK;ALTA_KO;MEDIA_OK;MEDIA_KO;AltaTotal;AltaHitRate;MediaTotal;MediaHitRate;PrimaryUse
AwayAttackScore<=11.82;HomeLast10OverScore<=6.0;30;0;418;260;30;1.0;678;0.616519;REDUCE_ALTA_KO
AwayAttackScore<=10.97;HomeLast10OverScore<=6.0;20;0;328;216;20;1.0;544;0.602941;REDUCE_ALTA_KO
AwayAttackScore<=9.97;HomeLast10OverScore<=6.0;9;0;279;176;9;1.0;455;0.613187;REDUCE_ALTA_KO
AwayLast10OverScore<=6.0;BTTSProfileScore<=6.91;2;0;251;149;2;1.0;400;0.6275;REDUCE_ALTA_KO
HomeAttackScore<=7.27;AwayAttackScore<=9.97;11;0;211;173;11;1.0;384;0.549479;REDUCE_ALTA_KO
AwayAttackScore<=9.106;HomeLast10OverScore<=6.0;8;0;224;133;8;1.0;357;0.627451;REDUCE_ALTA_KO
HomeLast10OverScore<=6.0;AwayGFLast5Avg<=1.6;16;0;194;136;16;1.0;330;0.587879;REDUCE_ALTA_KO
HomeVenueOverScore<=6.36;AwayVenueOverScore<=5.0;3;0;199;120;3;1.0;319;0.623824;REDUCE_ALTA_KO
HomeLast10OverScore<=7.2;AwayVenueOverScore<=5.0;4;0;196;118;4;1.0;314;0.624204;REDUCE_ALTA_KO
HomeLast10OverScore<=7.2;AwayVenueOverScore<=5.0;4;0;196;118;4;1.0;314;0.624204;REDUCE_ALTA_KO
HomeLast10OverScore<=7.2;AwayLast10OverScore<=6.0;1;0;206;107;1;1.0;313;0.658147;REDUCE_ALTA_KO
HomeLast10OverScore<=7.2;AwayLast10OverScore<=6.0;1;0;206;107;1;1.0;313;0.658147;REDUCE_ALTA_KO
HomeAttackScore<=7.27;AwayAttackScore<=9.106;8;0;171;139;8;1.0;310;0.551613;REDUCE_ALTA_KO
AwayLast10OverScore<=7.2;HomeVenueOverScore<=5.0;2;0;185;124;2;1.0;309;0.598706;REDUCE_ALTA_KO
