Rule1;Rule2;Rule3;ALTA_OK;ALTA_KO;MEDIA_OK;MEDIA_KO;AltaTotal;AltaHitRate;MediaTotal;MediaHitRate;PrimaryUse
HomeLongBreakDays<=25.0;HomeGFAvgSinceRestart>=2.5;AwayPPGLast5<=0.8;28;1;5;1;29;0.965517;6;0.833333;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.5;HomeLongBreakDays<=23.0;AwayPPGLast5<=0.8;22;1;2;1;23;0.956522;3;0.666667;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.0332;AwayPPGLast5<=0.8;55;3;18;8;58;0.948276;26;0.692308;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;AwayPPGLast5<=0.8;HomeMatchesSinceRestart>=3.0;33;4;18;1;37;0.891892;19;0.947368;PROMOTE_MEDIA_OK
HomeOverRateSinceRestart>=1.0;AwayPPGLast5<=0.8;HomeMatchesSinceRestart>=3.0;33;4;18;1;37;0.891892;19;0.947368;PROMOTE_MEDIA_OK
HomeOverRateSinceRestart>=1.0;AwayPPGLast5<=0.8;HomeMatchesSinceRestart>=3.0;33;4;18;1;37;0.891892;19;0.947368;PROMOTE_MEDIA_OK
HomeOverRateSinceRestart>=1.0;AwayPPGLast5<=0.8;HomeMatchesSinceRestart>=3.0;33;4;18;1;37;0.891892;19;0.947368;PROMOTE_MEDIA_OK
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=1.667;AwayPPGLast5<=0.8;49;3;22;11;52;0.942308;33;0.666667;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=1.667;AwayPPGLast5<=0.8;49;3;22;11;52;0.942308;33;0.666667;REDUCE_ALTA_KO
HomeLongBreakDays<=25.0;HomeGFAvgSinceRestart>=2.0332;AwayPPGLast5<=0.8;32;2;10;2;34;0.941176;12;0.833333;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0;AwayPPGLast5<=0.8;46;3;22;11;49;0.938776;33;0.666667;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0;AwayPPGLast5<=0.8;46;3;22;11;49;0.938776;33;0.666667;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.5;AwayPPGLast5<=0.8;44;3;16;6;47;0.93617;22;0.727273;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=1.667;AwayPPGLast5<=0.8;70;5;28;14;75;0.933333;42;0.666667;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.0;AwayPPGLast5<=0.8;67;5;27;13;72;0.930556;40;0.675;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeGFAvgSinceRestart>=2.5;AwayPPGLast5<=0.8;39;3;9;5;42;0.928571;14;0.642857;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.5;AwayPPGLast5<=0.8;HomeMatchesSinceRestart>=3.0;36;4;13;1;40;0.9;14;0.928571;PROMOTE_MEDIA_OK
HomeGFAvgSinceRestart>=2.5;AwayPPGLast5<=0.8;HomeMatchesSinceRestart>=3.0;36;4;13;1;40;0.9;14;0.928571;PROMOTE_MEDIA_OK
HomeLongBreakDays<=28.0;HomeGFAvgSinceRestart>=2.5;AwayPPGLast5<=0.8;38;3;9;5;41;0.926829;14;0.642857;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.0332;HomeLongBreakDays<=23.0;AwayPPGLast5<=0.8;25;2;7;2;27;0.925926;9;0.777778;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0332;AwayPPGLast5<=0.8;37;3;17;6;40;0.925;23;0.73913;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0332;AwayPPGLast5<=0.8;37;3;17;6;40;0.925;23;0.73913;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeGFAvgSinceRestart>=2.0332;AwayPPGLast5<=0.8;48;4;17;6;52;0.923077;23;0.73913;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.0332;HomeOverRateSinceRestart>=0.714;AwayPPGLast5<=0.8;59;5;23;8;64;0.921875;31;0.741935;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeGFAvgSinceRestart>=2.0332;AwayPPGLast5<=0.8;46;4;16;6;50;0.92;22;0.727273;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.5;HomeOverRateSinceRestart>=0.714;AwayPPGLast5<=0.8;46;4;18;6;50;0.92;24;0.75;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.5;HomeLongBreakDays<=32.0;AwayPPGLast5<=0.8;45;4;11;5;49;0.918367;16;0.6875;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.0332;HomeLongBreakDays<=32.0;AwayPPGLast5<=0.8;56;5;19;6;61;0.918033;25;0.76;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.5;AwayPPGLast5<=0.8;32;3;16;5;35;0.914286;21;0.761905;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.5;AwayPPGLast5<=0.8;32;3;16;5;35;0.914286;21;0.761905;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.0332;AwayPPGLast5<=0.8;HomeMatchesSinceRestart>=3.0;51;5;25;3;56;0.910714;28;0.892857;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.0332;AwayPPGLast5<=0.8;HomeMatchesSinceRestart>=3.0;51;5;25;3;56;0.910714;28;0.892857;REDUCE_ALTA_KO
HomeLongBreakDays<=32.0;HomeGFAvgSinceRestart>=1.667;AwayPPGLast5<=0.8;79;8;34;19;87;0.908046;53;0.641509;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeGFAvgSinceRestart>=1.667;AwayPPGLast5<=0.8;69;7;29;19;76;0.907895;48;0.604167;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeGFAvgSinceRestart>=1.667;AwayPPGLast5<=0.8;67;7;28;16;74;0.905405;44;0.636364;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.0332;119;13;18;16;132;0.901515;34;0.529412;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeLongBreakDays<=35.0;AwayPPGLast5<=0.8;72;8;30;11;80;0.9;41;0.731707;REDUCE_ALTA_KO
HomeLongBreakDays<=25.0;HomeGFAvgSinceRestart>=1.667;AwayPPGLast5<=0.8;45;5;16;10;50;0.9;26;0.615385;REDUCE_ALTA_KO
HomeLongBreakDays<=23.0;HomeGFAvgSinceRestart>=1.667;AwayPPGLast5<=0.8;36;4;13;9;40;0.9;22;0.590909;REDUCE_ALTA_KO
HomeLongBreakDays<=25.0;HomeOverRateSinceRestart>=0.8;AwayPPGLast5<=0.8;35;4;8;5;39;0.897436;13;0.615385;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.0332;AwayPPGLast5<=0.8;HomeOverRateSinceRestart>=0.667;61;7;24;8;68;0.897059;32;0.75;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=1.667;HomeOverRateSinceRestart>=0.714;AwayPPGLast5<=0.8;78;9;36;15;87;0.896552;51;0.705882;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeLongBreakDays<=32.0;AwayPPGLast5<=0.8;69;8;27;10;77;0.896104;37;0.72973;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.0332;112;13;18;16;125;0.896;34;0.529412;REDUCE_ALTA_KO
HomeLongBreakDays<=32.0;HomeGFAvgSinceRestart>=2.0;AwayPPGLast5<=0.8;68;8;27;13;76;0.894737;40;0.675;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeLongBreakDays<=25.0;AwayPPGLast5<=0.8;17;2;6;3;19;0.894737;9;0.666667;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeLongBreakDays<=25.0;AwayPPGLast5<=0.8;17;2;6;3;19;0.894737;9;0.666667;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.0;152;18;31;21;170;0.894118;52;0.596154;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.5;92;11;15;14;103;0.893204;29;0.517241;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeLongBreakDays<=35.0;AwayPPGLast5<=0.8;50;6;27;8;56;0.892857;35;0.771429;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeLongBreakDays<=35.0;AwayPPGLast5<=0.8;50;6;27;8;56;0.892857;35;0.771429;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeGFAvgSinceRestart>=2.0;AwayPPGLast5<=0.8;58;7;23;13;65;0.892308;36;0.638889;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeGFAvgSinceRestart>=2.0332;HomeOverRateSinceRestart>=0.714;131;16;29;16;147;0.891156;45;0.644444;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=1.667;106;13;24;15;119;0.890756;39;0.615385;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=1.667;106;13;24;15;119;0.890756;39;0.615385;REDUCE_ALTA_KO
