Driver1;Driver2;Count;Correlation;AbsoluteCorrelation;RedundancyLevel
AveragePPGLast5;TotalPPGLast5;43;1.0;1.0;HIGH
AwayRestartReady;AwayRestartNotReady;43;-1.0;1.0;HIGH
HomeRestartReady;HomeRestartNotReady;43;-1.0;1.0;HIGH
AwayPPGLast5;AwayWinsLast5;43;0.971884;0.971884;HIGH
HomePPGLast5;HomeWinsLast5;43;0.971519;0.971519;HIGH
HomeLongBreakDays;AwayLongBreakDays;43;0.893138;0.893138;HIGH
HomeMatchesSinceRestart;AwayMatchesSinceRestart;43;0.859367;0.859367;HIGH
WorstPPGLast5;AveragePPGLast5;43;0.832481;0.832481;HIGH
WorstPPGLast5;TotalPPGLast5;43;0.832481;0.832481;HIGH
HomeAttackScore;HomeGFLast5Avg;43;0.819287;0.819287;HIGH
AwayWinlessLast5;AwayLowPPGLowGF;43;0.806478;0.806478;HIGH
AwayAttackScore;AwayGFLast5Avg;43;0.761602;0.761602;MEDIUM
AwayDefenseWeaknessScore;AwayGALast5Avg;43;0.757164;0.757164;MEDIUM
HomePPGLast5;HomeGFLast5Avg;43;0.756939;0.756939;MEDIUM
HomeWinsLast5;HomeGFLast5Avg;43;0.746195;0.746195;MEDIUM
HomeWinlessLast5;HomeLowPPGLowGF;43;0.726273;0.726273;MEDIUM
HomeDefenseWeaknessScore;HomeGALast5Avg;43;0.725177;0.725177;MEDIUM
HomeWinsLast5;HomeWinlessLast5;43;-0.709093;0.709093;MEDIUM
AwayWinsLast5;AwayGFLast5Avg;43;0.695917;0.695917;MEDIUM
HomeAttackScore;HomePPGLast5;43;0.691164;0.691164;MEDIUM
HomePPGLast5;HomeWinlessLast5;43;-0.683941;0.683941;MEDIUM
AwayAttackScore;AwayWinsLast5;43;0.679057;0.679057;MEDIUM
AwayGALast5Avg;AwayMatchesSinceRestart;43;0.67744;0.67744;MEDIUM
HomeAttackScore;HomeWinsLast5;43;0.67534;0.67534;MEDIUM
AwayGFAvgSinceRestart;AwayRestartNotReady;43;-0.666682;0.666682;MEDIUM
AwayGFAvgSinceRestart;AwayRestartReady;43;0.666682;0.666682;MEDIUM
HomeLongBreakDays;HomeMatchesSinceRestart;43;-0.664739;0.664739;MEDIUM
HomePPGLast5;AveragePPGLast5;43;0.664405;0.664405;MEDIUM
HomePPGLast5;TotalPPGLast5;43;0.664405;0.664405;MEDIUM
AwayGFLast5Avg;AwayGFAvgSinceRestart;43;0.660168;0.660168;MEDIUM
AwayAttackScore;AwayPPGLast5;43;0.657695;0.657695;MEDIUM
AwayPPGLast5;AwayGFLast5Avg;43;0.657613;0.657613;MEDIUM
AveragePPGLast5;HomeWinsLast5;43;0.655905;0.655905;MEDIUM
TotalPPGLast5;HomeWinsLast5;43;0.655905;0.655905;MEDIUM
HomePPGLast5;HomeGALast5Avg;43;-0.646336;0.646336;MEDIUM
WorstPPGLast5;HomeWinsLast5;43;0.6446;0.6446;MEDIUM
HomeAttackScore;HomeGFAvgSinceRestart;43;0.643409;0.643409;MEDIUM
AwayAttackScore;AwayGFAvgSinceRestart;43;0.640603;0.640603;MEDIUM
AwayGFAvgSinceRestart;AwayOverRateSinceRestart;43;0.619183;0.619183;MEDIUM
HomeLast10OverScore;HomeVenueOverScore;43;0.617836;0.617836;MEDIUM
AwayPPGLast5;AwayGALast5Avg;43;-0.617325;0.617325;MEDIUM
HomeLongBreakDays;AwayMatchesSinceRestart;43;-0.616948;0.616948;MEDIUM
HomeGFLast5Avg;HomeGFAvgSinceRestart;43;0.616259;0.616259;MEDIUM
AwayLast10OverScore;AwayVenueOverScore;43;0.615247;0.615247;MEDIUM
AwayRestartNotReady;AtLeastOneTeamRestartNotReady;43;0.607866;0.607866;MEDIUM
AwayRestartReady;AtLeastOneTeamRestartNotReady;43;-0.607866;0.607866;MEDIUM
AwayLongBreakDays;HomeMatchesSinceRestart;43;-0.604735;0.604735;MEDIUM
WorstPPGLast5;HomeWinlessLast5;43;-0.601983;0.601983;MEDIUM
HomePPGLast5;WorstPPGLast5;43;0.599897;0.599897;LOW
AwayGALast5Avg;HomeMatchesSinceRestart;43;0.594795;0.594795;LOW
AwayWinsLast5;AwayGFAvgSinceRestart;43;0.59349;0.59349;LOW
AwayOverRateSinceRestart;AwayRestartNotReady;43;-0.586825;0.586825;LOW
AwayOverRateSinceRestart;AwayRestartReady;43;0.586825;0.586825;LOW
AwayPPGLast5;AwayGFAvgSinceRestart;43;0.582713;0.582713;LOW
HomeMatchesSinceRestart;AtLeastOneTeamRestartNotReady;43;-0.579316;0.579316;LOW
AwayMatchesSinceRestart;AtLeastOneTeamRestartNotReady;43;-0.573998;0.573998;LOW
AwayPPGLast5;AveragePPGLast5;43;0.57321;0.57321;LOW
AwayPPGLast5;TotalPPGLast5;43;0.57321;0.57321;LOW
HomeRestartNotReady;AtLeastOneTeamRestartNotReady;43;0.572822;0.572822;LOW
HomeRestartReady;AtLeastOneTeamRestartNotReady;43;-0.572822;0.572822;LOW
AveragePPGLast5;AwayWinsLast5;43;0.572063;0.572063;LOW
TotalPPGLast5;AwayWinsLast5;43;0.572063;0.572063;LOW
HomeWinsLast5;HomeGALast5Avg;43;-0.567878;0.567878;LOW
HomeAttackScore;HomeLast10OverScore;43;0.565448;0.565448;LOW
HomeAttackScore;HomeVenueOverScore;43;0.557023;0.557023;LOW
HomeGFAvgSinceRestart;HomeRestartNotReady;43;-0.555579;0.555579;LOW
HomeGFAvgSinceRestart;HomeRestartReady;43;0.555579;0.555579;LOW
HomePPGLast5;HomeLowPPGLowGF;43;-0.550159;0.550159;LOW
HomeLast10OverScore;HomeGFLast5Avg;43;0.550112;0.550112;LOW
HomeLongBreakDays;AtLeastOneTeamRestartNotReady;43;0.538715;0.538715;LOW
HomeDefenseWeaknessScore;BTTSProfileScore;43;0.538617;0.538617;LOW
AwayLongBreakDays;AwayMatchesSinceRestart;43;-0.532431;0.532431;LOW
WorstPPGLast5;HomeLowPPGLowGF;43;-0.515374;0.515374;LOW
HomeWinsLast5;HomeLowPPGLowGF;43;-0.514995;0.514995;LOW
AwayWinsLast5;AwayGALast5Avg;43;-0.513623;0.513623;LOW
AwayLowPPGLowGF;AwayOverRateSinceRestart;43;-0.510848;0.510848;LOW
HomeLast10OverScore;HomeMatchesSinceRestart;43;0.507309;0.507309;LOW
AwayDefenseWeaknessScore;AwayMatchesSinceRestart;43;0.506054;0.506054;LOW
AwayDefenseWeaknessScore;AwayPPGLast5;43;-0.504631;0.504631;LOW
AwayDefenseWeaknessScore;HomeMatchesSinceRestart;43;0.503148;0.503148;LOW
AwayLast10OverScore;AwayRestartNotReady;43;-0.499908;0.499908;LOW
AwayLast10OverScore;AwayRestartReady;43;0.499908;0.499908;LOW
AwayWinsLast5;AwayWinlessLast5;43;-0.499198;0.499198;LOW
WorstPPGLast5;AwayGALast5Avg;43;-0.493423;0.493423;LOW
HomeDefenseWeaknessScore;HomeOverRateSinceRestart;43;0.491926;0.491926;LOW
HomeLast10OverScore;BTTSProfileScore;43;0.491648;0.491648;LOW
AveragePPGLast5;HomeGALast5Avg;43;-0.485639;0.485639;LOW
TotalPPGLast5;HomeGALast5Avg;43;-0.485639;0.485639;LOW
HomeLast10OverScore;AwayMatchesSinceRestart;43;0.482313;0.482313;LOW
AwayAttackScore;AwayLast10OverScore;43;0.48187;0.48187;LOW
AwayPPGLast5;AwayWinlessLast5;43;-0.475709;0.475709;LOW
HomeVenueOverScore;HomeGFLast5Avg;43;0.471374;0.471374;LOW
HomeOverRateSinceRestart;AtLeastOneTeamRestartNotReady;43;-0.470935;0.470935;LOW
AveragePPGLast5;HomeLowPPGLowGF;43;-0.470727;0.470727;LOW
TotalPPGLast5;HomeLowPPGLowGF;43;-0.470727;0.470727;LOW
AveragePPGLast5;AwayGALast5Avg;43;-0.467333;0.467333;LOW
TotalPPGLast5;AwayGALast5Avg;43;-0.467333;0.467333;LOW
AwayLast10OverScore;AwayGFLast5Avg;43;0.460428;0.460428;LOW
AwayGALast5Avg;AtLeastOneTeamRestartNotReady;43;-0.448396;0.448396;LOW
HomeLast10OverScore;AtLeastOneTeamRestartNotReady;43;-0.447775;0.447775;LOW
AveragePPGLast5;HomeWinlessLast5;43;-0.446745;0.446745;LOW
TotalPPGLast5;HomeWinlessLast5;43;-0.446745;0.446745;LOW
AwayLast10OverScore;BTTSProfileScore;43;0.443638;0.443638;LOW
HomeWinlessLast5;HomeGALast5Avg;43;0.442913;0.442913;LOW
HomeDefenseWeaknessScore;HomeLast10OverScore;43;0.439524;0.439524;LOW
AwayDefenseWeaknessScore;AwayLast10OverScore;43;0.439186;0.439186;LOW
AwayLast10OverScore;AwayOverRateSinceRestart;43;0.437813;0.437813;LOW
AwayLast10OverScore;HomeMatchesSinceRestart;43;0.432774;0.432774;LOW
HomeGALast5Avg;HomeOverRateSinceRestart;43;0.428284;0.428284;LOW
AwayLongBreakDays;AtLeastOneTeamRestartNotReady;43;0.427634;0.427634;LOW
AwayPPGLast5;HomeRestartNotReady;43;0.426154;0.426154;LOW
AwayPPGLast5;HomeRestartReady;43;-0.426154;0.426154;LOW
AwayPPGLast5;WorstPPGLast5;43;0.425883;0.425883;LOW
HomeDefenseWeaknessScore;HomePPGLast5;43;-0.425532;0.425532;LOW
HomePPGLast5;HomeGFAvgSinceRestart;43;0.425068;0.425068;LOW
WorstPPGLast5;AwayWinsLast5;43;0.42271;0.42271;LOW
AwayLast10OverScore;AwayMatchesSinceRestart;43;0.420024;0.420024;LOW
HomeGFLast5Avg;HomeLowPPGLowGF;43;-0.418977;0.418977;LOW
AwayGALast5Avg;HomeLongBreakDays;43;-0.416789;0.416789;LOW
AwayDefenseWeaknessScore;AwayWinsLast5;43;-0.415281;0.415281;LOW
HomeGALast5Avg;HomeLowPPGLowGF;43;0.411374;0.411374;LOW
AwayDefenseWeaknessScore;AveragePPGLast5;43;-0.410059;0.410059;LOW
AwayDefenseWeaknessScore;TotalPPGLast5;43;-0.410059;0.410059;LOW
AveragePPGLast5;HomeGFLast5Avg;43;0.408104;0.408104;LOW
TotalPPGLast5;HomeGFLast5Avg;43;0.408104;0.408104;LOW
HomeOverRateSinceRestart;HomeRestartNotReady;43;-0.407268;0.407268;LOW
HomeOverRateSinceRestart;HomeRestartReady;43;0.407268;0.407268;LOW
HomeWinlessLast5;HomeGFLast5Avg;43;-0.406514;0.406514;LOW
AwayWinsLast5;AwayLowPPGLowGF;43;-0.402592;0.402592;LOW
HomeWinsLast5;HomeGFAvgSinceRestart;43;0.399102;0.399102;LOW
HomeAttackScore;AwayPPGLast5;43;-0.397435;0.397435;LOW
HomeDefenseWeaknessScore;HomeWinsLast5;43;-0.397185;0.397185;LOW
AwayGALast5Avg;AwayLongBreakDays;43;-0.390307;0.390307;LOW
HomeVenueOverScore;HomeWinsLast5;43;0.386881;0.386881;LOW
BTTSProfileScore;HomeGALast5Avg;43;0.383827;0.383827;LOW
AwayLast10OverScore;HomeLongBreakDays;43;-0.381991;0.381991;LOW
AwayMatchesSinceRestart;AwayRestartNotReady;43;-0.381127;0.381127;LOW
AwayMatchesSinceRestart;AwayRestartReady;43;0.381127;0.381127;LOW
HomeDefenseWeaknessScore;AveragePPGLast5;43;-0.378558;0.378558;LOW
HomeDefenseWeaknessScore;TotalPPGLast5;43;-0.378558;0.378558;LOW
HomeAttackScore;HomeLowPPGLowGF;43;-0.377692;0.377692;LOW
BTTSProfileScore;HomeOverRateSinceRestart;43;0.377084;0.377084;LOW
RankingGapScore;WorstPPGLast5;43;-0.376384;0.376384;LOW
BTTSProfileScore;AwayOverRateSinceRestart;43;0.376047;0.376047;LOW
AwayLast10OverScore;AtLeastOneTeamRestartNotReady;43;-0.374443;0.374443;LOW
HomeMatchesSinceRestart;HomeRestartNotReady;43;-0.373999;0.373999;LOW
HomeMatchesSinceRestart;HomeRestartReady;43;0.373999;0.373999;LOW
AveragePPGLast5;AwayGFLast5Avg;43;0.373892;0.373892;LOW
TotalPPGLast5;AwayGFLast5Avg;43;0.373892;0.373892;LOW
AwayWinsLast5;HomeRestartNotReady;43;0.371874;0.371874;LOW
AwayWinsLast5;HomeRestartReady;43;-0.371874;0.371874;LOW
HomeVenueOverScore;AwayPPGLast5;43;-0.371396;0.371396;LOW
AwayLowPPGLowGF;AwayGFAvgSinceRestart;43;-0.36945;0.36945;LOW
WorstPPGLast5;HomeGFLast5Avg;43;0.369067;0.369067;LOW
HomeLast10OverScore;HomeGFAvgSinceRestart;43;0.367039;0.367039;LOW
HomeDefenseWeaknessScore;HomeLowPPGLowGF;43;0.366405;0.366405;LOW
AwayWinlessLast5;AwayGFAvgSinceRestart;43;-0.365125;0.365125;LOW
HomeDefenseWeaknessScore;AtLeastOneTeamRestartNotReady;43;-0.364963;0.364963;LOW
WorstPPGLast5;AwayWinlessLast5;43;-0.362726;0.362726;LOW
AwayWinlessLast5;AwayOverRateSinceRestart;43;-0.360611;0.360611;LOW
AwayLast10OverScore;AwayLowPPGLowGF;43;-0.36045;0.36045;LOW
AwayPPGLast5;AwayLowPPGLowGF;43;-0.360081;0.360081;LOW
AwayGALast5Avg;AwayRestartNotReady;43;-0.358986;0.358986;LOW
AwayGALast5Avg;AwayRestartReady;43;0.358986;0.358986;LOW
AwayGFLast5Avg;AwayOverRateSinceRestart;43;0.35847;0.35847;LOW
WorstPPGLast5;HomeGALast5Avg;43;-0.357278;0.357278;LOW
AwayAttackScore;BTTSProfileScore;43;0.355957;0.355957;LOW
AwayLowPPGLowGF;AwayRestartNotReady;43;0.354988;0.354988;LOW
AwayLowPPGLowGF;AwayRestartReady;43;-0.354988;0.354988;LOW
AwayGFLast5Avg;AwayRestartNotReady;43;-0.350699;0.350699;LOW
AwayGFLast5Avg;AwayRestartReady;43;0.350699;0.350699;LOW
HomeLast10OverScore;AwayGALast5Avg;43;0.349341;0.349341;LOW
AwayAttackScore;AwayOverRateSinceRestart;43;0.347446;0.347446;LOW
HomeAttackScore;AwayWinsLast5;43;-0.341806;0.341806;LOW
AwayDefenseWeaknessScore;HomeLongBreakDays;43;-0.339375;0.339375;LOW
HomeLowPPGLowGF;HomeGFAvgSinceRestart;43;-0.339251;0.339251;LOW
HomeVenueOverScore;HomePPGLast5;43;0.338085;0.338085;LOW
AwayLast10OverScore;AwayGFAvgSinceRestart;43;0.337429;0.337429;LOW
HomeLongBreakDays;AwayRestartNotReady;43;0.336563;0.336563;LOW
HomeLongBreakDays;AwayRestartReady;43;-0.336563;0.336563;LOW
AveragePPGLast5;AwayWinlessLast5;43;-0.335183;0.335183;LOW
TotalPPGLast5;AwayWinlessLast5;43;-0.335183;0.335183;LOW
HomeGFLast5Avg;HomeRestartNotReady;43;-0.334571;0.334571;LOW
HomeGFLast5Avg;HomeRestartReady;43;0.334571;0.334571;LOW
AwayLast10OverScore;AwayGALast5Avg;43;0.332602;0.332602;LOW
AwayDefenseWeaknessScore;WorstPPGLast5;43;-0.331631;0.331631;LOW
HomeVenueOverScore;AwayWinsLast5;43;-0.329763;0.329763;LOW
HomeAttackScore;HomeDefenseWeaknessScore;43;-0.32653;0.32653;LOW
AwayWinlessLast5;AwayGFLast5Avg;43;-0.32592;0.32592;LOW
AwayAttackScore;AwayRestartNotReady;43;-0.325148;0.325148;LOW
AwayAttackScore;AwayRestartReady;43;0.325148;0.325148;LOW
AwayPPGLast5;AwayMatchesSinceRestart;43;-0.32457;0.32457;LOW
HomeLast10OverScore;HomeLongBreakDays;43;-0.322706;0.322706;LOW
HomeMatchesSinceRestart;AwayRestartNotReady;43;-0.322324;0.322324;LOW
HomeMatchesSinceRestart;AwayRestartReady;43;0.322324;0.322324;LOW
HomeLast10OverScore;HomeOverRateSinceRestart;43;0.319044;0.319044;LOW
HomeLast10OverScore;HomePPGLast5;43;0.318834;0.318834;LOW
HomeAttackScore;AwayMatchesSinceRestart;43;0.317395;0.317395;LOW
AwayOverRateSinceRestart;HomeRestartNotReady;43;0.316477;0.316477;LOW
AwayOverRateSinceRestart;HomeRestartReady;43;-0.316477;0.316477;LOW
HomeAttackScore;AwayAttackScore;43;-0.314888;0.314888;LOW
AwayLongBreakDays;AwayRestartNotReady;43;0.313843;0.313843;LOW
AwayLongBreakDays;AwayRestartReady;43;-0.313843;0.313843;LOW
AwayVenueOverScore;HomeLongBreakDays;43;-0.313605;0.313605;LOW
HomeAttackScore;HomeRestartNotReady;43;-0.31205;0.31205;LOW
HomeAttackScore;HomeRestartReady;43;0.31205;0.31205;LOW
HomeAttackScore;HomeWinlessLast5;43;-0.306711;0.306711;LOW
AwayMatchesSinceRestart;HomeRestartNotReady;43;-0.306031;0.306031;LOW
AwayMatchesSinceRestart;HomeRestartReady;43;0.306031;0.306031;LOW
AwayDefenseWeaknessScore;AtLeastOneTeamRestartNotReady;43;-0.305023;0.305023;LOW
AwayDefenseWeaknessScore;AwayLongBreakDays;43;-0.303922;0.303922;LOW
AwayAttackScore;AveragePPGLast5;43;0.30323;0.30323;LOW
AwayAttackScore;TotalPPGLast5;43;0.30323;0.30323;LOW
HomeAttackScore;HomeGALast5Avg;43;-0.302485;0.302485;LOW
HomeVenueOverScore;HomeRestartNotReady;43;-0.301736;0.301736;LOW
HomeVenueOverScore;HomeRestartReady;43;0.301736;0.301736;LOW
AwayGFAvgSinceRestart;HomeRestartNotReady;43;0.301039;0.301039;LOW
AwayGFAvgSinceRestart;HomeRestartReady;43;-0.301039;0.301039;LOW
HomeDefenseWeaknessScore;AwayLast10OverScore;43;0.299578;0.299578;LOW
AwayPPGLast5;HomeGFLast5Avg;43;-0.298686;0.298686;LOW
AveragePPGLast5;AwayLowPPGLowGF;43;-0.297476;0.297476;LOW
TotalPPGLast5;AwayLowPPGLowGF;43;-0.297476;0.297476;LOW
AwayPPGLast5;AtLeastOneTeamRestartNotReady;43;0.297167;0.297167;LOW
AwayGFAvgSinceRestart;AtLeastOneTeamRestartNotReady;43;-0.297127;0.297127;LOW
AwayPPGLast5;HomeMatchesSinceRestart;43;-0.297058;0.297058;LOW
HomeOverRateSinceRestart;BothTeamsRestartNotReady;43;-0.295964;0.295964;LOW
HomeLast10OverScore;HomeWinsLast5;43;0.295546;0.295546;LOW
AwayGFLast5Avg;AwayLowPPGLowGF;43;-0.294775;0.294775;LOW
AwayGFAvgSinceRestart;HomeOverRateSinceRestart;43;0.292095;0.292095;LOW
HomeDefenseWeaknessScore;AwayOverRateSinceRestart;43;0.291474;0.291474;LOW
HomeVenueOverScore;AtLeastOneTeamRestartNotReady;43;-0.290994;0.290994;LOW
HomeGFAvgSinceRestart;HomeOverRateSinceRestart;43;0.289861;0.289861;LOW
WorstPPGLast5;AwayGFLast5Avg;43;0.287668;0.287668;LOW
HomeWinlessLast5;HomeGFAvgSinceRestart;43;-0.286491;0.286491;LOW
AwayAttackScore;AwayLowPPGLowGF;43;-0.283618;0.283618;LOW
HomeOverRateSinceRestart;AwayOverRateSinceRestart;43;0.283138;0.283138;LOW
