Driver;AltaPower;MediaPower;MaxAbsoluteCorrelation;MostCorrelatedWith;Classification;Reasons;Recommendation
AwayLongBreakDetected;0.0;0.0;0.0;;WEAK;LOW_DISCRIMINATION;REVIEW_WEIGHT
BothTeamsLowPPGLowGF;0.0;0.0;0.0;;WEAK;LOW_DISCRIMINATION;REVIEW_WEIGHT
HomeLongBreakDetected;0.0;0.0;0.0;;WEAK;LOW_DISCRIMINATION;REVIEW_WEIGHT
BothTeamsWinlessLast5;0.0;0.030303;0.437384;BothTeamsRestartNotReady;WEAK;LOW_DISCRIMINATION;REVIEW_WEIGHT
HomeMatchesSinceRestart;0.007273;0.066919;0.849396;AwayMatchesSinceRestart;WEAK;LOW_DISCRIMINATION|HIGH_REDUNDANCY;CONSIDER_REDUCING_WEIGHT
AwayLowPPGLowGF;0.0;0.068182;0.871602;AwayWinlessLast5;WEAK;LOW_DISCRIMINATION|HIGH_REDUNDANCY;CONSIDER_REDUCING_WEIGHT
HomeGFLast5Avg;0.069091;0.064394;0.777751;HomeAttackScore;WEAK;LOW_DISCRIMINATION;REVIEW_WEIGHT
AwayLast10OverScore;0.029091;0.082071;0.592624;AwayVenueOverScore;WEAK;LOW_DISCRIMINATION;REVIEW_WEIGHT
AwayMatchesSinceRestart;0.018182;0.085859;0.849396;HomeMatchesSinceRestart;WEAK;LOW_DISCRIMINATION|HIGH_REDUNDANCY|UNSTABLE_DIRECTION;CONSIDER_REDUCING_WEIGHT
AwayWinlessLast5;0.04;0.098485;0.871602;AwayLowPPGLowGF;WEAK;LOW_DISCRIMINATION|HIGH_REDUNDANCY;CONSIDER_REDUCING_WEIGHT
HomeOverRateSinceRestart;0.116364;0.106061;0.453327;HomeLast10OverScore;REDUNDANT_OR_UNSTABLE;UNSTABLE_DIRECTION;REVIEW_INTERACTIONS
HomeRestartNotReady;0.123636;0.083333;1.0;HomeRestartReady;REDUNDANT_OR_UNSTABLE;HIGH_REDUNDANCY|UNSTABLE_DIRECTION;REVIEW_INTERACTIONS
HomeRestartReady;0.123636;0.083333;1.0;HomeRestartNotReady;REDUNDANT_OR_UNSTABLE;HIGH_REDUNDANCY|UNSTABLE_DIRECTION;REVIEW_INTERACTIONS
AtLeastOneTeamRestartNotReady;0.134545;0.117424;0.689701;HomeRestartNotReady;REDUNDANT_OR_UNSTABLE;UNSTABLE_DIRECTION;REVIEW_INTERACTIONS
AveragePPGLast5;0.007273;0.136364;1.0;TotalPPGLast5;REDUNDANT_OR_UNSTABLE;HIGH_REDUNDANCY;REVIEW_INTERACTIONS
HomeLowPPGLowGF;0.08;0.136364;0.741228;HomeWinlessLast5;REDUNDANT_OR_UNSTABLE;UNSTABLE_DIRECTION;REVIEW_INTERACTIONS
TotalPPGLast5;0.007273;0.136364;1.0;AveragePPGLast5;REDUNDANT_OR_UNSTABLE;HIGH_REDUNDANCY;REVIEW_INTERACTIONS
BothTeamsRestartNotReady;0.141818;0.060606;0.441367;AwayRestartNotReady;REDUNDANT_OR_UNSTABLE;UNSTABLE_DIRECTION;REVIEW_INTERACTIONS
AwayRestartNotReady;0.152727;0.094697;1.0;AwayRestartReady;REDUNDANT_OR_UNSTABLE;HIGH_REDUNDANCY|UNSTABLE_DIRECTION;REVIEW_INTERACTIONS
AwayRestartReady;0.152727;0.094697;1.0;AwayRestartNotReady;REDUNDANT_OR_UNSTABLE;HIGH_REDUNDANCY|UNSTABLE_DIRECTION;REVIEW_INTERACTIONS
AwayLongBreakDays;0.083636;0.203283;0.931375;HomeLongBreakDays;REDUNDANT_OR_UNSTABLE;HIGH_REDUNDANCY|UNSTABLE_DIRECTION;REVIEW_INTERACTIONS
AwayWinsLast5;0.218182;0.214646;0.973363;AwayPPGLast5;REDUNDANT_OR_UNSTABLE;HIGH_REDUNDANCY;REVIEW_INTERACTIONS
