Metric;HighOKCount;HighKOCount;HighOKMean;HighKOMean;MeanDeltaOKMinusKO;HighOKMedian;HighKOMedian
AwayPoints;390;149;20.9179;22.6913;-1.7733;20.0;22.0
AwayPosition;391;151;7.1765;6.6159;0.5606;7.0;5.0
SnapshotTotalGoalsLast5Avg;391;151;8.4155;8.0022;0.4133;8.2;7.8
AwayAttackScore;394;151;10.7655;11.1287;-0.3632;11.36;12.24
Score;394;151;82.2823;81.9574;0.3249;80.995;80.61
HomeAttackScore;394;151;11.2254;11.0195;0.2059;11.82;11.82
HomeGFLast5Avg;383;147;2.1593;1.966;0.1933;2.0;2.0
AwayWinsLast5;383;147;2.0313;2.2245;-0.1932;2.0;2.0
HomeLast10OverScore;394;151;9.3679;9.176;0.192;9.6;9.6
AwayGALast5Avg;383;147;2.1044;1.9156;0.1888;2.0;1.8
SnapshotHomeGFLast5Avg;391;151;2.1573;1.9762;0.1811;2.0;2.0
SnapshotAwayGALast5Avg;390;151;2.1031;1.9223;0.1808;2.0;1.8
AwayDefenseWeaknessScore;394;151;8.362;8.188;0.174;8.83;8.56
HomePlayed;392;151;14.9821;15.1325;-0.1503;14.0;15.0
PositionGap;391;151;5.0307;5.1788;-0.1481;4.0;4.0
HomeWinsLast5;383;147;2.154;2.0068;0.1472;2.0;2.0
SnapshotAwayPPGLast5;383;145;1.4413;1.5779;-0.1367;1.4;1.6
AwayPlayed;391;151;14.9463;15.0795;-0.1332;14.0;15.0
AwayPPGLast5;383;147;1.4021;1.5293;-0.1272;1.4;1.6
SnapshotAwayWinsLast5;350;139;2.24;2.3597;-0.1197;2.0;2.0
HomeGFpg;392;151;2.1255;2.0086;0.1169;2.0225;2.0
HomeVenueOverScore;394;151;7.7876;7.6823;0.1054;8.0;8.0
AwayLast10OverScore;394;151;9.339;9.4271;-0.0881;9.6;9.6
HomePosition;392;151;6.7015;6.7881;-0.0865;6.0;6.0
HomePoints;391;150;22.1995;22.1133;0.0862;21.0;22.0
BestAttackGFpg;391;151;2.4583;2.374;0.0843;2.333;2.364
AwayGApg;390;151;2.0391;1.9571;0.082;1.9425;1.882
AwayPPG;390;149;1.4162;1.4942;-0.078;1.3925;1.556
AwayVenueOverScore;394;151;7.8691;7.7936;0.0755;8.0;7.78
WorstDefenseGApg;391;151;2.3908;2.3154;0.0754;2.286;2.214
SnapshotTotalPPGLast5;391;150;2.8747;2.9467;-0.072;2.8;3.0
TotalPPGLast5;383;147;2.8684;2.9374;-0.069;2.8;3.0
SnapshotHomeWinsLast5;353;131;2.3654;2.2977;0.0677;2.0;2.0
SnapshotHomeGALast5Avg;392;151;2.0462;1.9854;0.0607;2.0;1.8
HomePPGLast5;383;147;1.4663;1.4082;0.0582;1.4;1.4
AwayGFpg;391;151;2.0127;2.0708;-0.0581;1.923;2.071
WorstPPGLast5;383;147;1.0131;1.0694;-0.0563;1.0;1.2
BestDefenseGApg;390;151;1.6355;1.5806;0.0548;1.5955;1.571
RankingGapScore;394;151;2.7063;2.7573;-0.051;2.62;2.67
HomeDefenseWeaknessScore;394;151;6.5374;6.4869;0.0505;6.83;6.75
SnapshotHomePPGLast5;377;145;1.5199;1.4703;0.0495;1.4;1.4
HomeGALast5Avg;383;147;2.0444;1.9959;0.0485;2.0;1.8
HomeGApg;392;151;1.9868;1.9389;0.0479;1.8785;1.867
AveragePPGLast5;383;147;1.4342;1.4687;-0.0345;1.4;1.5
WorstAttackGFpg;391;151;1.6786;1.7054;-0.0268;1.65;1.727
BTTSProfileScore;394;151;8.3183;8.2972;0.0211;8.31;8.15
HomePPG;391;150;1.4774;1.46;0.0174;1.462;1.488
AwayGFLast5Avg;383;147;2.1107;2.1238;-0.0131;2.0;2.0
PPGGap;380;148;0.6853;0.698;-0.0128;0.576;0.5935
SnapshotAwayGFLast5Avg;391;151;2.1163;2.1183;-0.002;2.0;2.0
