Date;HighMatches;HighOK;HighKO;HighPrecision;AvgScore;AvgHomeAttackScore;AvgAwayAttackScore;AvgHomeDefenseWeaknessScore;AvgAwayDefenseWeaknessScore;AvgTotalPPGLast5;AvgBestDefenseGApg;AvgWorstAttackGFpg
2026-07-06;3;2;1;66.67;78.88;11.8833;11.52;5.3333;7.55;3.4667;1.4593;1.911
2026-07-07;4;4;0;100.0;84.1075;12.2125;10.865;5.69;7.5425;3.75;1.37;1.7797
2026-07-08;2;2;0;100.0;86.005;12.89;11.605;5.985;6.82;3.0;2.0;1.6
2026-07-09;5;5;0;100.0;79.348;9.39;10.638;6.526;9.114;2.44;1.4448;1.2658
2026-07-10;8;5;3;62.5;80.5637;10.6263;11.2325;6.1925;7.845;3.0;1.4418;1.6289
2026-07-11;45;34;11;75.56;82.4616;11.5869;10.1051;6.3882;8.5149;2.7822;1.6732;1.6254
2026-07-12;32;23;9;71.88;82.9269;11.5091;11.1969;6.6081;8.1216;2.8467;1.6304;1.7739
2026-07-13;3;2;1;66.67;78.4167;10.8333;9.8267;6.04;9.0433;3.1;1.607;1.5345
2026-07-14;5;4;1;80.0;83.364;11.756;11.57;6.76;8.102;3.16;1.4606;1.8526
2026-07-16;4;3;1;75.0;79.1575;9.9375;8.905;6.4025;8.41;2.1;1.786;1.3725
2026-07-17;7;6;1;85.71;82.8771;11.6557;11.3014;6.5643;8.0314;2.8571;1.5227;1.7984
2026-07-18;57;38;19;66.67;81.8995;11.0642;10.7568;6.4325;8.227;2.8491;1.5519;1.6549
2026-07-19;14;9;5;64.29;83.2436;11.5229;11.2829;7.0657;8.5729;2.9385;1.8586;1.8389
2026-07-20;4;2;2;50.0;85.01;8.725;12.5725;7.6375;8.66;2.65;1.8053;1.4545
2026-07-21;3;3;0;100.0;77.32;12.46;10.2;5.2433;8.1133;3.4667;1.3097;1.701
2026-07-22;4;3;1;75.0;82.065;12.39;8.9925;7.12;9.19;3.3;1.8922;1.4605
2026-07-23;4;2;2;50.0;80.0025;11.66;9.8875;4.99;9.015;2.7;1.2555;1.623
2026-07-24;15;13;2;86.67;82.564;11.84;10.416;6.1473;8.4227;3.25;1.2433;1.6999
2026-07-25;71;48;23;67.61;83.1263;11.1928;11.3732;6.5318;8.4228;2.9324;1.6506;1.7711
2026-07-26;40;26;14;65.0;82.0132;10.3338;10.9698;6.6753;8.0518;2.8056;1.6545;1.5348
2026-07-27;2;1;1;50.0;83.69;9.135;13.0;6.81;6.595;3.7;1.45;1.5455
2026-07-28;20;13;7;65.0;81.4215;11.746;10.943;6.359;7.6985;3.0316;1.4752;1.7933
2026-07-29;10;7;3;70.0;84.386;11.262;12.001;6.72;8.173;2.9333;1.5296;1.793
2026-07-30;6;6;0;100.0;80.715;10.8667;10.755;6.1667;7.9633;3.1667;1.5242;1.7078
2026-07-31;20;10;10;50.0;80.971;11.1695;9.987;6.557;8.4245;2.57;1.746;1.6438
2026-08-01;79;61;18;77.22;81.6611;11.1419;10.8268;6.5682;8.4076;2.9848;1.6703;1.7001
2026-08-02;17;13;4;76.47;80.7806;11.0053;11.0394;6.4712;7.0265;2.9571;1.3853;1.7154
2026-08-03;21;16;5;76.19;84.5438;11.3724;11.5819;6.9386;9.0038;2.6286;1.8108;1.8003
2026-08-04;3;2;1;66.67;83.1033;10.0367;10.17;7.3433;9.13;2.6667;1.828;1.346
2026-08-05;10;9;1;90.0;79.294;10.944;9.812;6.526;8.898;2.7111;1.8251;1.4514
2026-08-06;13;11;2;84.62;83.1838;10.6354;10.7685;6.6269;8.6531;2.8769;1.7212;1.6284
2026-08-07;22;18;4;81.82;83.1377;10.6682;11.1573;6.6368;8.4227;2.7818;1.686;1.6189
2026-08-08;58;40;18;68.97;82.1431;11.2702;11.3916;6.3412;8.3129;3.031;1.5627;1.7314
2026-08-09;34;25;9;73.53;82.2803;11.0791;10.2735;6.2929;8.4862;2.8069;1.6089;1.5512
2026-08-10;17;13;4;76.47;84.7947;11.7324;11.1488;6.5388;8.7776;2.7467;1.6916;1.8309
2026-08-11;7;4;3;57.14;79.26;11.6614;11.5029;5.8214;7.4157;2.8571;1.1901;1.8577
2026-08-12;8;6;2;75.0;79.5863;9.6037;11.5288;7.555;7.0575;2.875;1.5031;1.4869
2026-08-13;11;10;1;90.91;81.9855;10.6136;9.89;6.9809;8.2873;2.48;1.6908;1.4714
2026-08-14;22;17;5;77.27;81.9355;11.1945;11.0745;6.6673;8.1909;3.0636;1.5103;1.6872
2026-08-15;81;63;18;77.78;82.2078;11.2865;11.2319;6.6577;8.1177;2.87;1.5739;1.7601
2026-08-16;40;31;9;77.5;82.3063;11.013;10.7097;6.902;8.403;2.59;1.7029;1.6869
2026-08-17;14;11;3;78.57;84.2907;11.6486;11.2457;7.0393;9.1343;2.8143;1.9092;1.9304
