Rank;Engine;LeagueId;OK;KO;FirstMatchDate;LastMatchDate;Total;HitRate
1;v251;Norway_3rdDivision_Group5;44;6;2026-07-25;2026-09-21;50;88.0
2;v251;Norway_3rdDivision_Group1;40;6;2026-07-25;2026-09-21;46;86.96
3;v251;Norway_3rdDivision_Group2;38;11;2026-07-25;2026-09-21;49;77.55
4;v251;Norway_3rdDivision_Group4;35;12;2026-07-25;2026-09-21;47;74.47
5;v251;Estonia_EsiliigaB;33;13;2026-07-25;2026-09-21;46;71.74
6;v251;Norway_3rdDivision_Group3;32;6;2026-07-25;2026-09-21;38;84.21
7;v251;Norway_OBOSLigaen;32;11;2026-07-25;2026-09-20;43;74.42
8;v251;Finland_Kolmonen_Southern_Group2;31;8;2026-07-26;2026-09-20;39;79.49
9;v251;Finland_Kolmonen_Western_Group2;30;5;2026-07-28;2026-09-19;35;85.71
10;v251;Norway_3rdDivision_Group6;25;6;2026-07-25;2026-09-21;31;80.65
11;v251;Finland_Kolmonen_Eastern_Group3;24;1;2026-07-26;2026-09-19;25;96.0
12;v251;FaroeIslands_1Deild;24;4;2026-08-01;2026-09-19;28;85.71
13;v251;Estonia_Esiliiga;24;12;2026-07-25;2026-09-21;36;66.67
14;v251;Finland_Kakkonen_GroupC;23;4;2026-07-25;2026-09-06;27;85.19
15;v251;Sweden_Division2_Norrland;23;10;2026-08-08;2026-09-20;33;69.7
16;v251;Iceland_BestaDeildKarla;22;11;2026-07-26;2026-09-20;33;66.67
17;v251;Finland_Kolmonen_Southern_Group3;21;6;2026-07-26;2026-09-19;27;77.78
18;v251;Iceland_Division_2;19;8;2026-07-25;2026-08-28;27;70.37
19;v251;USA_MLS;18;4;2026-07-26;2026-09-21;22;81.82
20;v251;Germany_Oberliga_RheinlandPfalzSaar;18;6;2026-09-04;2026-09-20;24;75.0
21;v251;Germany_Oberliga_SchleswigHolstein;17;4;2026-08-30;2026-09-20;21;80.95
22;v251;Finland_Kolmonen_North;17;5;2026-07-30;2026-09-19;22;77.27
23;v251;Norway_2ndDivision_Group2;17;6;2026-07-25;2026-09-20;23;73.91
24;v251;Finland_Kolmonen_Southern_Group1;17;7;2026-07-26;2026-09-20;24;70.83
25;v251;Belarus_PershayaLiga;16;3;2026-08-01;2026-09-20;19;84.21
26;v251;Finland_Kolmonen_Eastern_Group2;14;2;2026-07-30;2026-09-19;16;87.5
27;v251;Latvia_NakotnesLiga;14;3;2026-07-25;2026-09-19;17;82.35
28;v251;Finland_Kolmonen_Western_Group3;13;2;2026-07-29;2026-09-19;15;86.67
29;v251;Sweden_Division2_VastraGotaland;13;3;2026-08-01;2026-09-19;16;81.25
30;v251;Netherlands_EersteDivisie;13;4;2026-09-11;2026-09-20;17;76.47
31;v251;USA_MLSNextPro_EasternConference_NortheastDivision;11;0;2026-07-25;2026-09-08;11;100.0
32;v251;Switzerland_SuperLeague;11;2;2026-09-01;2026-09-20;13;84.62
33;v251;Germany_Regionalliga_Nord;11;4;2026-08-30;2026-09-20;15;73.33
34;v251;Germany_Regionalliga_Nordost;11;4;2026-07-31;2026-09-20;15;73.33
35;v251;Germany_Oberliga_Hamburg;11;5;2026-09-04;2026-09-20;16;68.75
36;v251;Austria_Salzburg;10;3;2026-09-04;2026-09-19;13;76.92
37;v251;Finland_Kakkonen_GroupA;10;4;2026-07-25;2026-09-04;14;71.43
38;v251;Bolivia_DivisionProfesional;10;6;2026-07-25;2026-09-18;16;62.5
39;v251;Finland_Ykkonen;10;6;2026-07-25;2026-08-29;16;62.5
40;v251;Germany_Oberliga_Bayern_Sud;10;6;2026-07-25;2026-09-19;16;62.5
41;v251;CzechRepublic_4Liga_GroupF;9;1;2026-09-12;2026-09-20;10;90.0
42;v251;Poland_IIILiga_Group2;9;4;2026-09-05;2026-09-19;13;69.23
43;v251;Iceland_Division_1;9;5;2026-07-25;2026-09-19;14;64.29
44;v251;Sweden_Division2_SodraGotaland;9;5;2026-08-03;2026-09-20;14;64.29
45;v251;Austria_Karnten;8;1;2026-09-04;2026-09-20;9;88.89
46;v251;Germany_Regionalliga_West;8;3;2026-09-01;2026-09-19;11;72.73
47;v251;USA_MLSNextPro_EasternConference_SoutheastDivision;8;3;2026-07-26;2026-08-31;11;72.73
48;v251;CzechRepublic_4Liga_GroupB;8;4;2026-09-12;2026-09-20;12;66.67
49;v251;CzechRepublic_4Liga_GroupE;8;4;2026-09-12;2026-09-20;12;66.67
50;v251;Austria_Regionalliga_North;8;5;2026-09-04;2026-09-19;13;61.54
51;v251;Poland_IIILiga_Group1;8;5;2026-09-04;2026-09-19;13;61.54
52;v251;Germany_Oberliga_Hessen;7;1;2026-09-04;2026-09-20;8;87.5
53;v251;CzechRepublic_4Liga_GroupC;7;4;2026-09-12;2026-09-20;11;63.64
54;v251;Germany_Oberliga_BadenWurttemberg;7;4;2026-09-09;2026-09-20;11;63.64
55;v251;Netherlands_Eredivisie;7;4;2026-09-12;2026-09-20;11;63.64
56;v251;Sweden_Division2_SodraSvealand;7;6;2026-07-31;2026-09-20;13;53.85
57;v251;Switzerland_PromotionLeague;7;6;2026-09-05;2026-09-19;13;53.85
58;v251;Kyrgyzstan_PremierLiga;6;1;2026-07-26;2026-09-18;7;85.71
59;v251;Finland_Kolmonen_Eastern_Group1;6;2;2026-07-29;2026-09-19;8;75.0
60;v251;Germany_Oberliga_Niedersachsen;6;2;2026-09-11;2026-09-20;8;75.0
61;v251;Estonia_Meistriliiga;6;3;2026-07-31;2026-09-20;9;66.67
62;v251;Norway_Eliteserien;6;4;2026-07-26;2026-09-20;10;60.0
63;v251;Austria_Tirol;6;8;2026-09-04;2026-09-19;14;42.86
64;v251;Germany_Oberliga_Westfalen;5;1;2026-09-13;2026-09-20;6;83.33
65;v251;Norway_2ndDivision_Group1;5;1;2026-07-26;2026-09-19;6;83.33
66;v251;Austria_Regionalliga_South;5;2;2026-09-04;2026-09-19;7;71.43
67;v251;Austria_Regionalliga_West;5;2;2026-09-05;2026-09-20;7;71.43
68;v251;Finland_Kakkonen_GroupB;5;2;2026-07-25;2026-09-02;7;71.43
69;v251;Germany_Oberliga_Bayern_Nord;5;2;2026-08-22;2026-09-19;7;71.43
70;v251;Poland_IIILiga_Group3;5;2;2026-09-05;2026-09-19;7;71.43
71;v251;Slovakia_NikeLiga;5;2;2026-09-05;2026-09-20;7;71.43
72;v251;Germany_Oberliga_Bremen;5;3;2026-09-12;2026-09-20;8;62.5
73;v251;Kazakhstan_FirstLeague;5;3;2026-07-31;2026-09-18;8;62.5
74;v251;CzechRepublic_1Liga;4;0;2026-08-30;2026-09-20;4;100.0
75;v251;Finland_Kolmonen_Western_Group1;4;1;2026-08-06;2026-09-12;5;80.0
76;v251;Peru_Liga1_Clausura;4;1;2026-09-06;2026-09-19;5;80.0
77;v251;Sweden_Division2_NorraSvealand;4;1;2026-08-16;2026-09-19;5;80.0
78;v251;Iceland_1DeildWomen;4;2;2026-08-21;2026-08-29;6;66.67
79;v251;Denmark_3rdDivision;4;3;2026-09-05;2026-09-19;7;57.14
80;v251;Moldova_Liga1_GroupA;4;3;2026-09-04;2026-09-19;7;57.14
81;v251;Poland_Division2;4;3;2026-09-04;2026-09-19;7;57.14
82;v251;Germany_3Liga;4;4;2026-09-15;2026-09-20;8;50.0
83;v251;Sweden_Division1_Sodra;4;4;2026-08-01;2026-09-16;8;50.0
84;v251;NorthernIreland_NIFLChampionship;4;7;2026-09-04;2026-09-19;11;36.36
85;v251;CzechRepublic_3CFL_GroupA;3;0;2026-09-19;2026-09-20;3;100.0
86;v251;Denmark_2ndDivision;3;0;2026-09-06;2026-09-18;3;100.0
87;v251;Somalia_NationalLeague;3;0;2026-08-07;2026-08-09;3;100.0
88;v251;USA_MLSNextPro_WesternConference_PacificDivision;3;0;2026-07-26;2026-08-31;3;100.0
89;v251;CzechRepublic_4Liga_GroupA;3;1;2026-09-11;2026-09-19;4;75.0
90;v251;England_Championship;3;1;2026-09-15;2026-09-20;4;75.0
91;v251;Poland_Division1;3;1;2026-07-31;2026-09-14;4;75.0
92;v251;Slovakia_2Liga;3;1;2026-07-31;2026-09-05;4;75.0
93;v251;Switzerland_ChallengeLeague;3;1;2026-07-31;2026-09-18;4;75.0
94;v251;Sweden_Division1_Norra;3;2;2026-08-01;2026-09-17;5;60.0
95;v251;Sweden_Superettan;3;2;2026-07-26;2026-09-13;5;60.0
96;v251;Germany_Regionalliga_Bayern;3;3;2026-09-04;2026-09-20;6;50.0
97;v251;Mexico_LigaExpansionMX_Apertura;3;3;2026-08-30;2026-09-21;6;50.0
98;v251;Austria_Oberosterreich;3;4;2026-09-04;2026-09-19;7;42.86
99;v251;Austria_2Liga;2;0;2026-09-12;2026-09-18;2;100.0
100;v251;Wales_CymruPremier;2;0;2026-09-11;2026-09-18;2;100.0
101;v251;Austria_Regionalliga_East;2;1;2026-09-04;2026-09-18;3;66.67
102;v251;Japan_J1League;2;1;2026-09-12;2026-09-19;3;66.67
103;v251;Latvia_Virsliga;2;1;2026-07-28;2026-09-05;3;66.67
104;v251;USA_USLLeagueOne;2;1;2026-08-02;2026-09-03;3;66.67
105;v251;Austria_Burgenland;2;2;2026-09-11;2026-09-19;4;50.0
106;v251;CzechRepublic_3MSFL;2;2;2026-09-02;2026-09-13;4;50.0
107;v251;Germany_2Bundesliga;2;2;2026-09-19;2026-09-20;4;50.0
108;v251;Sweden_Allsvenskan;2;2;2026-07-26;2026-09-07;4;50.0
109;v251;USA_MLSNextPro_WesternConference_CentralDivision;2;2;2026-08-09;2026-08-10;4;50.0
110;v251;Germany_Regionalliga_Sudwest;2;3;2026-09-08;2026-09-19;5;40.0
111;v251;Mexico_LigaMX_Apertura;2;3;2026-07-25;2026-09-13;5;40.0
112;v251;Bhutan_PremierLeague;1;0;2026-09-19;2026-09-19;1;100.0
113;v251;Bosnia_PrvaLiga_FBiH;1;0;2026-09-20;2026-09-20;1;100.0
114;v251;CzechRepublic_3CFL_GroupB;1;0;2026-09-20;2026-09-20;1;100.0
115;v251;Estonia_MeistriliigaWomen;1;0;2026-09-20;2026-09-20;1;100.0
116;v251;France_Ligue2;1;0;2026-09-19;2026-09-19;1;100.0
117;v251;Georgia_ErovnuliLiga;1;0;2026-09-21;2026-09-21;1;100.0
118;v251;Germany_Oberliga_Niederrhein;1;0;2026-09-19;2026-09-19;1;100.0
119;v251;Hungary_NBI;1;0;2026-09-20;2026-09-20;1;100.0
120;v251;Lithuania_ILyga;1;0;2026-09-05;2026-09-05;1;100.0
121;v251;Moldova_SuperLiga;1;0;2026-08-30;2026-08-30;1;100.0
122;v251;NorthMacedonia_1MFL;1;0;2026-09-18;2026-09-18;1;100.0
123;v251;Slovenia_2SNL;1;0;2026-09-11;2026-09-11;1;100.0
124;v251;SouthKorea_KLeague2;1;0;2026-07-25;2026-07-25;1;100.0
125;v251;SriLanka_SuperLeague;1;0;2026-08-22;2026-08-22;1;100.0
126;v251;Wales_CymruSouth;1;0;2026-09-11;2026-09-11;1;100.0
127;v251;Armenia_FirstLeague;1;1;2026-09-13;2026-09-21;2;50.0
128;v251;CzechRepublic_4Liga_GroupD;1;1;2026-09-12;2026-09-13;2;50.0
129;v251;Hungary_NBII;1;1;2026-09-05;2026-09-07;2;50.0
130;v251;Iceland_BestaDeildKvenna;1;1;2026-09-05;2026-09-18;2;50.0
131;v251;Poland_IIILiga_Group4;1;1;2026-09-19;2026-09-19;2;50.0
132;v251;Russia_FNL;1;1;2026-08-30;2026-09-05;2;50.0
133;v251;Russia_PremierLeague;1;1;2026-08-30;2026-09-06;2;50.0
134;v251;Romania_Liga2;1;2;2026-09-19;2026-09-19;3;33.33
135;v251;Belgium_JupilerProLeague;1;3;2026-09-12;2026-09-20;4;25.0
136;v251;Poland_Ekstraklasa;0;4;2026-09-05;2026-09-11;4;0.0
137;v251;Slovakia_3Liga_West;0;3;2026-09-19;2026-09-20;3;0.0
138;v251;Austria_Niederosterreich;0;2;2026-09-11;2026-09-12;2;0.0
139;v251;England_LeagueOne;0;2;2026-09-19;2026-09-19;2;0.0
140;v251;Scotland_Premiership;0;2;2026-09-09;2026-09-19;2;0.0
141;v251;Turkey_1Lig;0;2;2026-09-13;2026-09-20;2;0.0
142;v251;CzechRepublic_ChNL;0;1;2026-09-13;2026-09-13;1;0.0
143;v251;Denmark_1stDivision;0;1;2026-09-11;2026-09-11;1;0.0
144;v251;Denmark_Superliga;0;1;2026-09-11;2026-09-11;1;0.0
145;v251;Paraguay_DivisionIntermedia;0;1;2026-09-13;2026-09-13;1;0.0
146;v251;Portugal_LigaPortugal;0;1;2026-09-20;2026-09-20;1;0.0
147;v251;Serbia_PrvaLiga;0;1;2026-09-05;2026-09-05;1;0.0
148;v251;Sweden_Division2_NorraGotaland;0;1;2026-07-31;2026-07-31;1;0.0
149;v251;USA_USLChampionship;0;1;2026-07-26;2026-07-26;1;0.0
150;v251;Wales_CymruNorth;0;1;2026-09-15;2026-09-15;1;0.0
