metric_name;family;description;occurrences;alta_ok;alta_ko;media_ok;media_ko;other;over_total;under_total;over_precision;coverage;alta_ko_capture;alta_ok_capture;media_ok_capture;media_ko_capture;alta_ko_lift;media_ok_precision;media_ok_lift;exclusion_efficiency;promotion_efficiency
score_ge_60;score;Score >= 60;1899;507;190;495;341;366;1002;531;0.6536203522504892;1.238747553816047;1.0;1.0;1.0;1.0;1.0;0.5921052631578947;1.0;0.27259684361549497;0.5921052631578947
score_le_60;score;Score <= 60;669;0;0;0;0;669;0;0;0.0;0.436399217221135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
score_ge_65;score;Score >= 65;1600;507;190;352;226;325;859;416;0.6737254901960784;1.0437051532941943;1.0;1.0;0.7111111111111111;0.6627565982404692;1.0;0.6089965397923875;1.0285274894271434;0.27259684361549497;0.6089965397923875
score_le_65;score;Score <= 65;969;0;0;144;115;710;144;115;0.555984555984556;0.6320939334637965;0.0;0.0;0.2909090909090909;0.33724340175953077;0.0;0.555984555984556;0.9389961389961391;0.0;0.555984555984556
score_ge_70;score;Score >= 70;1252;507;190;172;110;273;679;300;0.693564862104188;0.8166992824527071;1.0;1.0;0.3474747474747475;0.3225806451612903;1.0;0.6099290780141844;1.0301024428684005;0.27259684361549497;0.6099290780141844
score_le_70;score;Score <= 70;1318;0;0;324;232;762;324;232;0.5827338129496403;0.8597521200260926;0.0;0.0;0.6545454545454545;0.6803519061583577;0.0;0.5827338129496403;0.9841726618705038;0.0;0.5827338129496403
score_ge_75;score;Score >= 75;897;507;190;0;0;200;507;190;0.727403156384505;0.5851272015655578;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.27259684361549497;0.0
score_le_75;score;Score <= 75;1672;1;0;495;341;835;496;341;0.5925925925925926;1.090671885192433;0.0;0.0019723865877712033;1.0;1.0;0.0;0.5921052631578947;1.0;0.0;0.5921052631578947
score_ge_80;score;Score >= 80;528;302;101;0;0;125;302;101;0.749379652605459;0.34442270058708413;0.531578947368421;0.5956607495069034;0.0;0.0;0.9193809585999738;0.0;0.0;0.2506203473945409;0.0
score_le_80;score;Score <= 80;2041;205;90;495;341;910;700;431;0.618921308576481;1.3313763861709067;0.47368421052631576;0.40433925049309666;1.0;1.0;1.1191793041926852;0.5921052631578947;1.0;0.3050847457627119;0.5921052631578947
score_ge_85;score;Score >= 85;250;140;48;0;0;62;140;48;0.7446808510638298;0.16307893020221786;0.25263157894736843;0.27613412228796846;0.0;0.0;0.9366181410974244;0.0;0.0;0.2553191489361702;0.0
score_le_85;score;Score <= 85;2318;367;142;495;341;973;862;483;0.6408921933085502;1.5120678408349641;0.7473684210526316;0.7238658777120316;1.0;1.0;1.023410195429635;0.5921052631578947;1.0;0.27897838899803534;0.5921052631578947
