Metric;Month;AltaOK;AltaKO;AltaKOShare;MediaOK;MediaKO;MediaOKPrecision;Occurrences
attack_gap_ge_10;2026-07;1;0;0.0;3;1;0.75;35
attack_gap_ge_10;2026-08;2;0;0.0;36;12;0.75;177
attack_gap_ge_10;2026-09;1;0;0.0;7;4;0.6363636363636364;43
attack_gap_ge_11;2026-07;0;0;0.0;2;1;0.6666666666666666;29
attack_gap_ge_11;2026-08;0;0;0.0;18;10;0.6428571428571429;117
attack_gap_ge_11;2026-09;0;0;0.0;4;2;0.6666666666666666;31
attack_gap_ge_12;2026-07;0;0;0.0;0;0;0.0;9
attack_gap_ge_12;2026-08;0;0;0.0;7;2;0.7777777777777778;59
attack_gap_ge_12;2026-09;0;0;0.0;0;0;0.0;15
attack_gap_ge_13;2026-07;0;0;0.0;0;0;0.0;9
attack_gap_ge_13;2026-08;0;0;0.0;7;2;0.7777777777777778;56
attack_gap_ge_13;2026-09;0;0;0.0;0;0;0.0;11
attack_gap_ge_4;2026-07;60;22;0.2682926829268293;80;36;0.6896551724137931;372
attack_gap_ge_4;2026-08;181;32;0.15023474178403756;434;242;0.6420118343195266;1744
attack_gap_ge_4;2026-09;29;14;0.32558139534883723;80;60;0.5714285714285714;469
attack_gap_ge_6;2026-07;27;5;0.15625;31;14;0.6888888888888889;157
attack_gap_ge_6;2026-08;67;10;0.12987012987012986;191;100;0.6563573883161512;816
attack_gap_ge_6;2026-09;15;4;0.21052631578947367;33;28;0.5409836065573771;204
attack_gap_ge_8;2026-07;10;3;0.23076923076923078;12;1;0.9230769230769231;71
attack_gap_ge_8;2026-08;17;2;0.10526315789473684;82;40;0.6721311475409836;392
attack_gap_ge_8;2026-09;5;0;0.0;16;13;0.5517241379310345;97
attack_gap_le_10;2026-07;231;109;0.3205882352941177;252;143;0.6379746835443038;1372
attack_gap_le_10;2026-08;712;209;0.2269272529858849;1132;691;0.6209544706527702;4783
attack_gap_le_10;2026-09;96;48;0.3333333333333333;208;151;0.5793871866295265;1191
attack_gap_le_11;2026-07;232;109;0.3196480938416422;253;143;0.6388888888888888;1378
attack_gap_le_11;2026-08;714;209;0.22643553629469124;1150;693;0.6239826370048833;4843
attack_gap_le_11;2026-09;97;48;0.3310344827586207;211;153;0.5796703296703297;1203
attack_gap_le_11__AND__last10_max_ge_4;2026-07;232;109;0.3196480938416422;253;143;0.6388888888888888;1311
attack_gap_le_11__AND__last10_max_ge_4;2026-08;714;209;0.22643553629469124;1150;693;0.6239826370048833;4769
attack_gap_le_11__AND__last10_max_ge_4;2026-09;97;48;0.3310344827586207;211;153;0.5796703296703297;1168
attack_gap_le_11__AND__last10_min_le_10.8;2026-07;229;107;0.31845238095238093;251;142;0.638676844783715;1366
attack_gap_le_11__AND__last10_min_le_10.8;2026-08;709;209;0.22766884531590414;1147;691;0.6240478781284005;4669
attack_gap_le_11__AND__last10_min_le_10.8;2026-09;94;48;0.3380281690140845;210;153;0.5785123966942148;1178
attack_gap_le_11__AND__last10_sum_ge_6;2026-07;232;109;0.3196480938416422;253;143;0.6388888888888888;1313
attack_gap_le_11__AND__last10_sum_ge_6;2026-08;714;209;0.22643553629469124;1150;693;0.6239826370048833;4745
attack_gap_le_11__AND__last10_sum_ge_6;2026-09;97;48;0.3310344827586207;211;153;0.5796703296703297;1167
attack_gap_le_12;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1398
attack_gap_le_12;2026-08;714;209;0.22643553629469124;1161;701;0.6235230934479055;4901
attack_gap_le_12;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1219
attack_gap_le_12__AND__defense_gap_le_8;2026-07;232;109;0.3196480938416422;254;143;0.6397984886649875;1385
attack_gap_le_12__AND__defense_gap_le_8;2026-08;714;209;0.22643553629469124;1148;692;0.6239130434782608;4838
attack_gap_le_12__AND__defense_gap_le_8;2026-09;97;48;0.3310344827586207;213;153;0.5819672131147541;1200
attack_gap_le_12__AND__defense_max_ge_2;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1343
attack_gap_le_12__AND__defense_max_ge_2;2026-08;714;209;0.22643553629469124;1161;701;0.6235230934479055;4872
attack_gap_le_12__AND__defense_max_ge_2;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1210
attack_gap_le_12__AND__defense_sum_ge_2;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1344
attack_gap_le_12__AND__defense_sum_ge_2;2026-08;714;209;0.22643553629469124;1161;701;0.6235230934479055;4874
attack_gap_le_12__AND__defense_sum_ge_2;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1211
attack_gap_le_12__AND__defense_sum_ge_4;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1337
attack_gap_le_12__AND__defense_sum_ge_4;2026-08;714;209;0.22643553629469124;1159;701;0.6231182795698925;4839
attack_gap_le_12__AND__defense_sum_ge_4;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1196
attack_gap_le_12__AND__last10_gap_le_10.8;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1375
attack_gap_le_12__AND__last10_gap_le_10.8;2026-08;714;209;0.22643553629469124;1153;693;0.624593716143012;4810
attack_gap_le_12__AND__last10_gap_le_10.8;2026-09;97;48;0.3310344827586207;215;154;0.5826558265582655;1205
attack_gap_le_12__AND__last10_gap_le_9.6;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1375
attack_gap_le_12__AND__last10_gap_le_9.6;2026-08;714;209;0.22643553629469124;1153;693;0.624593716143012;4806
attack_gap_le_12__AND__last10_gap_le_9.6;2026-09;97;48;0.3310344827586207;215;154;0.5826558265582655;1203
attack_gap_le_12__AND__last10_max_ge_4;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1328
attack_gap_le_12__AND__last10_max_ge_4;2026-08;714;209;0.22643553629469124;1161;701;0.6235230934479055;4827
attack_gap_le_12__AND__last10_max_ge_4;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1184
attack_gap_le_12__AND__last10_min_le_10.8;2026-07;229;107;0.31845238095238093;252;142;0.6395939086294417;1384
attack_gap_le_12__AND__last10_min_le_10.8;2026-08;709;209;0.22766884531590414;1158;699;0.6235864297253635;4723
attack_gap_le_12__AND__last10_min_le_10.8;2026-09;94;48;0.3380281690140845;214;155;0.5799457994579946;1194
attack_gap_le_12__AND__last10_sum_ge_4;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1333
attack_gap_le_12__AND__last10_sum_ge_4;2026-08;714;209;0.22643553629469124;1161;701;0.6235230934479055;4848
attack_gap_le_12__AND__last10_sum_ge_4;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1202
attack_gap_le_12__AND__last10_sum_ge_6;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1330
attack_gap_le_12__AND__last10_sum_ge_6;2026-08;714;209;0.22643553629469124;1161;701;0.6235230934479055;4801
attack_gap_le_12__AND__last10_sum_ge_6;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1182
attack_gap_le_13;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_gap_le_13;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_gap_le_13;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_gap_le_13__AND__away_defense_weakness_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_gap_le_13__AND__away_defense_weakness_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_gap_le_13__AND__away_defense_weakness_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_gap_le_13__AND__away_venue_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_gap_le_13__AND__away_venue_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_gap_le_13__AND__away_venue_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_gap_le_13__AND__defense_gap_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_gap_le_13__AND__defense_gap_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_gap_le_13__AND__defense_gap_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_gap_le_13__AND__defense_gap_le_8;2026-07;232;109;0.3196480938416422;254;143;0.6397984886649875;1393
attack_gap_le_13__AND__defense_gap_le_8;2026-08;714;209;0.22643553629469124;1155;694;0.6246619794483504;4892
attack_gap_le_13__AND__defense_gap_le_8;2026-09;97;48;0.3310344827586207;213;153;0.5819672131147541;1210
attack_gap_le_13__AND__defense_gap_le_9;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1396
attack_gap_le_13__AND__defense_gap_le_9;2026-08;714;209;0.22643553629469124;1165;699;0.625;4930
attack_gap_le_13__AND__defense_gap_le_9;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1221
attack_gap_le_13__AND__defense_max_ge_2;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1352
attack_gap_le_13__AND__defense_max_ge_2;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4929
attack_gap_le_13__AND__defense_max_ge_2;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1225
attack_gap_le_13__AND__defense_max_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_gap_le_13__AND__defense_max_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_gap_le_13__AND__defense_max_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_gap_le_13__AND__defense_min_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_gap_le_13__AND__defense_min_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_gap_le_13__AND__defense_min_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_gap_le_13__AND__defense_min_le_8;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_gap_le_13__AND__defense_min_le_8;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_gap_le_13__AND__defense_min_le_8;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_gap_le_13__AND__defense_min_le_9;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_gap_le_13__AND__defense_min_le_9;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_gap_le_13__AND__defense_min_le_9;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
