LeagueId;Home;Away
Finland_Ykkonen;VJS;TPV
Iceland_BestaDeildKarla;Akranes;Fram
Iceland_Division_1;Afturelding;Aegir
USA_USLLeagueTwo_Northeast;Albany Rush;Boston Bolts
USA_USLLeagueTwo_Mountain;Albion Colorado;Colorado Storm
USA_USLLeagueTwo_Northwest;Portland Bangers;Bigfoot
USA_USLLeagueTwo_SouthFlorida;Weston;Lakeland United
USA_USLLeagueTwo_Northwest;Tacoma Stars;West Seattle Junction
USA_USLLeagueTwo_MidAtlantic;West Chester Utd;LVU Rush
USA_USLLeagueTwo_SouthCentral;Swarm FC;Dothan United
USA_USLLeagueTwo_SouthFlorida;Miami;Brevard SC
USA_USLLeagueTwo_NorCal;Academica SC;Marin
USA_USLLeagueTwo_SouthAtlantic;Asheville City;Charlotte Independ. 2
USA_USLLeagueTwo_LoneStar;Hill Country Lobos;Lonestar SC
USA_USLLeagueTwo_Mountain;Atletico Union;Real Colorado
