LeagueId;MatchDate;Home;Away
Armenia_PremierLeague;2026-08-13;Urartu;Syunik
Austria_Burgenland;2026-08-13;Klingenbach;Rust
Finland_Kakkonen_GroupA;2026-08-13;PPJ;MyPa
Germany_Oberliga_Bremen;2026-08-13;Blumenthaler;Schwachhausen
Germany_Oberliga_Bremen;2026-08-13;Union 60 Bremen;Oberneuland
Iceland_Division_1;2026-08-13;Aegir;Volsungur
Iceland_Division_1;2026-08-13;Grindavik;Throttur
Iceland_Division_1;2026-08-13;Vestri;IR Reykjavik
Iceland_Division_1;2026-08-13;Fylkir;Afturelding
Iceland_Division_1;2026-08-13;Grotta;Njardvik
Iceland_Division_1;2026-08-13;Kopavogur;Leiknir
Kazakhstan_FirstLeague;2026-08-13;Kairat Almaty 2;Akademiya Ontustik
Kazakhstan_FirstLeague;2026-08-13;Aktobe 2;Shakhter K.
Kazakhstan_FirstLeague;2026-08-13;FC Astana 2;Tobol 2
Somalia_NationalLeague;2026-08-13;Mogadishu City;Heegan
Sweden_Division2_SodraSvealand;2026-08-13;Sleipner;Lindo FF
USA_MLSNextPro_EasternConference_SoutheastDivision;2026-08-13;Huntsville;Crown Legacy
USA_USLLeagueOne;2026-08-13;Forward Madison;Greenville
Finland_Kolmonen_Eastern_Group3;2026-08-13;Edustus IPS;Kultsu
Finland_Kolmonen_Eastern_Group3;2026-08-13;PeKa;LAUTP/2
Finland_Kolmonen_Western_Group3;2026-08-13;Larsmo Bollklubb;Virkiä
Finland_Kolmonen_Western_Group3;2026-08-13;FC Ylivieska;NIK
Finland_Kolmonen_Southern_Group2;2026-08-13;MPS;VJS/2
Finland_Kolmonen_Western_Group2;2026-08-13;TP-T;TP-49
Finland_Kolmonen_Western_Group3;2026-08-13;SJK-j;VIFK
Finland_Kolmonen_Western_Group2;2026-08-13;Fish United;FC LeKi
Finland_Kolmonen_Southern_Group1;2026-08-13;HooGee;LePa
Finland_Kolmonen_Southern_Group2;2026-08-13;HPS/2;PPS
