LeagueId;Season;Round;Date;Home;Away;HG;AG;Notes
Australia_NPLQueensland_2026;2026;;2026-07-11;Brisbane Roar U23;Rochedale;4;1;
Australia_NPLQueensland_2026;2026;;2026-07-11;Peninsula;Wynnum Wolves;0;0;
Australia_NPLTasmania_2026;2026;;2026-07-11;Glenorchy Knights;Kingborough Lions;0;2;
Australia_NPLTasmania_2026;2026;;2026-07-11;Launceston United;Riverside Olympic;0;1;
Australia_NPLVictoria_2026;2026;;2026-07-11;Green Gully;Altona Magic;1;3;
Australia_NPLVictoria_2026;2026;;2026-07-11;Dandenong City;South Melbourne;0;2;
Australia_NPLVictoria_2026;2026;;2026-07-11;Oakleigh;Avondale FC;2;0;
Australia_NPLVictoria_2026;2026;;2026-07-11;Preston Lions;Hume City;2;1;
Australia_NSWLeagueOne_2026;2026;;2026-07-11;Macarthur Rams;Bankstown City Lions;1;1;
Australia_QueenslandPremierLeague_2026;2026;;2026-07-11;Holland Park Hawks;North Star;0;0;
Australia_VictoriaPremierLeague_2026;2026;;2026-07-11;Brunswick Juventus;Western Utd. U21;5;4;
Australia_VictoriaPremierLeague_2026;2026;;2026-07-11;Langwarrin;Melbourne Victory U21;3;3;
Australia_VictoriaPremierLeague_2026;2026;;2026-07-11;Northcote City;Melbourne Knights;0;1;
Australia_VictoriaPremierLeague2_2026;2026;;2026-07-11;Eastern Lions;Werribee City;2;1;
Australia_VictoriaPremierLeague2_2026;2026;;2026-07-11;Essendon Royals SC;Box Hill;3;2;
Australia_VictoriaPremierLeague2_2026;2026;;2026-07-11;Whittlesea United;Kingston City;1;1;
Belarus_VysshayaLiga_2026;2026;;2026-07-11;Dnepr Mogilev;FC Minsk;1;2;
Belarus_PershayaLiga_2026;2026;;2026-07-11;FC Slonim;Niva Dolbizno;2;2;
Belarus_PershayaLiga_2026;2026;;2026-07-11;Ostrovets;SKA-1938;1;1;
Bolivia_DivisionProfesional_2026;2026;;2026-07-11;Nacional Potosi;Aurora;2;0;
Estonia_Meistriliiga_2026;2026;;2026-07-11;Harju JK Laagri;Narva;3;0;
Finland_Veikkausliiga_2026;2026;;2026-07-11;VPS;SJK;1;0;
Finland_Ykkosliiga_2026;2026;;2026-07-11;KTP;JaPS;4;1;
Finland_Ykkosliiga_2026;2026;;2026-07-11;PK-35;KaPa;3;1;
Finland_Ykkonen_2026;2026;;2026-07-11;Inter Turku 2;Rovaniemi;0;2;
Finland_Ykkonen_2026;2026;;2026-07-11;Tampere Utd;SalPa;0;1;
Finland_Kakkonen_GroupA_2026;2026;;2026-07-11;Atlantis;Kiffen;3;5;
Finland_Kakkonen_GroupB_2026;2026;;2026-07-11;Abo;Ilves 2;1;1;
Finland_Kakkonen_GroupC_2026;2026;;2026-07-11;GBK Kokkola;JBK;2;0;
Iceland_Division_1_2026;2026;;2026-07-11;Aegir;Kopavogur;3;4;
Iceland_Division_1_2026;2026;;2026-07-11;IR Reykjavik;Throttur;1;1;
Iceland_Division_1_2026;2026;;2026-07-11;Leiknir;Grotta;0;1;
Iceland_Division_1_2026;2026;;2026-07-11;Njardvik;Grindavik;5;4;
Kazakhstan_FirstLeague_2026;2026;;2026-07-11;FC Batyr;Kairat Almaty 2;2;4;
Kazakhstan_FirstLeague_2026;2026;;2026-07-11;Kaspij Aktau 2;Taraz;1;0;
Kazakhstan_FirstLeague_2026;2026;;2026-07-11;Yelimay Semey 2;FC Astana 2;2;1;
Kazakhstan_FirstLeague_2026;2026;;2026-07-11;Shakhter K.;Turan;1;0;
Kyrgyzstan_PremierLiga_2026;2026;;2026-07-11;Alay Osh;Toktogul;1;0;
Kyrgyzstan_PremierLiga_2026;2026;;2026-07-11;Asiagoal Bishkek;Bars;3;7;
Kyrgyzstan_PremierLiga_2026;2026;;2026-07-11;Bishkek City;Muras United;1;5;
Kyrgyzstan_PremierLiga_2026;2026;;2026-07-11;Ilbirs;Ozgon;0;1;
Somalia_NationalLeague_2026;2026;;2026-07-11;Badbaado;Jazeera;4;1;
USA_USLLeagueTwo_Valley_2026;2026;;2026-07-11;Dayton;West Virginia;1;0;
USA_USLLeagueTwo_Northeast_2026;2026;;2026-07-11;NEFC;Albany Rush;1;0;
USA_USLLeagueTwo_Mountain_2026;2026;;2026-07-11;Real Colorado;Flatirons;2;2;
