LeagueId;Season;Round;Date;Home;Away;HG;AG;Notes
USA_USLLeagueTwo_Southeast_2026;2026;20260628;2026-06-28;Inter Gainesville;Sporting Jax 2;4;1;
USA_USLLeagueTwo_Metropolitan_2026;2026;20260628;2026-06-28;Staten Island ASC;Long Island;0;6;
USA_USLLeagueTwo_SouthAtlantic_2026;2026;20260628;2026-06-28;Port City;Appalachian;0;3;
USA_USLLeagueTwo_GreatForest_2026;2026;20260628;2026-06-28;Akron City;Lorain County Leviathan;4;0;
USA_USLLeagueTwo_Northeast_2026;2026;20260628;2026-06-28;Boston City;Connecticut Rush;1;1;
USA_USLLeagueTwo_Southeast_2026;2026;20260628;2026-06-28;Brave SC;Brooke House;4;1;
USA_USLLeagueTwo_MidAtlantic_2026;2026;20260628;2026-06-28;Delaware;RC New Jersey;5;1;
USA_USLLeagueTwo_GreatLakes_2026;2026;20260628;2026-06-28;Flint City;Oakland County;1;1;
USA_USLLeagueTwo_SouthAtlantic_2026;2026;20260628;2026-06-28;Hickory;Charlotte Independ. 2;0;0;
USA_USLLeagueTwo_Chesapeake_2026;2026;20260628;2026-06-28;Hill City;Virginia Beach;1;2;
USA_USLLeagueTwo_GreatLakes_2026;2026;20260628;2026-06-28;Lansing City;Ann Arbor;2;5;
USA_USLLeagueTwo_Chesapeake_2026;2026;20260628;2026-06-28;Loudoun 2;Virginia Marauders;4;0;
USA_USLLeagueTwo_MidAtlantic_2026;2026;20260628;2026-06-28;Reading;PA Classics;8;2;
USA_USLLeagueTwo_Heartland_2026;2026;20260628;2026-06-28;River Light;Minneapolis City;2;5;
USA_USLLeagueTwo_SouthAtlantic_2026;2026;20260628;2026-06-28;SC United Bantams;Salem City;3;3;
USA_USLLeagueTwo_Southeast_2026;2026;20260628;2026-06-28;Shark Coast;Nona;3;2;
USA_USLLeagueTwo_SouthAtlantic_2026;2026;20260628;2026-06-28;Tobacco Road;Wake FC;2;3;
USA_USLLeagueTwo_Valley_2026;2026;20260628;2026-06-28;Toledo Villa;Northern Indiana;2;3;
USA_USLLeagueTwo_Chesapeake_2026;2026;20260628;2026-06-28;Annapolis Blues;Christos;6;2;
USA_USLLeagueTwo_Chesapeake_2026;2026;20260628;2026-06-28;Bethesda SC;Patuxent;1;0;
USA_USLLeagueTwo_Metropolitan_2026;2026;20260628;2026-06-28;Hudson Valley;Morris Elite;4;3;
USA_USLLeagueTwo_Metropolitan_2026;2026;20260628;2026-06-28;Westchester Flames;Cedar;0;1;
USA_USLLeagueTwo_LoneStar_2026;2026;20260628;2026-06-28;Hill Country Lobos;Houston Sur;4;0;
USA_USLLeagueTwo_MidSouth_2026;2026;20260628;2026-06-28;Little Rock Rangers;Red River;3;1;
USA_USLLeagueTwo_LoneStar_2026;2026;20260628;2026-06-28;Lonestar SC;Houston FC;2;1;
USA_USLLeagueTwo_Ranger_2026;2026;20260628;2026-06-28;Lubbock Matadors;Texoma;1;2;
USA_USLLeagueTwo_GreatPlains_2026;2026;20260628;2026-06-28;Menace;Peoria;0;0;
USA_USLLeagueTwo_MidSouth_2026;2026;20260628;2026-06-28;Mississippi Brilla;Jackson Boom;4;1;
USA_USLLeagueTwo_LoneStar_2026;2026;20260628;2026-06-28;San Antonio FC 2;GFI Woodlands;2;2;
USA_USLLeagueTwo_GreatPlains_2026;2026;20260628;2026-06-28;St. Louis Ambush;Springfield FC;0;3;
USA_USLLeagueTwo_GreatPlains_2026;2026;20260628;2026-06-28;Sunflower State;Santafe Wanderers;0;5;
USA_USLLeagueTwo_Ranger_2026;2026;20260628;2026-06-28;West Texas;Denton Diablos;5;5;
USA_USLLeagueTwo_NorCal_2026;2026;20260628;2026-06-28;Almaden;Project 51O;2;1;
USA_USLLeagueTwo_Mountain_2026;2026;20260628;2026-06-28;Flatirons;CISA;3;3;
USA_USLLeagueTwo_LoneStar_2026;2026;20260628;2026-06-28;Laredo Heat;AHFC Royals;1;0;
USA_USLLeagueTwo_Northwest_2026;2026;20260628;2026-06-28;Midlakes United;Ballard;2;3;
USA_USLLeagueTwo_Mountain_2026;2026;20260628;2026-06-28;Real Colorado;Utah United;1;3;
USA_USLLeagueTwo_NorCal_2026;2026;20260628;2026-06-28;Davis Legacy;San Juan;2;2;
USA_USLLeagueTwo_Southwest_2026;2026;20260628;2026-06-28;Redlands FC;Stars FC;1;1;
