Source;CountryAlias;LeagueAlias;LeagueId
Diretta;Austria;Bundesliga;Austria_Bundesliga_2026
Diretta;Austria;2. Liga;Austria_2Liga_2026
Diretta;Austria;Regionalliga Est;Austria_Regionalliga_East_2026
Diretta;Austria;Regionalliga Central;Austria_Regionalliga_Central_2026
Diretta;Austria;Regionalliga Ovest;Austria_Regionalliga_West_2026
Diretta;Danimarca;Superliga;Denmark_Superliga_2026
Diretta;Finlandia;Veikkausliiga;Finland_Veikkausliiga_2026
Diretta;Francia;Ligue 1;France_Ligue1_2026
Diretta;Francia;Ligue 2;France_Ligue2_2026
Diretta;Francia;National;France_National_2026
Diretta;Germania;Bundesliga;Germany_Bundesliga_2026
Diretta;Germania;Regionalliga Nordost;Germany_Regionalliga_Nordost_2026
Diretta;Indonesia;Super League;Indonesia_SuperLeague_2026
Diretta;Indonesia;Championship;Indonesia_Championship_2026
Diretta;Inghilterra;Premier League;England_PremierLeague_2026
Diretta;Inghilterra;Championship;England_Championship_2026
Diretta;Inghilterra;League One;England_LeagueOne_2026
Diretta;Islanda;Besta deild karla;Iceland_BestaDeildKarla_2026
Diretta;Islanda;Division 1;Iceland_Division1_2026
Diretta;Islanda;Division 2;Iceland_Division2_2026
Diretta;Italia;Serie A;Italy_SerieA_2026
Diretta;Italia;Serie B;Italy_SerieB_2026
Diretta;Italia;Serie C - Girone A;Italy_SerieC_GironeA_2026
Diretta;Italia;Serie C - Girone B;Italy_SerieC_GironeB_2026
Diretta;Italia;Serie C - Girone C;Italy_SerieC_GironeC_2026
Diretta;Norvegia;Eliteserien;Norway_Eliteserien_2026
Diretta;Norvegia;OBOS-ligaen;Norway_OBOSLigaen_2026
Diretta;Norvegia;Division 2 - Gruppo 1;Norway_Division2_Group1_2026
Diretta;Norvegia;Division 2 - Gruppo 2;Norway_Division2_Group2_2026
Diretta;Norvegia;Division 3 - Group 1;Norway_Division3_Group1_2026
Diretta;Norvegia;Division 3 - Group 2;Norway_Division3_Group2_2026
Diretta;Norvegia;Division 3 - Group 3;Norway_Division3_Group3_2026
Diretta;Norvegia;Division 3 - Group 4;Norway_Division3_Group4_2026
Diretta;Norvegia;Division 3 - Group 5;Norway_Division3_Group5_2026
Diretta;Norvegia;Division 3 - Group 6;Norway_Division3_Group6_2026
Diretta;Paesi Bassi;Eredivisie;Netherlands_Eredivisie_2026
Diretta;Paesi Bassi;Eerste Divisie;Netherlands_EersteDivisie_2026
Diretta;Portogallo;Liga Portugal;Portugal_LigaPortugal_2026
Diretta;Portogallo;Liga Portugal 2;Portugal_LigaPortugal2_2026
Diretta;Spagna;LaLiga;Spain_LaLiga_2026
Diretta;Svezia;Allsvenskan;Sweden_Allsvenskan_2026
Diretta;Svezia;Superettan;Sweden_Superettan_2026
Diretta;Svezia;Division 1, Norra;Sweden_Division1_Norra_2026
Diretta;Svezia;Division 2 - Norrland;Sweden_Division2_Norrland_2026
Diretta;Svezia;Division 2 - Norra Götaland;Sweden_Division2_NorraGotaland_2026
Diretta;Svezia;Division 2 - Norra Svealand;Sweden_Division2_NorraSvealand_2026
Diretta;Svezia;Division 2 - Södra Götaland;Sweden_Division2_SodraGotaland_2026
Diretta;Svezia;Division 2 - Södra Svealand;Sweden_Division2_SodraSvealand_2026
Diretta;Svezia;Division 2 - Västra Götaland;Sweden_Division2_VastraGotaland_2026
Diretta;Svizzera;Super League;Switzerland_SuperLeague_2026
Diretta;Turchia;Super Lig;Turkey_SuperLig_2026
Diretta;USA;USL League Two;USA_USLLeagueTwo_2026
