model_version;country;league;home;away;match;score;band;ranking_component;strong_gf_component;weak_ga_component;strong_ga_component;weak_gf_component;last10_component;real_over_index_component;random_component;risultato;ESITO;reason
1.1;USA;USL League Two;Boston City;Vermont Green;Boston City - Vermont Green;78.78;ALTA;10.42;20.0;20.0;3.59;7.0;8.88;8.89;0.0;;;Squadra alta: Vermont Green (1ª), squadra bassa: Boston City (10ª) | GF alta: 4.78/gara | GS bassa: 3.89/gara | Profilo ultime 10: 0.89
1.1;USA;USL League Two;Delaware;Reading;Delaware - Reading;76.86;ALTA;9.9;16.67;17.05;7.0;7.0;9.81;9.44;0.0;;;Squadra alta: Delaware (6ª), squadra bassa: Reading (8ª) | GF alta: 2.00/gara | GS bassa: 1.88/gara | Profilo ultime 10: 0.98
1.1;USA;USL League Two;Hill Country Lobos;Laredo Heat;Hill Country Lobos - Laredo Heat;76.74;ALTA;6.95;20.0;20.0;3.08;7.0;9.71;10.0;0.0;;;Squadra alta: Laredo Heat (2ª), squadra bassa: Hill Country Lobos (8ª) | GF alta: 2.43/gara | GS bassa: 2.43/gara | Profilo ultime 10: 0.97
1.1;USA;USL League Two;Cleveland Force;Buffalo;Cleveland Force - Buffalo;73.57;MEDIA-ALTA;1.56;20.0;20.0;5.38;7.0;9.62;10.0;0.0;;;Squadra alta: Buffalo (2ª), squadra bassa: Cleveland Force (5ª) | GF alta: 2.50/gara | GS bassa: 3.22/gara | Profilo ultime 10: 0.96
1.1;USA;USL League Two;Black Rock;AC Connecticut;Black Rock - AC Connecticut;71.27;MEDIA-ALTA;5.79;13.1;20.0;5.38;7.0;10.0;10.0;0.0;;;Squadra alta: Black Rock (4ª), squadra bassa: AC Connecticut (9ª) | GF alta: 1.57/gara | GS bassa: 2.67/gara | Profilo ultime 10: 1.00
1.1;USA;USL League Two;Albany Rush;Western Mass Pioneers;Albany Rush - Western Mass Pioneers;70.41;MEDIA-ALTA;3.47;16.67;20.0;6.73;7.0;8.92;7.62;0.0;;;Squadra alta: Western Mass Pioneers (3ª), squadra bassa: Albany Rush (6ª) | GF alta: 2.00/gara | GS bassa: 2.90/gara | Profilo ultime 10: 0.89
1.1;USA;USL League Two;Louisiana;Hattiesburg;Louisiana - Hattiesburg;69.96;MEDIA-ALTA;1.04;17.71;18.18;7.0;7.0;9.56;9.46;0.0;;;Squadra alta: Louisiana (3ª), squadra bassa: Hattiesburg (5ª) | GF alta: 2.12/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.96
1.1;USA;USL League Two;Midlakes United;Snohomish United;Midlakes United - Snohomish United;69.34;MEDIA-ALTA;4.63;20.0;15.15;5.38;7.0;8.91;8.26;0.0;;;Squadra alta: Snohomish United (1ª), squadra bassa: Midlakes United (5ª) | GF alta: 2.88/gara | GS bassa: 1.67/gara | Profilo ultime 10: 0.89
1.1;USA;USL League Two;Port City;SC United Bantams;Port City - SC United Bantams;69.2;MEDIA-ALTA;4.63;15.74;20.0;7.0;5.19;8.31;8.33;0.0;;;Squadra alta: SC United Bantams (6ª), squadra bassa: Port City (10ª) | GF alta: 1.89/gara | GS bassa: 2.44/gara | Profilo ultime 10: 0.83
1.1;USA;USL League Two;Eagle FC;PA Classics;Eagle FC - PA Classics;67.99;MEDIA-ALTA;9.9;12.5;20.0;7.0;3.65;7.57;7.38;0.0;;;Squadra alta: PA Classics (7ª), squadra bassa: Eagle FC (9ª) | GF alta: 1.50/gara | GS bassa: 3.00/gara | Profilo ultime 10: 0.76
1.1;USA;USL League Two;Swarm FC;Montgomery United;Swarm FC - Montgomery United;67.64;MEDIA-ALTA;1.56;20.0;15.58;4.71;7.0;9.41;9.38;0.0;;;Squadra alta: Swarm FC (2ª), squadra bassa: Montgomery United (5ª) | GF alta: 2.50/gara | GS bassa: 1.71/gara | Profilo ultime 10: 0.94
1.1;USA;USL League Two;Salem City;Asheville City;Salem City - Asheville City;67.51;MEDIA-ALTA;4.63;15.62;20.0;4.04;7.0;8.65;7.57;0.0;;;Squadra alta: Asheville City (4ª), squadra bassa: Salem City (8ª) | GF alta: 1.88/gara | GS bassa: 2.22/gara | Profilo ultime 10: 0.86
1.1;USA;USL League Two;Union FC Macomb;Lansing City;Union FC Macomb - Lansing City;67.08;MEDIA-ALTA;2.32;14.58;20.0;7.0;4.38;8.8;10.0;0.0;;;Squadra alta: Union FC Macomb (5ª), squadra bassa: Lansing City (7ª) | GF alta: 1.75/gara | GS bassa: 3.50/gara | Profilo ultime 10: 0.88
1.1;USA;USL League Two;West Chester Utd;Ocean City;West Chester Utd - Ocean City;65.36;MEDIA-ALTA;1.04;20.0;15.91;2.69;7.0;9.34;9.38;0.0;;;Squadra alta: Ocean City (1ª), squadra bassa: West Chester Utd (3ª) | GF alta: 3.25/gara | GS bassa: 1.75/gara | Profilo ultime 10: 0.93
1.1;USA;USL League Two;Peoria;St. Louis Ambush;Peoria - St. Louis Ambush;64.71;MEDIA-ALTA;1.56;20.0;12.5;4.62;7.0;9.56;9.46;0.0;;;Squadra alta: Peoria (1ª), squadra bassa: St. Louis Ambush (4ª) | GF alta: 2.71/gara | GS bassa: 1.38/gara | Profilo ultime 10: 0.96
1.1;USA;USL League Two;Pittsburgh Riverhounds 2;Akron City;Pittsburgh Riverhounds 2 - Akron City;63.54;MEDIA-ALTA;2.32;15.74;18.18;7.0;5.83;8.36;6.11;0.0;;;Squadra alta: Pittsburgh Riverhounds 2 (4ª), squadra bassa: Akron City (6ª) | GF alta: 1.89/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.84
1.1;USA;USL League Two;Toledo Villa;Dayton;Toledo Villa - Dayton;63.15;MEDIA-ALTA;1.16;10.71;20.0;7.0;6.56;9.14;8.57;0.0;;;Squadra alta: Dayton (5ª), squadra bassa: Toledo Villa (6ª) | GF alta: 1.29/gara | GS bassa: 2.62/gara | Profilo ultime 10: 0.91
1.1;USA;USL League Two;Northern Indiana;Kings Hammer Columbus;Northern Indiana - Kings Hammer Columbus;58.5;MEDIA;0.52;14.29;11.69;7.0;7.0;9.43;8.57;0.0;;;Squadra alta: Northern Indiana (3ª), squadra bassa: Kings Hammer Columbus (4ª) | GF alta: 1.71/gara | GS bassa: 1.29/gara | Profilo ultime 10: 0.94
1.1;USA;USL League Two;Nona;Brooke House;Nona - Brooke House;51.98;MEDIA;0.52;13.54;13.13;4.04;7.0;7.92;5.83;0.0;;;Squadra alta: Nona (2ª), squadra bassa: Brooke House (3ª) | GF alta: 1.62/gara | GS bassa: 1.44/gara | Profilo ultime 10: 0.79
1.1;USA;USL League Two;Sporting Jax 2;Shark Coast;Sporting Jax 2 - Shark Coast;40.32;BASSA;1.16;2.78;17.17;4.19;7.0;4.69;3.33;0.0;;;Squadra alta: Sporting Jax 2 (4ª), squadra bassa: Shark Coast (5ª) | GF alta: 0.33/gara | GS bassa: 1.89/gara | Profilo ultime 10: 0.47
