LeagueId;Round;Home;Away;Match;Score;Band;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent;Reason
Australia_TasmaniaSouthernChampionship_2026;12;Olympia Warriors;University of Tasmania;Olympia Warriors - University of Tasmania;81.28;ALTA;4.28;25.0;25.0;13.5;13.5;Ranking gap: 0.214 | Attacco casa: 3.00/gara | Difesa trasferta subisce: 3.55/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.90
Australia_TasmaniaSouthernChampionship_2026;12;Glenorchy Knights U21;South Hobart U21;Glenorchy Knights U21 - South Hobart U21;78.22;ALTA;6.54;25.0;18.18;15.0;13.5;Ranking gap: 0.327 | Attacco casa: 3.10/gara | Difesa trasferta subisce: 1.82/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.90
Australia_QueenslandPremierLeague_2026;16;Brisbane Strikers;Ipswich;Brisbane Strikers - Ipswich;62.75;MEDIA-ALTA;1.92;25.0;13.33;12.0;10.5;Ranking gap: 0.096 | Attacco casa: 2.53/gara | Difesa trasferta subisce: 1.33/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.70
Australia_NPLWesternAustralia_2026;16;Bayswater City;Perth RedStar;Bayswater City - Perth RedStar;62.54;MEDIA-ALTA;0.68;25.0;12.86;13.5;10.5;Ranking gap: 0.034 | Attacco casa: 2.53/gara | Difesa trasferta subisce: 1.29/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.70
Australia_NSWLeagueOne_2026;21;Blacktown Spartans;Rydalmere Lions;Blacktown Spartans - Rydalmere Lions;61.48;MEDIA-ALTA;3.98;23.0;15.0;10.5;9.0;Ranking gap: 0.199 | Attacco casa: 2.30/gara | Difesa trasferta subisce: 1.50/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.60
Australia_QueenslandPremierLeague_2026;16;Holland Park Hawks;Redlands;Holland Park Hawks - Redlands;57.64;MEDIA;1.26;16.67;15.71;12.0;12.0;Ranking gap: 0.063 | Attacco casa: 1.67/gara | Difesa trasferta subisce: 1.57/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.80
Australia_NPLQueensland_2026;16;Rochedale;Gold Coast Knights;Rochedale - Gold Coast Knights;56.04;MEDIA;4.92;14.0;14.62;12.0;10.5;Ranking gap: 0.246 | Attacco casa: 1.40/gara | Difesa trasferta subisce: 1.46/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.70
Australia_NPL_NSW_U20_2026;21;Sydney FC U20;Sydney Utd U20;Sydney FC U20 - Sydney Utd U20;55.13;MEDIA;1.68;18.95;13.5;9.0;12.0;Ranking gap: 0.084 | Attacco casa: 1.89/gara | Difesa trasferta subisce: 1.35/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.80
Australia_VictoriaPremierLeague2_2026;19;Keilor Park;Moreland City;Keilor Park - Moreland City;54.75;MEDIA;4.62;13.12;22.0;4.5;10.5;Ranking gap: 0.231 | Attacco casa: 1.31/gara | Difesa trasferta subisce: 2.20/gara | Over25 casa ultime10: 0.30 | Over25 trasferta ultime10: 0.70
USA_USLLeagueTwo_Northeast_2026;25;Seacoast United Phantoms;Boston Bolts;Seacoast United Phantoms - Boston Bolts;52.53;MEDIA;15.86;0.0;23.33;0.0;13.33;Ranking gap: 0.793 | Attacco casa: 0.00/gara | Difesa trasferta subisce: 2.33/gara | Over25 casa ultime10: 0.00 | Over25 trasferta ultime10: 0.89
Australia_NPLVictoria_2026;18;Heidelberg;Oakleigh;Heidelberg - Oakleigh;50.77;MEDIA;2.12;17.65;10.0;12.0;9.0;Ranking gap: 0.106 | Attacco casa: 1.76/gara | Difesa trasferta subisce: 1.00/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.60
Australia_NPLVictoria_2026;18;Bentleigh;Altona Magic;Bentleigh - Altona Magic;50.22;MEDIA;0.4;10.0;18.82;12.0;9.0;Ranking gap: 0.020 | Attacco casa: 1.00/gara | Difesa trasferta subisce: 1.88/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.60
