MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup
2026-07-16;Australia_NPLSouthAustralia;West Torrens;Para;77.28;ALTA;20;2026-07-16;Ranking gap: 0.564 | Attacco casa: 2.00/gara | Difesa trasferta subisce: 4.41/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.70;11.28;20.0;;;25.0;10.5;10.5;;;;2.0.0;Australia_NPLSouthAustralia;Australia_NPLSouthAustralia;
2026-07-16;Estonia_Meistriliiga;Flora;Nomme Utd;77.2;ALTA;21;2026-07-16;Ranking gap: 0.192 | Attacco casa: 2.12/gara | Difesa trasferta subisce: 2.37/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 1.00;3.84;21.18;;;23.68;13.5;15.0;;;;2.0.0;Estonia_Meistriliiga;Estonia_Meistriliiga;
2026-07-16;Iceland_Division_2;Haukar;Throttur Vogar;71.22;MEDIA-ALTA;24;2026-07-16;Ranking gap: 0.261 | Attacco casa: 2.69/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.60;5.22;25.0;;;20.0;12.0;9.0;;;;2.0.0;Iceland_Division_2;Iceland_Division_2;
2026-07-16;Kazakhstan_FirstLeague;Kairat Almaty 2;Kaspij Aktau 2;68.44;MEDIA-ALTA;23;2026-07-16;Ranking gap: 0.276 | Attacco casa: 3.38/gara | Difesa trasferta subisce: 1.69/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.60;5.52;25.0;;;16.92;12.0;9.0;;;;2.0.0;Kazakhstan_FirstLeague;Kazakhstan_FirstLeague;
2026-07-16;Finland_Kakkonen_GroupC;Vaajakoski;Huima / Urho;67.72;MEDIA-ALTA;15;2026-07-16;Ranking gap: 0.186 | Attacco casa: 2.08/gara | Difesa trasferta subisce: 1.92/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.80;3.72;20.83;;;19.17;12.0;12.0;;;;2.0.0;Finland_Kakkonen_GroupC;Finland_Kakkonen_GroupC;
2026-07-16;USA_USLLeagueTwo_PlayOff;Peoria;Sueno;67.22;MEDIA-ALTA;1;2026-07-16;Ranking gap: 0.492 | Attacco casa: 2.43/gara | Difesa trasferta subisce: 0.91/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.90;9.84;24.29;;;9.09;10.5;13.5;;;;2.0.0;USA_USLLeagueTwo_GreatPlains;USA_USLLeagueTwo_Heartland;USA_USLLeagueTwo
2026-07-16;Australia_NPLWesternAustralia;Perth Azzurri;Western Knights;64.86;MEDIA-ALTA;20;2026-07-16;Ranking gap: 0.134 | Attacco casa: 2.35/gara | Difesa trasferta subisce: 1.76/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.70;2.68;23.53;;;17.65;10.5;10.5;;;;2.0.0;Australia_NPLWesternAustralia;Australia_NPLWesternAustralia;
2026-07-16;USA_USLLeagueTwo_PlayOff;Laredo Heat;Texoma;64.49;MEDIA-ALTA;1;2026-07-16;Ranking gap: 0.311 | Attacco casa: 2.67/gara | Difesa trasferta subisce: 1.08/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.80;6.22;25.0;;;10.77;10.5;12.0;;;;2.0.0;USA_USLLeagueTwo_LoneStar;USA_USLLeagueTwo_Ranger;USA_USLLeagueTwo
2026-07-16;USA_USLLeagueTwo_PlayOff;Little Rock Rangers;GFI Woodlands;64.16;MEDIA-ALTA;1;2026-07-16;Ranking gap: 0.558 | Attacco casa: 1.83/gara | Difesa trasferta subisce: 1.67/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.70;11.16;18.33;;;16.67;7.5;10.5;;;;2.0.0;USA_USLLeagueTwo_MidSouth;USA_USLLeagueTwo_LoneStar;USA_USLLeagueTwo
2026-07-16;Norway_Eliteserien;Bodo/Glimt;Fredrikstad;64.03;MEDIA-ALTA;20;2026-07-16;Ranking gap: 0.135 | Attacco casa: 2.50/gara | Difesa trasferta subisce: 1.83/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.60;2.7;25.0;;;18.33;9.0;9.0;;;;2.0.0;Norway_Eliteserien;Norway_Eliteserien;
2026-07-16;USA_USLLeagueTwo_PlayOff;Ocean City;Motown 2;63.02;MEDIA-ALTA;1;2026-07-16;Ranking gap: 0.401 | Attacco casa: 2.93/gara | Difesa trasferta subisce: 0.75/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.80;8.02;25.0;;;7.5;10.5;12.0;;;;2.0.0;USA_USLLeagueTwo_Metropolitan;USA_USLLeagueTwo_Metropolitan;USA_USLLeagueTwo
2026-07-16;USA_USLLeagueTwo_PlayOff;Colorado Storm;Snohomish United;61.48;MEDIA-ALTA;1;2026-07-16;Ranking gap: 0.056 | Attacco casa: 2.67/gara | Difesa trasferta subisce: 1.29/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.90;1.12;25.0;;;12.86;9.0;13.5;;;;2.0.0;USA_USLLeagueTwo_Mountain;USA_USLLeagueTwo_Northwest;USA_USLLeagueTwo
2026-07-16;Australia_VictoriaPremierLeague;Melbourne Knights;Brunswick City;60.2;MEDIA-ALTA;22;2026-07-16;Ranking gap: 0.310 | Attacco casa: 1.75/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.60;6.2;17.5;;;20.0;7.5;9.0;;;;2.0.0;Australia_VictoriaPremierLeague;Australia_VictoriaPremierLeague;
2026-07-16;Iceland_Division_2;KFG Gardabaer;Kari;60.16;MEDIA-ALTA;24;2026-07-16;Ranking gap: 0.183 | Attacco casa: 1.42/gara | Difesa trasferta subisce: 1.83/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.80;3.66;14.17;;;18.33;12.0;12.0;;;;2.0.0;Iceland_Division_2;Iceland_Division_2;
2026-07-16;Australia_NPL_NSW_U20;Sydney FC U20;Manly Utd U20;57.52;MEDIA;25;2026-07-16;Ranking gap: 0.065 | Attacco casa: 2.17/gara | Difesa trasferta subisce: 1.35/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.70;1.3;21.74;;;13.48;10.5;10.5;;;;2.0.0;Australia_NPL_NSW_U20;Australia_NPL_NSW_U20;
2026-07-16;Australia_VictoriaPremierLeague;Northcote City;Manningham United Blues;57.41;MEDIA;22;2026-07-16;Ranking gap: 0.168 | Attacco casa: 1.70/gara | Difesa trasferta subisce: 1.90/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.80;3.36;17.0;;;19.05;6.0;12.0;;;;2.0.0;Australia_VictoriaPremierLeague;Australia_VictoriaPremierLeague;
2026-07-16;Kazakhstan_FirstLeague;Tobol 2;Akademiya Ontustik;57.27;MEDIA;23;2026-07-16;Ranking gap: 0.202 | Attacco casa: 1.62/gara | Difesa trasferta subisce: 1.31/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.70;4.04;16.15;;;13.08;13.5;10.5;;;;2.0.0;Kazakhstan_FirstLeague;Kazakhstan_FirstLeague;
2026-07-16;Australia_NPLSouthAustralia;Campbelltown City;Adelaide Comets;56.72;MEDIA;20;2026-07-16;Ranking gap: 0.111 | Attacco casa: 1.50/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.70;2.22;15.0;;;20.0;9.0;10.5;;;;2.0.0;Australia_NPLSouthAustralia;Australia_NPLSouthAustralia;
2026-07-16;USA_USLLeagueTwo_PlayOff;Steel City;Northern Indiana;55.69;MEDIA;1;2026-07-16;Ranking gap: 0.359 | Attacco casa: 1.67/gara | Difesa trasferta subisce: 1.38/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.80;7.18;16.67;;;13.85;6.0;12.0;;;;2.0.0;USA_USLLeagueTwo_GreatLakes;USA_USLLeagueTwo_Valley;USA_USLLeagueTwo
2026-07-16;Somalia_NationalLeague;Badbaado;Dekedaha;55.06;MEDIA;23;2026-07-16;Ranking gap: 0.271 | Attacco casa: 1.71/gara | Difesa trasferta subisce: 1.16/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.50;5.42;17.06;;;11.58;13.5;7.5;;;;2.0.0;Somalia_NationalLeague;Somalia_NationalLeague;
2026-07-16;Australia_NSWLeagueOne;Hurstville Zagreb;Dulwich Hill;54.03;MEDIA;26;2026-07-16;Ranking gap: 0.106 | Attacco casa: 1.48/gara | Difesa trasferta subisce: 1.91/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.60;2.12;14.78;;;19.13;9.0;9.0;;;;2.0.0;Australia_NSWLeagueOne;Australia_NSWLeagueOne;
2026-07-16;Sweden_Allsvenskan;Mjallby;Västerås SK;53.62;MEDIA;18;2026-07-16;Ranking gap: 0.031 | Attacco casa: 1.58/gara | Difesa trasferta subisce: 1.92/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.70;0.62;15.83;;;19.17;7.5;10.5;;;;2.0.0;Sweden_Allsvenskan;Sweden_Allsvenskan;
2026-07-16;Kazakhstan_FirstLeague;FC Astana 2;Jaiyq;53.28;MEDIA;23;2026-07-16;Ranking gap: 0.037 | Attacco casa: 1.85/gara | Difesa trasferta subisce: 1.31/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.50;0.74;18.46;;;13.08;13.5;7.5;;;;2.0.0;Kazakhstan_FirstLeague;Kazakhstan_FirstLeague;
2026-07-16;Iceland_Division_1;Fylkir;Njardvik;51.58;MEDIA;22;2026-07-16;Ranking gap: 0.147 | Attacco casa: 2.00/gara | Difesa trasferta subisce: 1.21/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.50;2.94;20.0;;;12.14;9.0;7.5;;;;2.0.0;Iceland_Division_1;Iceland_Division_1;
2026-07-16;USA_USLLeagueTwo_PlayOff;Dothan United;Brave SC;51.58;MEDIA;1;2026-07-16;Ranking gap: 0.131 | Attacco casa: 2.25/gara | Difesa trasferta subisce: 0.85/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.70;2.62;22.5;;;8.46;7.5;10.5;;;;2.0.0;USA_USLLeagueTwo_Southeast;USA_USLLeagueTwo_Southeast;USA_USLLeagueTwo
2026-07-16;Iceland_Division_2;Hviti;Olafsvik;51.31;MEDIA;24;2026-07-16;Ranking gap: 0.074 | Attacco casa: 1.42/gara | Difesa trasferta subisce: 1.92/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.70;1.48;14.17;;;19.17;6.0;10.5;;;;2.0.0;Iceland_Division_2;Iceland_Division_2;
2026-07-16;USA_USLLeagueTwo_PlayOff;Charlotte Independ. 2;Appalachian;50.64;MEDIA;1;2026-07-16;Ranking gap: 0.277 | Attacco casa: 2.14/gara | Difesa trasferta subisce: 0.87/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.50;5.54;21.43;;;8.67;7.5;7.5;;;;2.0.0;USA_USLLeagueTwo_SouthAtlantic;USA_USLLeagueTwo_PlayIn;USA_USLLeagueTwo
2026-07-16;Australia_VictoriaPremierLeague2;Whittlesea United;Essendon Royals SC;49.82;MEDIA;21;2026-07-16;Ranking gap: 0.141 | Attacco casa: 1.55/gara | Difesa trasferta subisce: 1.50/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.70;2.82;15.5;;;15.0;6.0;10.5;;;;2.0.0;Australia_VictoriaPremierLeague2;Australia_VictoriaPremierLeague2;
2026-07-16;Australia_VictoriaPremierLeague2;Eastern Lions;Bayside Argonauts;49.29;MEDIA;21;2026-07-16;Ranking gap: 0.188 | Attacco casa: 1.58/gara | Difesa trasferta subisce: 1.47/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.50;3.76;15.79;;;14.74;7.5;7.5;;;;2.0.0;Australia_VictoriaPremierLeague2;Australia_VictoriaPremierLeague2;
2026-07-16;Sweden_Allsvenskan;Göteborg;Brommapojkarna;48.24;MEDIA;18;2026-07-16;Ranking gap: 0.062 | Attacco casa: 1.17/gara | Difesa trasferta subisce: 1.58/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.70;1.24;11.67;;;15.83;9.0;10.5;;;;2.0.0;Sweden_Allsvenskan;Sweden_Allsvenskan;
2026-07-16;Australia_NPLVictoria;Green Gully;Dandenong Thunder;47.66;MEDIA;23;2026-07-16;Ranking gap: 0.058 | Attacco casa: 0.70/gara | Difesa trasferta subisce: 2.15/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.60;1.16;7.0;;;21.5;9.0;9.0;;;;2.0.0;Australia_NPLVictoria;Australia_NPLVictoria;
2026-07-16;Australia_VictoriaPremierLeague2;Box Hill;Altona City;46.48;MEDIA;21;2026-07-16;Ranking gap: 0.212 | Attacco casa: 1.47/gara | Difesa trasferta subisce: 1.40/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.20;4.24;14.74;;;14.0;10.5;3.0;;;;2.0.0;Australia_VictoriaPremierLeague2;Australia_VictoriaPremierLeague2;
2026-07-16;Finland_Kakkonen_GroupB;GrIFK;Abo;45.16;MEDIA;14;2026-07-16;Ranking gap: 0.233 | Attacco casa: 1.33/gara | Difesa trasferta subisce: 0.92/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.60;4.66;13.33;;;9.17;9.0;9.0;;;;2.0.0;Finland_Kakkonen_GroupB;Finland_Kakkonen_GroupB;
2026-07-16;Finland_Ykkosliiga;KaPa;SJK Akatemia;44.07;BASSA;16;2026-07-16;Ranking gap: 0.411 | Attacco casa: 1.15/gara | Difesa trasferta subisce: 1.23/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.10;8.22;11.54;;;12.31;10.5;1.5;;;;2.0.0;Finland_Ykkosliiga;Finland_Ykkosliiga;
