MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-08-22;Australia_TasmaniaNorthernChampionship;Northern Rangers;Launceston United U21;94.06;ALTA;20;2026-08-21;Australia_TasmaniaNorthernChampionship;Australia_TasmaniaNorthernChampionship;;"Ranking gap: 0.928 | Attacco casa: 6.53/gara | Difesa trasferta subisce: 5.17/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.90 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.40;AwayGALast5=5.20;BaseScore=97.06;FinalScore=94.06]";18.56;25.0;;;25.0;15.0;13.5;;;;2.0.def1
2026-08-22;Switzerland_PromotionLeague;Schaffhausen;Bellinzona;85.0;IMM-ALTA-6;5;2026-08-21;Switzerland_PromotionLeague;Switzerland_PromotionLeague;;Ranking gap: 1.000 | Attacco casa: 3.00/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.33;20.0;25.0;;;20.0;15.0;5.0;;;;2.0.def1
2026-08-22;Poland_IIILiga_Group1;Mazovia Minsk Mazowiecki;Elblag;83.51;IMM-ALTA-8;5;2026-08-21;Poland_IIILiga_Group1;Poland_IIILiga_Group1;;Ranking gap: 0.738 | Attacco casa: 2.75/gara | Difesa trasferta subisce: 1.75/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.75;14.76;25.0;;;17.5;15.0;11.25;;;;2.0.def1
2026-08-22;NorthernIreland_NIFLChampionship;Newington;Rathfriland;81.08;IMM-ALTA-6;4;2026-08-21;NorthernIreland_NIFLChampionship;NorthernIreland_NIFLChampionship;;Ranking gap: 0.054 | Attacco casa: 2.67/gara | Difesa trasferta subisce: 3.00/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 1.00;1.08;25.0;;;25.0;15.0;15.0;;;;2.0.def1
2026-08-22;CzechRepublic_4Liga_GroupC;Usti nad Orlici;Letohrad;80.86;IMM-ALTA-4;3;2026-08-21;CzechRepublic_4Liga_GroupC;CzechRepublic_4Liga_GroupC;CzechRepublic_4Liga;Ranking gap: 0.043 | Attacco casa: 4.00/gara | Difesa trasferta subisce: 3.00/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 1.00;0.86;25.0;;;25.0;15.0;15.0;;;;2.0.def1
2026-08-22;Germany_Oberliga_Bremen;BTS Neustadt;Vatan Bremen;80.62;IMM-ALTA-4;3;2026-08-21;Germany_Oberliga_Bremen;Germany_Oberliga_Bremen;;Ranking gap: 0.031 | Attacco casa: 3.00/gara | Difesa trasferta subisce: 3.00/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 1.00;0.62;25.0;;;25.0;15.0;15.0;;;;2.0.def1
2026-08-22;Germany_Oberliga_Bremen;Union 60 Bremen;Woltmershausen;80.3;IMM-ALTA-4;3;2026-08-21;Germany_Oberliga_Bremen;Germany_Oberliga_Bremen;;Ranking gap: 0.015 | Attacco casa: 3.50/gara | Difesa trasferta subisce: 5.50/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 1.00;0.3;25.0;;;25.0;15.0;15.0;;;;2.0.def1
2026-08-22;Finland_Kakkonen_GroupC;Huima / Urho;Narpes Kraft;80.07;ALTA;19;2026-08-21;Finland_Kakkonen_GroupC;Finland_Kakkonen_GroupC;;"Ranking gap: 0.318 | Attacco casa: 2.76/gara | Difesa trasferta subisce: 2.47/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 1.00 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=0.40;AwayGALast5=3.00;BaseScore=83.07;FinalScore=80.07]";6.36;25.0;;;24.71;12.0;15.0;;;;2.0.def1
2026-08-22;Australia_NPLACT;Canberra Croatia;Belconnen Utd.;79.9;ALTA;25;2026-08-21;Australia_NPLACT;Australia_NPLACT;;"Ranking gap: 0.852 | Attacco casa: 3.15/gara | Difesa trasferta subisce: 2.29/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.40 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.60;AwayGALast5=2.60;BaseScore=82.90;FinalScore=79.90]";17.04;25.0;;;22.86;12.0;6.0;;;;2.0.def1
2026-08-22;Poland_IIILiga_Group3;Zaglebie 2;Legnica 2;79.58;IMM-ALTA-8;5;2026-08-21;Poland_IIILiga_Group3;Poland_IIILiga_Group3;;Ranking gap: 0.854 | Attacco casa: 2.00/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 0.75 | Over25 trasferta ultime10: 0.75;17.08;20.0;;;20.0;11.25;11.25;;;;2.0.def1
