MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-09-24;England_ProfessionalDevelopmentLeague;Wigan U21;Coventry U21;85.5;IMM-ALTA-10;7;2026-09-22;England_ProfessionalDevelopmentLeague;England_ProfessionalDevelopmentLeague;;Ranking gap: 0.275 | Attacco casa: 2.50/gara | Difesa trasferta subisce: 2.50/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 1.00;5.5;25.0;;;25.0;15.0;15.0;;;;2.0.defplus1
2026-09-24;England_ProfessionalDevelopmentLeague;Bristol City U21;Hull U21;78.09;IMM-ALTA-6;7;2026-09-22;England_ProfessionalDevelopmentLeague;England_ProfessionalDevelopmentLeague;;Ranking gap: 0.592 | Attacco casa: 2.25/gara | Difesa trasferta subisce: 2.50/gara | Over25 casa ultime10: 0.75 | Over25 trasferta ultime10: 0.50;11.84;22.5;;;25.0;11.25;7.5;;;;2.0.defplus1
2026-09-22;Austria_Regionalliga_South;A. Klagenfurt;Donau Klagenfurt;69.34;MEDIA-ALTA;10;2026-09-22;Austria_Regionalliga_South;Austria_Regionalliga_South;;"Ranking gap: 0.867 | Attacco casa: 2.29/gara | Difesa trasferta subisce: 1.71/gara | Over25 casa ultime10: 0.57 | Over25 trasferta ultime10: 0.43 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.00;AwayGALast5=1.60;BaseScore=72.34;FinalScore=69.34]";17.34;22.86;;;17.14;8.57;6.43;;;;2.0.defplus1
2026-09-22;Armenia_FirstLeague;Bentonit;Mika;68.08;MEDIA-ALTA;11;2026-09-22;Armenia_FirstLeague;Armenia_FirstLeague;seconda divisione armena;Ranking gap: 0.029 | Attacco casa: 3.67/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 0.83 | Over25 trasferta ultime10: 0.67;0.58;25.0;;;20.0;12.5;10.0;;;;2.0.defplus1
2026-09-22;Norway_3rdDivision_Group5;Skjetten;Skjervoy;67.36;MEDIA-ALTA;23;2026-09-22;Norway_3rdDivision_Group5;Norway_3rdDivision_Group5;;"Ranking gap: 0.068 | Attacco casa: 2.20/gara | Difesa trasferta subisce: 2.45/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.80 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=2.40;AwayGALast5=1.60;BaseScore=70.36;FinalScore=67.36]";1.36;22.0;;;24.5;10.5;12.0;;;;2.0.defplus1
2026-09-24;England_NPLPremierDivision;Leek;Hyde;60.26;MEDIA-ALTA;11;2026-09-22;England_NPLPremierDivision;England_NPLPremierDivision;;Ranking gap: 0.041 | Attacco casa: 1.89/gara | Difesa trasferta subisce: 1.89/gara | Over25 casa ultime10: 0.78 | Over25 trasferta ultime10: 0.67;0.82;18.89;;;18.89;11.67;10.0;;;;2.0.defplus1
2026-09-24;England_ProfessionalDevelopmentLeague;Charlton U21;Sheffield Utd U21;59.46;MEDIA;7;2026-09-22;England_ProfessionalDevelopmentLeague;England_ProfessionalDevelopmentLeague;;"Ranking gap: 0.373 | Attacco casa: 1.80/gara | Difesa trasferta subisce: 1.75/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.50 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.60;AwayGALast5=NA;BaseScore=62.46;FinalScore=59.46]";7.46;18.0;;;17.5;12.0;7.5;;;;2.0.defplus1
2026-09-24;England_IsthmianLeaguePremierDivision;Three Bridges;Leatherhead;56.08;MEDIA;19;2026-09-22;England_IsthmianLeaguePremierDivision;England_IsthmianLeaguePremierDivision;;"Ranking gap: 0.079 | Attacco casa: 1.62/gara | Difesa trasferta subisce: 1.50/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.75 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=3.20;AwayGALast5=1.60;BaseScore=59.08;FinalScore=56.08]";1.58;16.25;;;15.0;15.0;11.25;;;;2.0.defplus1
2026-09-22;Austria_Regionalliga_East;Traiskirchen;Kremser;56.0;MEDIA;9;2026-09-22;Austria_Regionalliga_East;Austria_Regionalliga_East;;"Ranking gap: 0.057 | Attacco casa: 2.43/gara | Difesa trasferta subisce: 1.43/gara | Over25 casa ultime10: 0.71 | Over25 trasferta ultime10: 0.57 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=2.40;AwayGALast5=1.20;BaseScore=59.00;FinalScore=56.00]";1.14;24.29;;;14.29;10.71;8.57;;;;2.0.defplus1
2026-09-24;England_SouthernLeaguePremierCentral;Leiston;Peterborough Sports;55.95;MEDIA;9;2026-09-22;England_SouthernLeaguePremierCentral;England_SouthernLeaguePremierCentral;;"Ranking gap: 0.019 | Attacco casa: 2.14/gara | Difesa trasferta subisce: 1.57/gara | Over25 casa ultime10: 0.86 | Over25 trasferta ultime10: 0.57 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=2.00;AwayGALast5=1.60;BaseScore=58.95;FinalScore=55.95]";0.38;21.43;;;15.71;12.86;8.57;;;;2.0.defplus1
2026-09-22;Bosnia_PrvaLiga_RS;Leotar;Famos Vojkovici;55.64;MEDIA;8;2026-09-22;Bosnia_PrvaLiga_RS;Bosnia_PrvaLiga_RS;;"Ranking gap: 0.082 | Attacco casa: 2.50/gara | Difesa trasferta subisce: 1.60/gara | Over25 casa ultime10: 0.67 | Over25 trasferta ultime10: 0.40 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=0.20;AwayGALast5=1.60;BaseScore=58.64;FinalScore=55.64]";1.64;25.0;;;16.0;10.0;6.0;;;;2.0.defplus1
2026-09-24;England_IsthmianLeaguePremierDivision;Brentwood;Maldon & Tiptree;54.33;MEDIA;19;2026-09-22;England_IsthmianLeaguePremierDivision;England_IsthmianLeaguePremierDivision;;Ranking gap: 0.038 | Attacco casa: 1.14/gara | Difesa trasferta subisce: 2.29/gara | Over25 casa ultime10: 0.57 | Over25 trasferta ultime10: 0.71;0.76;11.43;;;22.86;8.57;10.71;;;;2.0.defplus1
