MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-09-20;Finland_Kolmonen_Southern_Group2;VJS 2;Kontu;83.72;ALTA;23;2026-09-20;Finland_Kolmonen_Southern_Group2;Finland_Kolmonen_Southern_Group2;;Ranking gap: 0.261 | Attacco casa: 3.22/gara | Difesa trasferta subisce: 2.53/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.90;5.22;25.0;;;25.0;15.0;13.5;;;;2.0.defplus2
2026-09-20;Moldova_SuperLiga;S. Tiraspol;Balti;79.33;ALTA;13;2026-09-20;Moldova_SuperLiga;Moldova_SuperLiga;;"Ranking gap: 0.775 | Attacco casa: 2.08/gara | Difesa trasferta subisce: 2.92/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.80 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.00;AwayGALast5=3.80;BaseScore=82.33;FinalScore=79.33]";15.5;20.83;;;25.0;9.0;12.0;;;;2.0.defplus2
2026-09-20;Albania_AbissnetSuperiore;Egnatia;Partizani;79.04;IMM-ALTA-7;6;2026-09-20;Albania_AbissnetSuperiore;Albania_AbissnetSuperiore;;Ranking gap: 0.077 | Attacco casa: 2.25/gara | Difesa trasferta subisce: 2.67/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 1.00;1.54;22.5;;;25.0;15.0;15.0;;;;2.0.defplus2
2026-09-20;Netherlands_Eredivisie;Feyenoord;Utrecht;76.1;ALTA;9;2026-09-20;Netherlands_Eredivisie;Netherlands_Eredivisie;;"Ranking gap: 0.080 | Attacco casa: 3.33/gara | Difesa trasferta subisce: 3.17/gara | Over25 casa ultime10: 0.83 | Over25 trasferta ultime10: 1.00 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.40;AwayGALast5=3.40;BaseScore=79.10;FinalScore=76.10]";1.6;25.0;;;25.0;12.5;15.0;;;;2.0.defplus2
2026-09-20;Norway_3rdDivision_Group5;Lillestrom 2;Fauske Sprint;76.08;ALTA;22;2026-09-20;Norway_3rdDivision_Group5;Norway_3rdDivision_Group5;;"Ranking gap: 0.029 | Attacco casa: 3.32/gara | Difesa trasferta subisce: 3.32/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 1.00 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.60;AwayGALast5=3.40;BaseScore=79.08;FinalScore=76.08]";0.58;25.0;;;25.0;13.5;15.0;;;;2.0.defplus2
2026-09-20;CzechRepublic_3CFL_GroupB;Mlada Boleslav B;Liberec B;75.9;ALTA;8;2026-09-20;CzechRepublic_3CFL_GroupB;CzechRepublic_3CFL_GroupB;CzechRepublic_3rdTier;Ranking gap: 0.095 | Attacco casa: 4.17/gara | Difesa trasferta subisce: 2.20/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.80;1.9;25.0;;;22.0;15.0;12.0;;;;2.0.defplus2
2026-09-20;Germany_Oberliga_RheinlandPfalzSaar;TSV 1881 Gau-Odernheim;Diefflen;74.07;ALTA;12;2026-09-20;Germany_Oberliga_RheinlandPfalzSaar;Germany_Oberliga_RheinlandPfalzSaar;;"Ranking gap: 0.090 | Attacco casa: 2.43/gara | Difesa trasferta subisce: 3.62/gara | Over25 casa ultime10: 0.86 | Over25 trasferta ultime10: 0.88 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.60;AwayGALast5=3.80;BaseScore=77.07;FinalScore=74.07] || V20DEFPLUS_V2_PROMOTED[V20DEFScore=74.07;V22DEFScore=85.94;V25DEFScore=85.94;Thresholds=70/80/80]";1.8;24.29;;;25.0;12.86;13.12;;;;2.0.defplus2
2026-09-20;CzechRepublic_3MSFL;Brno B;Hodonin;72.83;MEDIA-ALTA;10;2026-09-20;CzechRepublic_3MSFL;CzechRepublic_3MSFL;;"Ranking gap: 0.854 | Attacco casa: 2.75/gara | Difesa trasferta subisce: 1.50/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.25 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=0.60;AwayGALast5=1.00;BaseScore=75.83;FinalScore=72.83]";17.08;25.0;;;15.0;15.0;3.75;;;;2.0.defplus2
2026-09-20;Switzerland_SuperLeague;Vaduz;Thun;72.72;ALTA;10;2026-09-20;Switzerland_SuperLeague;Switzerland_SuperLeague;;"Ranking gap: 0.011 | Attacco casa: 2.12/gara | Difesa trasferta subisce: 2.75/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.75 || V20DEFPLUS_V2_PROMOTED[V20DEFScore=72.72;V22DEFScore=91.45;V25DEFScore=91.45;Thresholds=70/80/80]";0.22;21.25;;;25.0;15.0;11.25;;;;2.0.defplus2
2026-09-20;Netherlands_EredivisieWomen;Den Haag D;Heerenveen D;72.29;IMM-ALTA-8;5;2026-09-20;Netherlands_EredivisieWomen;Netherlands_EredivisieWomen;;"Ranking gap: 0.052 | Attacco casa: 2.25/gara | Difesa trasferta subisce: 2.25/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.75 || V20DEFPLUS_V2_PROMOTED[V20DEFScore=72.29;V22DEFScore=86.89;V25DEFScore=86.89;Thresholds=70/80/80]";1.04;22.5;;;22.5;15.0;11.25;;;;2.0.defplus2
2026-09-20;CzechRepublic_4Liga_GroupE;FK Kozlovice;Brumov;72.16;ALTA;8;2026-09-20;CzechRepublic_4Liga_GroupE;CzechRepublic_4Liga_GroupE;CzechRepublic_4Liga;"Ranking gap: 0.133 | Attacco casa: 2.67/gara | Difesa trasferta subisce: 3.33/gara | Over25 casa ultime10: 0.67 | Over25 trasferta ultime10: 0.83 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.00;AwayGALast5=3.20;BaseScore=75.16;FinalScore=72.16] || V20DEFPLUS_V2_PROMOTED[V20DEFScore=72.16;V22DEFScore=83.80;V25DEFScore=83.80;Thresholds=70/80/80]";2.66;25.0;;;25.0;10.0;12.5;;;;2.0.defplus2
2026-09-20;CzechRepublic_4Liga_GroupF;Kravare;Bridlicna;72.16;MEDIA-ALTA;8;2026-09-20;CzechRepublic_4Liga_GroupF;CzechRepublic_4Liga_GroupF;CzechRepublic_4Liga;"Ranking gap: 0.133 | Attacco casa: 2.83/gara | Difesa trasferta subisce: 2.67/gara | Over25 casa ultime10: 0.83 | Over25 trasferta ultime10: 0.67 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.60;AwayGALast5=2.80;BaseScore=75.16;FinalScore=72.16]";2.66;25.0;;;25.0;12.5;10.0;;;;2.0.defplus2
2026-09-20;Austria_Tirol;Telfs;FC Natters;71.63;MEDIA-ALTA;10;2026-09-20;Austria_Tirol;Austria_Tirol;;"Ranking gap: 0.767 | Attacco casa: 1.71/gara | Difesa trasferta subisce: 2.71/gara | Over25 casa ultime10: 0.43 | Over25 trasferta ultime10: 0.71 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=0.80;AwayGALast5=2.80;BaseScore=74.63;FinalScore=71.63]";15.34;17.14;;;25.0;6.43;10.71;;;;2.0.defplus2
2026-09-20;Norway_OBOSLigaen;Haugesund;Strømmen;71.58;MEDIA-ALTA;23;2026-09-20;Norway_OBOSLigaen;Norway_OBOSLigaen;;"Ranking gap: 0.338 | Attacco casa: 3.09/gara | Difesa trasferta subisce: 2.18/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.60 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=0.80;AwayGALast5=1.40;BaseScore=74.58;FinalScore=71.58]";6.76;25.0;;;21.82;12.0;9.0;;;;2.0.defplus2
