MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-08-30;Austria_Karnten;Launsdorf;SGA Sirnitz;93.91;IMM-ALTA-7;7;2026-08-30;Austria_Karnten;Austria_Karnten;;Ranking gap: 0.883 | Attacco casa: 2.67/gara | Difesa trasferta subisce: 2.50/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.75;17.66;25.0;;;25.0;15.0;11.25;;;;2.0.defplus3
2026-08-30;Austria_Tirol;Ebbs;Kematen;83.38;IMM-ALTA-7;6;2026-08-30;Austria_Tirol;Austria_Tirol;;Ranking gap: 0.669 | Attacco casa: 3.00/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.67;13.38;25.0;;;20.0;15.0;10.0;;;;2.0.defplus3
2026-08-30;Australia_NPL_NSW_U20;Sydney Utd U20;St George Saints U20;81.72;ALTA;31;2026-08-30;Australia_NPL_NSW_U20;Australia_NPL_NSW_U20;;"Ranking gap: 0.611 | Attacco casa: 3.14/gara | Difesa trasferta subisce: 2.72/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.70 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.60;AwayGALast5=2.20;BaseScore=84.72;FinalScore=81.72]";12.22;25.0;;;25.0;12.0;10.5;;;;2.0.defplus3
2026-08-30;Iceland_BestaDeildKarla;Fram;Akureyri;80.68;ALTA;27;2026-08-30;Iceland_BestaDeildKarla;Iceland_BestaDeildKarla;;Ranking gap: 0.534 | Attacco casa: 2.60/gara | Difesa trasferta subisce: 2.25/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.80;10.68;25.0;;;22.5;10.5;12.0;;;;2.0.defplus3
2026-08-30;Finland_Kolmonen_Eastern_Group3;Mikkelin Palloilijat 2;Kumu;79.34;ALTA;20;2026-08-30;Finland_Kolmonen_Eastern_Group3;Finland_Kolmonen_Eastern_Group3;;Ranking gap: 0.211 | Attacco casa: 2.31/gara | Difesa trasferta subisce: 3.50/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.80;4.22;23.12;;;25.0;15.0;12.0;;;;2.0.defplus3
2026-08-30;Switzerland_SuperLeague;St. Gallen;Thun;78.93;IMM-ALTA-6;6;2026-08-30;Switzerland_SuperLeague;Switzerland_SuperLeague;;Ranking gap: 0.030 | Attacco casa: 2.33/gara | Difesa trasferta subisce: 3.67/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 1.00;0.6;23.33;;;25.0;15.0;15.0;;;;2.0.defplus3
2026-08-30;Germany_Oberliga_Hamburg;Pinneberg;Niendorfer TSV;78.06;IMM-ALTA-8;6;2026-08-30;Germany_Oberliga_Hamburg;Germany_Oberliga_Hamburg;;Ranking gap: 0.028 | Attacco casa: 3.00/gara | Difesa trasferta subisce: 2.25/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 1.00;0.56;25.0;;;22.5;15.0;15.0;;;;2.0.defplus3
2026-08-30;Australia_NPL_NSW_U20;APIA Leichhardt U20;St. George City U20;76.94;ALTA;31;2026-08-30;Australia_NPL_NSW_U20;Australia_NPL_NSW_U20;;"Ranking gap: 0.585 | Attacco casa: 2.38/gara | Difesa trasferta subisce: 2.34/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.70 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=0.80;AwayGALast5=1.60;BaseScore=79.94;FinalScore=76.94]";11.7;23.79;;;23.45;10.5;10.5;;;;2.0.defplus3
2026-08-30;Germany_Oberliga_SchleswigHolstein;VfR Neumunster;Eckernforder SV;76.02;ALTA;7;2026-08-30;Germany_Oberliga_SchleswigHolstein;Germany_Oberliga_SchleswigHolstein;;"Ranking gap: 0.101 | Attacco casa: 3.00/gara | Difesa trasferta subisce: 2.80/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 1.00 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.00;AwayGALast5=2.80;BaseScore=79.02;FinalScore=76.02]";2.02;25.0;;;25.0;12.0;15.0;;;;2.0.defplus3
2026-08-30;CzechRepublic_4Liga_GroupC;Dvur Kralove;Svitavy;75.88;IMM-ALTA-6;5;2026-08-30;CzechRepublic_4Liga_GroupC;CzechRepublic_4Liga_GroupC;CzechRepublic_4Liga;Ranking gap: 0.044 | Attacco casa: 2.00/gara | Difesa trasferta subisce: 3.33/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 1.00;0.88;20.0;;;25.0;15.0;15.0;;;;2.0.defplus3
2026-08-30;Germany_Oberliga_Westfalen;Verl 2;Schermbeck 2020;75.74;IMM-ALTA-5;4;2026-08-30;Germany_Oberliga_Westfalen;Germany_Oberliga_Westfalen;;Ranking gap: 0.037 | Attacco casa: 2.00/gara | Difesa trasferta subisce: 3.00/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 1.00;0.74;20.0;;;25.0;15.0;15.0;;;;2.0.defplus3
2026-08-30;SaudiArabia_ProfessionalLeague;Al Hazem;Al Shabab;75.4;IMM-ALTA-4;4;2026-08-30;SaudiArabia_ProfessionalLeague;SaudiArabia_ProfessionalLeague;18 clubs, double round robin, 34 rounds (306 matches).;Ranking gap: 0.020 | Attacco casa: 2.00/gara | Difesa trasferta subisce: 3.00/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 1.00;0.4;20.0;;;25.0;15.0;15.0;;;;2.0.defplus3
2026-08-30;Norway_OBOSLigaen;Kongsvinger;Lyn;74.37;ALTA;20;2026-08-30;Norway_OBOSLigaen;Norway_OBOSLigaen;;"Ranking gap: 0.242 | Attacco casa: 2.58/gara | Difesa trasferta subisce: 2.05/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.90 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.40;AwayGALast5=1.80;BaseScore=77.37;FinalScore=74.37] || V20DEFPLUS_V3_PROMOTED[V20DEFScore=74.37;V22DEFScore=86.69;V25DEFScore=86.69;Thresholds=69/60/80]";4.84;25.0;;;20.53;13.5;13.5;;;;2.0.defplus3
2026-08-30;CzechRepublic_3MSFL;Unicov;Hlubina;74.25;IMM-ALTA-8;6;2026-08-30;CzechRepublic_3MSFL;CzechRepublic_3MSFL;;"Ranking gap: 0.400 | Attacco casa: 1.75/gara | Difesa trasferta subisce: 2.25/gara | Over25 casa ultime10: 0.75 | Over25 trasferta ultime10: 1.00 || V20DEFPLUS_V3_PROMOTED[V20DEFScore=74.25;V22DEFScore=90.31;V25DEFScore=90.31;Thresholds=69/60/80]";8.0;17.5;;;22.5;11.25;15.0;;;;2.0.defplus3
2026-08-30;Switzerland_PromotionLeague;Young Boys 2;Luzerna 2;74.25;IMM-ALTA-8;7;2026-08-30;Switzerland_PromotionLeague;Switzerland_PromotionLeague;;"Ranking gap: 0.400 | Attacco casa: 1.75/gara | Difesa trasferta subisce: 2.25/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.75 || V20DEFPLUS_V3_PROMOTED[V20DEFScore=74.25;V22DEFScore=89.12;V25DEFScore=89.12;Thresholds=69/60/80]";8.0;17.5;;;22.5;15.0;11.25;;;;2.0.defplus3
2026-08-30;Georgia_ErovnuliLiga;Dinamo Batumi;Spaeri;73.91;MEDIA-ALTA;4;2026-08-30;Georgia_ErovnuliLiga;Georgia_ErovnuliLiga;;Ranking gap: 0.029 | Attacco casa: 3.00/gara | Difesa trasferta subisce: 2.33/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.67;0.58;25.0;;;23.33;15.0;10.0;;;;2.0.defplus3
2026-08-30;Austria_Salzburg;Strasswalchen;Eugendorf;73.88;MEDIA-ALTA;6;2026-08-30;Austria_Salzburg;Austria_Salzburg;;Ranking gap: 0.069 | Attacco casa: 2.50/gara | Difesa trasferta subisce: 3.00/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 1.00;1.38;25.0;;;25.0;7.5;15.0;;;;2.0.defplus3
2026-08-30;Norway_2ndDivision_Group2;Rana FK;Ull/Kisa;73.69;ALTA;20;2026-08-30;Norway_2ndDivision_Group2;Norway_2ndDivision_Group2;;"Ranking gap: 0.147 | Attacco casa: 1.88/gara | Difesa trasferta subisce: 3.38/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.90 || V20DEFPLUS_V3_PROMOTED[V20DEFScore=73.69;V22DEFScore=84.95;V25DEFScore=84.95;Thresholds=69/60/80]";2.94;18.75;;;25.0;13.5;13.5;;;;2.0.defplus3
2026-08-30;Belarus_PershayaLiga;Niva Dolbizno;Osipovichi;73.41;MEDIA-ALTA;24;2026-08-30;Belarus_PershayaLiga;Belarus_PershayaLiga;;"Ranking gap: 0.342 | Attacco casa: 2.43/gara | Difesa trasferta subisce: 2.43/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.50 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.60;AwayGALast5=0.60;BaseScore=76.41;FinalScore=73.41]";6.84;24.29;;;24.29;13.5;7.5;;;;2.0.defplus3
2026-08-30;Germany_3Liga;Saarbrucken;Rostock;72.72;IMM-ALTA-4;4;2026-08-30;Germany_3Liga;Germany_3Liga;;"Ranking gap: 0.011 | Attacco casa: 3.00/gara | Difesa trasferta subisce: 2.50/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 1.00 || V20DEFPLUS_V3_PROMOTED[V20DEFScore=72.72;V22DEFScore=87.90;V25DEFScore=87.90;Thresholds=69/60/80]";0.22;25.0;;;25.0;7.5;15.0;;;;2.0.defplus3
2026-08-30;CzechRepublic_4Liga_GroupB;Sokolov;Steti;72.64;MEDIA-ALTA;5;2026-08-30;CzechRepublic_4Liga_GroupB;CzechRepublic_4Liga_GroupB;CzechRepublic_4Liga;Ranking gap: 0.007 | Attacco casa: 3.00/gara | Difesa trasferta subisce: 5.33/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 1.00;0.14;25.0;;;25.0;7.5;15.0;;;;2.0.defplus3
2026-08-30;Norway_Eliteserien;Viking;Aalesund;72.31;ALTA;26;2026-08-30;Norway_Eliteserien;Norway_Eliteserien;;"Ranking gap: 0.333 | Attacco casa: 2.35/gara | Difesa trasferta subisce: 2.41/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.70 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.00;AwayGALast5=3.80;BaseScore=75.31;FinalScore=72.31] || V20DEFPLUS_V3_PROMOTED[V20DEFScore=72.31;V22DEFScore=81.48;V25DEFScore=81.48;Thresholds=69/60/80]";6.66;23.53;;;24.12;10.5;10.5;;;;2.0.defplus3
2026-08-30;Norway_2ndDivision_Group2;Honefoss;Follo;72.25;ALTA;20;2026-08-30;Norway_2ndDivision_Group2;Norway_2ndDivision_Group2;;"Ranking gap: 0.294 | Attacco casa: 2.75/gara | Difesa trasferta subisce: 2.19/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.60 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.60;AwayGALast5=2.40;BaseScore=75.25;FinalScore=72.25] || V20DEFPLUS_V3_PROMOTED[V20DEFScore=72.25;V22DEFScore=80.75;V25DEFScore=80.75;Thresholds=69/60/80]";5.88;25.0;;;21.88;13.5;9.0;;;;2.0.defplus3
