MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-08-27;Finland_Kolmonen_Western_Group2;TP-T;FC LeKi;71.29;ALTA;17;2026-08-21;Finland_Kolmonen_Western_Group2;Finland_Kolmonen_Western_Group2;;"V20DEFSELECT_CANDIDATE || V20DEFSELECT_CANDIDATE[V20DEFScore=71.29;V20DEFBand=MEDIA-ALTA;V22DEFScore=90.47;V22DEFBand=ALTA;V25DEFScore=90.47;V25DEFBand=ALTA;MinV20DEFScore=71.00]";1.46;25.0;;;19.33;13.5;12.0;;;;2.0.defselect1
2026-08-27;Austria_Oberosterreich;ASK St.Valentin;Andorf;0.0;BASSA;4;2026-08-21;Austria_Oberosterreich;Austria_Oberosterreich;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=44.15;OriginalV20DEFBand=BASSA";0.82;10.0;;;13.33;10.0;10.0;;;;2.0.defselect1
2026-08-27;Bolivia_DivisionProfesional;Real Potosi;Tomayapo;0.0;BASSA;20;2026-08-21;Bolivia_DivisionProfesional;Bolivia_DivisionProfesional;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=47.00;OriginalV20DEFBand=MEDIA";2.5;14.0;;;20.0;6.0;7.5;;;;2.0.defselect1
2026-08-27;Bolivia_DivisionProfesional;Blooming;Real Oruro;0.0;BASSA;20;2026-08-21;Bolivia_DivisionProfesional;Bolivia_DivisionProfesional;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=53.59;OriginalV20DEFBand=MEDIA";1.76;13.33;;;25.0;3.0;13.5;;;;2.0.defselect1
2026-08-27;Bolivia_DivisionProfesional;Always Ready;Aurora;0.0;BASSA;20;2026-08-21;Bolivia_DivisionProfesional;Bolivia_DivisionProfesional;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=50.34;OriginalV20DEFBand=MEDIA";2.34;21.33;;;14.67;7.5;7.5;;;;2.0.defselect1
2026-08-27;France_National;Caen;Bastia;0.0;BASSA;4;2026-08-21;France_National;France_National;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=57.23;OriginalV20DEFBand=MEDIA";0.56;25.0;;;16.67;10.0;5.0;;;;2.0.defselect1
2026-08-27;Germany_Oberliga_Bayern_Nord;Regensburg 2;Ammerthal;0.0;BASSA;8;2026-08-21;Germany_Oberliga_Bayern_Nord;Germany_Oberliga_Bayern_Nord;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=41.89;OriginalV20DEFBand=BASSA";0.22;11.67;;;14.0;10.0;9.0;;;;2.0.defselect1
2026-08-27;Iceland_Division_2;Hviti;Fjolnir;0.0;BASSA;33;2026-08-21;Iceland_Division_2;Iceland_Division_2;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=63.75;OriginalV20DEFBand=MEDIA-ALTA";5.08;11.67;;;23.0;10.5;13.5;;;;2.0.defselect1
2026-08-27;Kazakhstan_FirstLeague;FC Batyr;Turan;0.0;BASSA;29;2026-08-21;Kazakhstan_FirstLeague;Kazakhstan_FirstLeague;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=42.45;OriginalV20DEFBand=BASSA";3.54;13.68;;;7.22;10.5;10.5;;;;2.0.defselect1
2026-08-27;Kazakhstan_FirstLeague;Kairat Almaty 2;Arys;0.0;BASSA;29;2026-08-21;Kazakhstan_FirstLeague;Kazakhstan_FirstLeague;;"V20DEFSELECT_NOT_CANDIDATE || V20DEFSELECT_CANDIDATE[V20DEFScore=73.35;V20DEFBand=MEDIA-ALTA;V22DEFScore=56.90;V22DEFBand=MEDIA;V25DEFScore=56.90;V25DEFBand=MEDIA;MinV20DEFScore=71.00]";8.32;25.0;;;20.53;12.0;10.5;;;;2.0.defselect1
