MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-09-17;Sweden_Division1_Norra;Stockholm Internazionale;Stocksund;72.39;ALTA;24;2026-09-16;Sweden_Division1_Norra;Sweden_Division1_Norra;;"V20DEFSELECT_CANDIDATE || V20DEFSELECT_CANDIDATE[V20DEFScore=72.39;V20DEFBand=MEDIA-ALTA;V22DEFScore=77.39;V22DEFBand=ALTA;V25DEFScore=77.39;V25DEFBand=ALTA;MinV20DEFScore=71.00]";9.22;22.86;;;23.81;9.0;10.5;;;;2.0.defselect1
2026-09-17;Azerbaijan_FirstLeague;Baku Sporting;Sabail;0.0;BASSA;3;2026-09-16;Azerbaijan_FirstLeague;Azerbaijan_FirstLeague;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=33.40;OriginalV20DEFBand=BASSA";0.9;0.0;;;10.0;15.0;7.5;;;;2.0.defselect1
2026-09-17;Azerbaijan_FirstLeague;Shimal;Sahdag Qusar;0.0;BASSA;3;2026-09-16;Azerbaijan_FirstLeague;Azerbaijan_FirstLeague;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=18.48;OriginalV20DEFBand=BASSA";0.98;10.0;;;0.0;7.5;0.0;;;;2.0.defselect1
2026-09-17;Bolivia_DivisionProfesional;Nacional Potosi;Always Ready;0.0;BASSA;25;2026-09-16;Bolivia_DivisionProfesional;Bolivia_DivisionProfesional;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=42.51;OriginalV20DEFBand=BASSA";3.38;15.79;;;6.84;10.5;9.0;;;;2.0.defselect1
2026-09-17;Bolivia_DivisionProfesional;Blooming;Universitario de Vinto;0.0;BASSA;25;2026-09-16;Bolivia_DivisionProfesional;Bolivia_DivisionProfesional;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=47.30;OriginalV20DEFBand=MEDIA";3.04;15.26;;;20.0;4.5;7.5;;;;2.0.defselect1
2026-09-17;Estonia_Meistriliiga;Levadia;Tammeka;0.0;BASSA;32;2026-09-16;Estonia_Meistriliiga;Estonia_Meistriliiga;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=58.55;OriginalV20DEFBand=MEDIA";4.7;25.0;;;13.85;10.5;7.5;;;;2.0.defselect1
2026-09-17;Estonia_Esiliiga;Viimsi JK;Tartu Welco;0.0;BASSA;34;2026-09-16;Estonia_Esiliiga;Estonia_Esiliiga;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=57.52;OriginalV20DEFBand=MEDIA";2.3;20.77;;;13.45;13.5;10.5;;;;2.0.defselect1
2026-09-17;France_National;Bastia;Cannes;0.0;BASSA;7;2026-09-16;France_National;France_National;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=16.49;OriginalV20DEFBand=BASSA";0.32;8.33;;;3.33;5.0;2.5;;;;2.0.defselect1
2026-09-17;Georgia_ErovnuliLiga;Iberia 1999;Dila Gori;0.0;BASSA;9;2026-09-16;Georgia_ErovnuliLiga;Georgia_ErovnuliLiga;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=39.66;OriginalV20DEFBand=BASSA";0.66;12.0;;;12.0;6.0;12.0;;;;2.0.defselect1
2026-09-17;Germany_Oberliga_RheinlandPfalzSaar;Gonsenheim;Schott Mainz;0.0;BASSA;11;2026-09-16;Germany_Oberliga_RheinlandPfalzSaar;Germany_Oberliga_RheinlandPfalzSaar;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=56.22;OriginalV20DEFBand=MEDIA";1.36;23.75;;;10.0;11.25;12.86;;;;2.0.defselect1
2026-09-17;England_LeagueOne;Wimbledon;Milton Keynes;0.0;BASSA;7;2026-09-16;England_LeagueOne;England_LeagueOne;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=40.72;OriginalV20DEFBand=BASSA";0.72;10.0;;;18.0;6.0;9.0;;;;2.0.defselect1
2026-09-17;Iceland_BestaDeildKvenna;Breidablik D;Grindavik/Njardvik D;0.0;BASSA;21;2026-09-16;Iceland_BestaDeildKvenna;Iceland_BestaDeildKvenna;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=66.11;OriginalV20DEFBand=MEDIA-ALTA";7.78;25.0;;;18.33;9.0;9.0;;;;2.0.defselect1
2026-09-17;Italy_SerieC_GironeA;AlbinoLeffe;Arzignano;0.0;BASSA;5;2026-09-16;Italy_SerieC_GironeA;Italy_SerieC_GironeA;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=30.10;OriginalV20DEFBand=BASSA";0.1;3.33;;;16.67;0.0;10.0;;;;2.0.defselect1
2026-09-17;Italy_SerieC_GironeA;Cittadella;Juventus U23;0.0;BASSA;5;2026-09-16;Italy_SerieC_GironeA;Italy_SerieC_GironeA;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=57.65;OriginalV20DEFBand=MEDIA";0.98;16.67;;;20.0;10.0;10.0;;;;2.0.defselect1
2026-09-17;Italy_SerieC_GironeA;Desenzano;Lecco;0.0;BASSA;5;2026-09-16;Italy_SerieC_GironeA;Italy_SerieC_GironeA;;"V20DEFSELECT_NOT_CANDIDATE || OriginalV20DEFScore=18.22;OriginalV20DEFBand=BASSA";0.3;7.5;;;6.67;3.75;0.0;;;;2.0.defselect1
