MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-09-26;Germany_Oberliga_Niedersachsen;Lohne;Hemmingen;74.89;ALTA;9;2026-09-26;Germany_Oberliga_Niedersachsen;Germany_Oberliga_Niedersachsen;;"V20SELECT_CANDIDATE || V20PLUS_CANDIDATE[V20Score=74.89;V20Band=MEDIA-ALTA;V22Score=87.55;V22Band=ALTA;V25Score=87.55;V25Band=ALTA;MinV20Score=71.00]";0.6;21.43;;;25.0;12.86;15.0;;;;2.0.select1
2026-09-26;Norway_3rdDivision_Group2;Strindheim;Molde 2;74.57;ALTA;24;2026-09-26;Norway_3rdDivision_Group2;Norway_3rdDivision_Group2;;"V20SELECT_CANDIDATE || V20PLUS_CANDIDATE[V20Score=74.57;V20Band=MEDIA-ALTA;V22Score=87.00;V22Band=ALTA;V25Score=87.00;V25Band=ALTA;MinV20Score=71.00]";3.26;23.81;;;25.0;9.0;13.5;;;;2.0.select1
2026-09-26;Norway_3rdDivision_Group3;Djerv 1919;Sogndal 2;74.28;ALTA;23;2026-09-26;Norway_3rdDivision_Group3;Norway_3rdDivision_Group3;;"V20SELECT_CANDIDATE || V20PLUS_CANDIDATE[V20Score=74.28;V20Band=MEDIA-ALTA;V22Score=84.96;V22Band=ALTA;V25Score=84.96;V25Band=ALTA;MinV20Score=71.00]";4.78;25.0;;;20.5;13.5;10.5;;;;2.0.select1
2026-09-26;Wales_CymruPremier;Cardiff Metropolitan;Caernarfon;74.24;ALTA;11;2026-09-26;Wales_CymruPremier;Wales_CymruPremier;;"V20SELECT_CANDIDATE || V20PLUS_CANDIDATE[V20Score=74.24;V20Band=MEDIA-ALTA;V22Score=78.73;V22Band=ALTA;V25Score=78.73;V25Band=ALTA;MinV20Score=71.00]";13.8;21.11;;;19.0;8.33;12.0;;;;2.0.select1
2026-09-26;Norway_3rdDivision_Group4;Mandalskameratene;Odd 2;74.2;ALTA;24;2026-09-26;Norway_3rdDivision_Group4;Norway_3rdDivision_Group4;;"V20SELECT_CANDIDATE || V20PLUS_CANDIDATE[V20Score=74.20;V20Band=MEDIA-ALTA;V22Score=84.79;V22Band=ALTA;V25Score=84.79;V25Band=ALTA;MinV20Score=71.00]";6.2;23.0;;;22.5;10.5;12.0;;;;2.0.select1
2026-09-26;CzechRepublic_4Liga_GroupB;Velvary;Brandys n. Labem;73.65;ALTA;9;2026-09-26;CzechRepublic_4Liga_GroupB;CzechRepublic_4Liga_GroupB;CzechRepublic_4Liga;"V20SELECT_CANDIDATE || V20PLUS_CANDIDATE[V20Score=73.65;V20Band=MEDIA-ALTA;V22Score=98.72;V22Band=ALTA;V25Score=98.72;V25Band=ALTA;MinV20Score=71.00]";2.22;18.57;;;25.0;12.86;15.0;;;;2.0.select1
2026-09-26;Norway_2ndDivision_Group2;Kjelsaas;Follo;73.22;ALTA;26;2026-09-26;Norway_2ndDivision_Group2;Norway_2ndDivision_Group2;;"V20SELECT_CANDIDATE || V20PLUS_CANDIDATE[V20Score=73.22;V20Band=MEDIA-ALTA;V22Score=78.48;V22Band=ALTA;V25Score=78.48;V25Band=ALTA;MinV20Score=71.00]";9.36;22.86;;;21.5;10.5;9.0;;;;2.0.select1
2026-09-26;Norway_3rdDivision_Group6;Oppsal;Brumunddal;73.08;ALTA;22;2026-09-26;Norway_3rdDivision_Group6;Norway_3rdDivision_Group6;;"V20SELECT_CANDIDATE || V20PLUS_CANDIDATE[V20Score=73.08;V20Band=MEDIA-ALTA;V22Score=78.98;V22Band=ALTA;V25Score=78.98;V25Band=ALTA;MinV20Score=71.00]";6.46;17.62;;;25.0;10.5;13.5;;;;2.0.select1
2026-09-26;CzechRepublic_4Liga_GroupE;Sternberk;Bzenec-Vracov;72.93;ALTA;8;2026-09-26;CzechRepublic_4Liga_GroupE;CzechRepublic_4Liga_GroupE;CzechRepublic_4Liga;"V20SELECT_CANDIDATE || V20PLUS_CANDIDATE[V20Score=72.93;V20Band=MEDIA-ALTA;V22Score=91.55;V22Band=ALTA;V25Score=91.55;V25Band=ALTA;MinV20Score=71.00]";2.22;20.0;;;25.0;10.71;15.0;;;;2.0.select1
2026-09-26;Austria_Karnten;Nussdorf;Kottmannsdorf;72.67;ALTA;11;2026-09-26;Austria_Karnten;Austria_Karnten;;"V20SELECT_CANDIDATE || V20PLUS_CANDIDATE[V20Score=72.67;V20Band=MEDIA-ALTA;V22Score=76.29;V22Band=ALTA;V25Score=76.29;V25Band=ALTA;MinV20Score=71.00]";13.3;6.25;;;25.0;15.0;13.12;;;;2.0.select1
