LeagueId;Home;Away;Score;Band;Round;Reason;Match;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent
Iceland_BestaDeildKarla;Thor Akureyri;KR Reykjavik;88.73;ALTA;18;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;Thor Akureyri - KR Reykjavik;7.27;5.42;14.0;7.2;10.8
Finland_Kakkonen_GroupA;PPJ;Kiffen;79.46;ALTA;11;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;PPJ - Kiffen;1.78;12.41;10.82;8.4;9.6
Iceland_BestaDeildKarla;Vikingur Reykjavik;Akureyri;77.86;ALTA;18;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;Vikingur Reykjavik - Akureyri;6.55;13.0;13.26;9.6;7.2
USA_USLLeagueTwo_SouthCentral;Birmingham 2;Columbus United;72.09;MEDIA;19;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, alta tendenza BTTS;Birmingham 2 - Columbus United;4.0;7.22;12.73;8.0;6.67
Finland_Kakkonen_GroupB;EBK;Abo;71.91;MEDIA;11;buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, alta tendenza BTTS;EBK - Abo;5.33;7.22;5.73;8.0;7.2
Estonia_Meistriliiga;Kuressaare;Flora;69.72;MEDIA;18;buon attacco trasferta, difesa casa vulnerabile, trend over recente trasferta, buon profilo over esterno;Kuressaare - Flora;6.22;5.91;7.16;4.8;10.8
Lithuania_ILyga;Zalgiris 2;Hegelmann Litauen 2;69.05;MEDIA;17;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno;Zalgiris 2 - Hegelmann Litauen 2;1.07;7.6;13.18;9.6;7.2
Finland_Ykkonen;Jazz Pori;KPV;68.92;MEDIA;14;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente trasferta, buon profilo over esterno;Jazz Pori - KPV;3.64;6.89;14.0;4.8;10.8
Lithuania_ILyga;BFA Vilnius;Ekranas;68.35;MEDIA;17;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over esterno;BFA Vilnius - Ekranas;2.13;6.36;11.82;8.4;9.6
Norway_OBOSLigaen;Lyn;Åsane;63.26;MEDIA;14;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, buon profilo over interno;Lyn - Åsane;1.6;5.0;11.75;8.4;6.0
Estonia_Esiliiga;Tartu Welco;Viimsi JK;63.12;MEDIA;19;buon attacco casa, buon attacco trasferta, trend over recente casa, buon profilo over interno;Tartu Welco - Viimsi JK;1.78;13.0;4.9;7.2;3.6
Belarus_VysshayaLiga;FC Minsk;Din. Minsk;62.58;MEDIA;15;buon attacco casa, buon attacco trasferta, trend over recente casa, trend over recente trasferta, alta tendenza BTTS;FC Minsk - Din. Minsk;2.67;8.64;5.87;7.2;7.2
Belarus_VysshayaLiga;BATE;Gomel;51.29;BASSA;15;buon attacco trasferta, buon profilo over interno;BATE - Gomel;5.33;4.09;5.83;4.8;4.8
