MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-09-15;Estonia_EsiliigaB;Narva U21;Tammeka U21;88.43;ALTA;30;2026-09-15;Estonia_EsiliigaB;Estonia_EsiliigaB;;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;4.44;13.0;13.0;5.72;13.46;7.2;10.8;6.29;6.55;7.97;2.1.0
2026-09-15;Estonia_EsiliigaB;Levadia U19;Tulevik;88.1;ALTA;30;2026-09-15;Estonia_EsiliigaB;Estonia_EsiliigaB;;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;4.44;13.0;13.0;7.91;12.97;8.4;8.4;5.14;7.33;7.5;2.1.0
2026-09-15;Netherlands_EersteDivisie;Jong PSV;Jong AZ;87.39;ALTA;8;2026-09-15;Netherlands_EersteDivisie;Netherlands_EersteDivisie;;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;1.68;10.13;13.0;7.79;13.64;8.57;10.29;4.0;8.0;10.29;2.1.0
2026-09-15;Netherlands_Eredivisie;Ajax;Willem 2;83.61;ALTA;8;2026-09-15;Netherlands_Eredivisie;Netherlands_Eredivisie;;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, alta tendenza BTTS;5.65;13.0;5.91;5.45;14.0;9.6;9.6;8.0;4.0;8.4;2.1.0
2026-09-15;England_Championship;Middlesbrough;Millwall;83.42;ALTA;8;2026-09-15;England_Championship;England_Championship;;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;4.17;13.0;9.45;5.45;14.0;7.2;9.6;8.0;5.33;7.2;2.1.0
2026-09-15;Netherlands_EersteDivisie;Jong Utrecht;Jong Ajax;78.47;ALTA;8;2026-09-15;Netherlands_EersteDivisie;Netherlands_EersteDivisie;;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, buon profilo over interno, alta tendenza BTTS;1.68;6.75;10.13;10.0;14.0;10.29;6.86;5.33;4.0;9.43;2.1.0
2026-09-15;Portugal_LigaPortugal;Rio Ave;Estrela;76.32;ALTA;9;2026-09-15;Portugal_LigaPortugal;Portugal_LigaPortugal;;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente trasferta, buon profilo over esterno;4.71;2.36;13.0;10.0;11.45;4.8;12.0;4.0;8.0;6.0;2.1.0
2026-09-15;Italy_SerieC_GironeC;Barletta;Salernitana;75.7;IMM-ALTA-7;5;2026-09-15;Italy_SerieC_GironeC;Italy_SerieC_GironeC;;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, buon profilo over interno, alta tendenza BTTS;0.42;11.82;10.34;7.58;9.55;12.0;6.0;8.0;0.0;10.0;2.1.0
2026-09-15;Portugal_LigaPortugal;Moreirense;Maritimo;75.55;ALTA;9;2026-09-15;Portugal_LigaPortugal;Portugal_LigaPortugal;;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;2.35;4.73;7.09;10.0;10.18;9.6;9.6;8.0;8.0;6.0;2.1.0
2026-09-15;Italy_SerieC_GironeC;Casarano;Audace Cerignola;74.36;MEDIA;5;2026-09-15;Italy_SerieC_GironeC;Italy_SerieC_GironeC;;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno;0.42;13.0;13.0;7.58;6.36;8.0;8.0;8.0;4.0;6.0;2.1.0
2026-09-15;USA_USLLeagueOne;Portland Hearts of Pine;AV Alta;71.72;MEDIA;38;2026-09-15;USA_USLLeagueOne;USA_USLLeagueOne;;buon attacco casa, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;2.0;8.64;7.73;8.57;8.81;8.4;8.4;5.54;5.33;8.31;2.1.0
2026-09-15;Italy_SerieC_GironeC;Picerno;Catania;71.27;MEDIA;5;2026-09-15;Italy_SerieC_GironeC;Italy_SerieC_GironeC;;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente trasferta, buon profilo over interno;6.32;13.0;8.86;4.55;9.55;6.0;9.0;8.0;0.0;6.0;2.1.0
2026-09-15;Spain_LaLiga;Villarreal;Betis;70.47;MEDIA;8;2026-09-15;Spain_LaLiga;Spain_LaLiga;;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, buon profilo over interno;2.53;8.86;7.88;9.09;10.61;9.0;4.0;8.0;4.0;6.5;2.1.0
2026-09-15;Italy_SerieC_GironeC;Casertana;Altamura;69.05;MEDIA;5;2026-09-15;Italy_SerieC_GironeC;Italy_SerieC_GironeC;;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, buon profilo over interno, alta tendenza BTTS;5.47;13.0;2.95;7.58;9.55;12.0;3.0;8.0;0.0;7.5;2.1.0
