MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-09-17;Finland_Kolmonen_Southern_Group2;Töölön Taisto;HPS/2;92.62;ALTA;22;2026-09-16;Finland_Kolmonen_Southern_Group2;Finland_Kolmonen_Southern_Group2;;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;0.73;12.13;13.0;9.81;14.0;7.2;12.0;5.33;8.0;10.42;2.1.0
2026-09-17;Finland_Kolmonen_Western_Group2;FC Lasten;TP-49;90.53;ALTA;22;2026-09-16;Finland_Kolmonen_Western_Group2;Finland_Kolmonen_Western_Group2;;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;8.0;13.0;6.22;5.02;14.0;9.6;12.0;8.0;7.11;7.58;2.1.0
2026-09-17;Norway_3rdDivision_Group3;Stord;Djerv 1919;86.36;ALTA;22;2026-09-16;Norway_3rdDivision_Group3;Norway_3rdDivision_Group3;;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;4.92;10.64;13.0;10.0;8.71;7.2;10.8;6.22;5.33;9.54;2.1.0
2026-09-17;Finland_Kolmonen_Southern_Group1;HooGee;Etelä-Espoon Pallo;82.32;ALTA;20;2026-09-16;Finland_Kolmonen_Southern_Group1;Finland_Kolmonen_Southern_Group1;;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;6.55;10.93;13.0;10.0;7.03;9.6;6.0;6.22;5.33;7.66;2.1.0
2026-09-17;Germany_Oberliga_RheinlandPfalzSaar;Gonsenheim;Schott Mainz;82.28;ALTA;11;2026-09-16;Germany_Oberliga_RheinlandPfalzSaar;Germany_Oberliga_RheinlandPfalzSaar;;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;3.76;13.0;13.0;7.39;6.36;9.0;10.29;6.0;5.33;8.14;2.1.0
2026-09-17;Sweden_Division1_Norra;Stockholm Internazionale;Stocksund;81.84;ALTA;24;2026-09-16;Sweden_Division1_Norra;Sweden_Division1_Norra;;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over esterno;8.0;13.0;11.54;3.68;14.0;7.2;8.4;4.36;4.8;6.86;2.1.0
2026-09-17;Finland_Kolmonen_North;KePS;Santa Claus;80.16;ALTA;21;2026-09-16;Finland_Kolmonen_North;Finland_Kolmonen_North;;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over esterno;5.33;13.0;6.75;5.76;14.0;8.4;10.8;3.43;6.86;5.83;2.1.0
2026-09-17;Finland_Kolmonen_Western_Group3;NIK;Larsmo Bollklubb;80.07;ALTA;16;2026-09-16;Finland_Kolmonen_Western_Group3;Finland_Kolmonen_Western_Group3;;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;0.8;8.54;8.54;10.0;14.0;9.6;9.6;5.33;5.33;8.33;2.1.0
2026-09-17;Sweden_Division1_Norra;Assyriska FF;AFC Eskilstuna;78.1;ALTA;24;2026-09-16;Sweden_Division1_Norra;Sweden_Division1_Norra;;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;3.2;10.21;10.74;7.23;8.1;8.4;8.4;8.0;7.27;6.55;2.1.0
2026-09-17;Estonia_Esiliiga;Viimsi JK;Tartu Welco;77.11;ALTA;34;2026-09-16;Estonia_Esiliiga;Estonia_Esiliiga;;buon attacco casa, buon attacco trasferta, trend over recente casa, trend over recente trasferta, buon profilo over interno;1.78;12.27;13.0;4.72;8.56;10.8;8.4;6.15;4.27;7.16;2.1.0
