PredictionDate;AlgorithmVersion;LeagueId;Round;Home;Away;Match;Score;Band;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;HG;AG;Goals;Over25;BTTS
2026-07-06;2.1.0;Australia_NPLACT_2026;17;Monaro Panthers;Queanbeyan City;Monaro Panthers - Queanbeyan City;88.67;ALTA;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;3.56;13.0;13.0;6.82;9.02;10.8;9.6;6.67;8.0;8.21;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_GreatForest_2026;24;Lorain County Leviathan;Erie Sports Center;Lorain County Leviathan - Erie Sports Center;87.52;ALTA;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;4.0;13.0;3.76;8.64;14.0;10.8;12.0;8.0;6.4;6.93;;;;;
2026-07-06;2.1.0;Finland_Kakkonen_GroupC_2026;13;JBK;Narpes Kraft;JBK - Narpes Kraft;85.65;ALTA;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;2.67;9.45;13.0;6.36;13.36;8.4;10.8;6.4;8.0;7.2;;;;;
2026-07-06;2.1.0;Australia_NPLNorthernNSW_2026;19;Charlestown Azzurri;Weston Bears;Charlestown Azzurri - Weston Bears;85.49;ALTA;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;5.82;8.86;11.45;10.0;10.74;10.8;7.2;6.0;6.0;8.62;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_Northeast_2026;28;Black Rock;Seacoast Utd Phantoms;Black Rock - Seacoast Utd Phantoms;84.27;ALTA;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;2.67;9.67;10.74;5.37;14.0;8.4;9.6;6.0;8.0;9.82;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_LoneStar_2026;25;Lonestar SC;Hill Country Lobos;Lonestar SC - Hill Country Lobos;82.65;ALTA;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;3.0;11.28;10.21;7.44;14.0;7.2;9.6;4.8;6.4;8.73;;;;;
2026-07-06;2.1.0;Australia_NPLQueensland_2026;18;Gold Coast Knights;Queensland Lions;Gold Coast Knights - Queensland Lions;81.5;ALTA;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;1.45;13.0;13.0;7.27;7.16;8.4;8.4;6.67;8.0;8.15;;;;;
2026-07-06;2.1.0;Kyrgyzstan_PremierLiga_2026;15;Asia Talas;Abdysh-Ata;Asia Talas - Abdysh-Ata;80.97;ALTA;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, alta tendenza BTTS;5.87;13.0;5.06;8.44;10.45;10.8;7.2;8.0;4.0;8.14;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_Heartland_2026;23;Rochester FC;Minneapolis City;Rochester FC - Minneapolis City;78.2;ALTA;buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;7.0;5.25;13.0;10.0;3.82;10.67;10.8;6.0;6.0;5.67;;;;;
2026-07-06;2.1.0;USA_USLLeagueTwo_Valley_2026;23;Kings Hammer Columbus;Dayton;Kings Hammer Columbus - Dayton;68.28;MEDIA;difesa trasferta vulnerabile, trend over recente casa, buon profilo over interno;1.6;8.27;7.22;6.36;12.02;7.2;6.67;8.0;4.0;6.93;;;;;
