MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-08-30;CzechRepublic_4Liga_GroupC;Dvur Kralove;Svitavy;100.79;IMM-ALTA-6;5;2026-08-30;CzechRepublic_4Liga_GroupC;CzechRepublic_4Liga_GroupC;CzechRepublic_4Liga;PRO: attacco casa positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico;8.0;11.82;7.88;9.09;14.0;12.0;12.0;8.0;8.0;10.0;2.1-dev
2026-08-30;Netherlands_Eredivisie;Utrecht;PSV;99.45;IMM-ALTA-6;5;2026-08-30;Netherlands_Eredivisie;Netherlands_Eredivisie;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;6.12;9.85;13.0;10.0;8.48;12.0;12.0;8.0;8.0;12.0;2.1-dev
2026-08-30;Switzerland_SuperLeague;St. Gallen;Thun;98.79;IMM-ALTA-6;6;2026-08-30;Switzerland_SuperLeague;Switzerland_SuperLeague;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;4.36;13.0;9.85;7.58;14.0;12.0;12.0;8.0;8.0;10.0;2.1-dev
2026-08-30;Germany_Oberliga_Hamburg;Pinneberg;Niendorfer TSV;98.64;IMM-ALTA-8;6;2026-08-30;Germany_Oberliga_Hamburg;Germany_Oberliga_Hamburg;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;2.82;13.0;13.0;6.82;14.0;12.0;12.0;8.0;8.0;9.0;2.1-dev
2026-08-30;Netherlands_EersteDivisie;Eindhoven;Heracles;97.05;IMM-ALTA-6;5;2026-08-30;Netherlands_EersteDivisie;Netherlands_EersteDivisie;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;5.47;9.85;13.0;10.0;12.73;8.0;12.0;8.0;8.0;10.0;2.1-dev
2026-08-30;Germany_2Bundesliga;Magdeburg;Kiel;96.78;IMM-ALTA-4;4;2026-08-30;Germany_2Bundesliga;Germany_2Bundesliga;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.41;11.82;11.82;10.0;12.73;12.0;12.0;8.0;8.0;9.0;2.1-dev
2026-08-30;CzechRepublic_4Liga_GroupC;Turnov;Vysoke Myto;96.48;IMM-ALTA-6;5;2026-08-30;CzechRepublic_4Liga_GroupC;CzechRepublic_4Liga_GroupC;CzechRepublic_4Liga;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;8.0;13.0;13.0;10.0;8.48;12.0;8.0;8.0;8.0;8.0;2.1-dev
2026-08-30;Germany_Regionalliga_Nord;Amburgo 2;Norderstedt;95.83;IMM-ALTA-9;8;2026-08-30;Germany_Regionalliga_Nord;Germany_Regionalliga_Nord;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | alta tendenza BTTS || CONTRO: profilo over esterno debole;1.41;11.82;13.0;10.0;14.0;12.0;9.6;8.0;4.0;12.0;2.1-dev
2026-08-30;Austria_Karnten;Launsdorf;SGA Sirnitz;95.82;IMM-ALTA-7;7;2026-08-30;Austria_Karnten;Austria_Karnten;;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;4.92;13.0;10.34;6.06;14.0;12.0;9.0;8.0;8.0;10.5;2.1-dev
2026-08-30;Norway_3rdDivision_Group5;Finnsnes;Lillestrom 2;94.32;ALTA;18;2026-08-30;Norway_3rdDivision_Group5;Norway_3rdDivision_Group5;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;3.08;12.56;13.0;6.53;14.0;8.4;12.0;7.0;8.0;9.75;2.1-dev
2026-08-30;Norway_3rdDivision_Group3;V. Haugesund;OS;92.72;ALTA;18;2026-08-30;Norway_3rdDivision_Group3;Norway_3rdDivision_Group3;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;3.08;12.56;13.0;8.52;11.53;8.4;12.0;8.0;7.0;8.62;2.1-dev
2026-08-30;Norway_3rdDivision_Group5;Harstad;Floya;92.63;ALTA;18;2026-08-30;Norway_3rdDivision_Group5;Norway_3rdDivision_Group5;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.23;13.0;13.0;7.67;9.94;10.8;12.0;6.86;8.0;10.12;2.1-dev
2026-08-30;CzechRepublic_4Liga_GroupD;Tasovice;Bedrichov;92.45;IMM-ALTA-5;5;2026-08-30;CzechRepublic_4Liga_GroupD;CzechRepublic_4Liga_GroupD;CzechRepublic_4Liga;PRO: attacco casa positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico;8.0;13.0;5.91;6.82;12.73;12.0;8.0;8.0;8.0;10.0;2.1-dev
2026-08-30;Germany_Oberliga_SchleswigHolstein;VfR Neumunster;Eckernforder SV;92.32;ALTA;7;2026-08-30;Germany_Oberliga_SchleswigHolstein;Germany_Oberliga_SchleswigHolstein;;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: profilo over interno debole;6.93;13.0;10.64;4.55;14.0;9.6;12.0;4.0;8.0;9.6;2.1-dev
2026-08-30;Belgium_JupilerProLeague;Anversa;St. Truiden;91.94;IMM-ALTA-5;5;2026-08-30;Belgium_JupilerProLeague;Belgium_JupilerProLeague;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: trend over trasferta non forte;2.82;13.0;11.82;7.58;12.73;12.0;6.0;8.0;8.0;10.0;2.1-dev
2026-08-30;CzechRepublic_3MSFL;Unicov;Hlubina;91.75;IMM-ALTA-8;6;2026-08-30;CzechRepublic_3MSFL;CzechRepublic_3MSFL;;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.23;10.34;13.0;5.68;14.0;9.0;12.0;8.0;8.0;10.5;2.1-dev
2026-08-30;Estonia_EsiliigaB;Tallinna Kalev U21;Tulevik;91.65;ALTA;27;2026-08-30;Estonia_EsiliigaB;Estonia_EsiliigaB;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.78;12.08;13.0;10.0;13.28;9.6;8.4;6.4;7.2;9.91;2.1-dev
