MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-09-21;Norway_3rdDivision_Group6;Lyn 2;Sarpsborg 08 2;94.6;ALTA;22;2026-09-21;Norway_3rdDivision_Group6;Norway_3rdDivision_Group6;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.85;13.0;13.0;10.0;14.0;9.6;10.8;7.11;6.4;8.84;2.1-dev
2026-09-21;Norway_3rdDivision_Group4;Madla IL;Haugesund 2;94.49;ALTA;24;2026-09-21;Norway_3rdDivision_Group4;Norway_3rdDivision_Group4;;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;6.77;13.0;11.2;5.98;14.0;9.6;12.0;6.22;7.2;8.53;2.1-dev
2026-09-21;Norway_3rdDivision_Group4;Odd 2;Stabaek 2;93.01;ALTA;24;2026-09-21;Norway_3rdDivision_Group4;Norway_3rdDivision_Group4;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.85;10.89;12.75;10.0;14.0;10.8;8.4;7.11;7.11;10.11;2.1-dev
2026-09-21;Norway_3rdDivision_Group2;Nardo;Ranheim 2;92.67;ALTA;24;2026-09-21;Norway_3rdDivision_Group2;Norway_3rdDivision_Group2;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.23;12.44;13.0;10.0;14.0;9.6;10.8;5.33;7.11;9.16;2.1-dev
2026-09-21;Norway_3rdDivision_Group5;Alta;Strømsgodset 2;91.73;ALTA;23;2026-09-21;Norway_3rdDivision_Group5;Norway_3rdDivision_Group5;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;3.69;13.0;12.13;6.7;14.0;9.6;9.6;7.11;8.0;7.89;2.1-dev
2026-09-21;Norway_3rdDivision_Group1;K. Oslo 2;Ready;91.67;ALTA;25;2026-09-21;Norway_3rdDivision_Group1;Norway_3rdDivision_Group1;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;3.08;11.82;13.0;10.0;12.73;10.8;9.6;7.11;5.33;8.2;2.1-dev
2026-09-21;Norway_3rdDivision_Group6;Brumunddal;Sandefjord 2;88.08;ALTA;22;2026-09-21;Norway_3rdDivision_Group6;Norway_3rdDivision_Group6;;PRO: attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante;1.85;7.15;13.0;10.0;13.73;10.8;9.6;7.2;6.22;8.53;2.1-dev
2026-09-21;Armenia_FirstLeague;Andranik;Lernayin Artsakh;87.93;ALTA;10;2026-09-21;Armenia_FirstLeague;Armenia_FirstLeague;seconda divisione armena;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: BTTS non elevato;1.6;13.0;13.0;4.55;13.79;10.0;10.0;8.0;8.0;6.0;2.1-dev
2026-09-21;Norway_3rdDivision_Group5;Tromsø 2;Kongsvinger 2;87.79;ALTA;23;2026-09-21;Norway_3rdDivision_Group5;Norway_3rdDivision_Group5;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.23;9.95;11.2;9.81;14.0;9.6;10.8;5.33;6.4;9.47;2.1-dev
2026-09-21;Estonia_EsiliigaB;Levadia U19;Tammeka U21;87.74;ALTA;31;2026-09-21;Estonia_EsiliigaB;Estonia_EsiliigaB;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;2.67;13.0;13.0;8.44;13.2;8.4;9.6;5.33;6.0;8.1;2.1-dev
