LeagueId;Home;Away;Score;Band;Round;HG;AG;Goals;Over25;BTTS;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion;Match
USA_USLLeagueTwo_Chesapeake;Christos;Loudoun 2;91.33;ALTA;26;;;;;;2026-07-06;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.6;11.33;13.0;10.0;14.0;9.6;10.8;5.33;6.67;9.0;2.1-dev;Christos - Loudoun 2
USA_USLLeagueTwo_NorCal;San Francisco City;Academica SC;85.48;ALTA;27;;;;;;2026-07-06;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;4.57;13.0;12.36;5.79;14.0;8.4;9.6;4.8;5.33;7.64;2.1-dev;San Francisco City - Academica SC
USA_USLLeagueTwo_GreatLakes;Lansing City;Flint City;84.26;ALTA;22;;;;;;2026-07-06;PRO: attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante;8.0;6.5;13.0;10.0;6.36;9.6;9.6;6.4;6.4;8.4;2.1-dev;Lansing City - Flint City
USA_USLLeagueTwo_Metropolitan;Ironbound SC;Staten Island ASC;83.56;ALTA;25;;;;;;2026-07-06;PRO: attacco casa positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico | profilo over interno debole;5.33;13.0;8.27;5.56;14.0;8.0;10.8;4.0;6.4;8.2;2.1-dev;Ironbound SC - Staten Island ASC
USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;Orlando City B;81.9;ALTA;18;;;;;;2026-07-06;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: profilo over interno debole;1.14;13.0;13.0;6.06;11.26;7.2;10.8;4.0;6.4;9.04;2.1-dev;Crown Legacy - Orlando City B
Sweden_Allsvenskan;Hacken;Djurgarden;81.45;ALTA;17;;;;;;2026-07-06;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;4.27;11.82;12.47;6.36;9.19;7.2;8.0;8.0;5.33;8.8;2.1-dev;Hacken - Djurgarden
USA_MLSNextPro_WesternConference_PacificDivision;Los Angeles FC 2;Real Monarchs;80.25;ALTA;19;;;;;;2026-07-06;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;5.33;10.83;9.09;7.58;11.26;8.4;7.2;5.0;6.4;9.15;2.1-dev;Los Angeles FC 2 - Real Monarchs
Iceland_BestaDeildKarla;Keflavik;Fram;79.05;ALTA;19;;;;;;2026-07-06;PRO: attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | alta tendenza BTTS || CONTRO: attacco casa non dominante | profilo over interno debole | profilo over esterno debole;3.64;8.37;13.0;8.71;12.73;7.2;8.4;4.0;4.0;9.0;2.1-dev;Keflavik - Fram
USA_USLLeagueTwo_Northwest;Bigfoot;Portland Bangers;77.62;ALTA;32;;;;;;2026-07-06;PRO: attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: attacco casa non dominante | BTTS non elevato;5.71;7.52;9.85;10.0;9.02;9.6;7.2;6.0;6.4;6.32;2.1-dev;Bigfoot - Portland Bangers
USA_USLLeagueTwo_NorCal;Marin;Glens SC;75.7;ALTA;27;;;;;;2026-07-06;PRO: attacco casa positivo | difesa casa vulnerabile | trend over recente casa | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico | trend over trasferta non forte;3.43;11.82;6.45;10.0;8.1;10.8;6.0;6.67;4.8;7.64;2.1-dev;Marin - Glens SC
USA_USLLeagueTwo_SouthCentral;East Atlanta;Birmingham 2;74.84;MEDIA;20;;;;;;2026-07-06;PRO: difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | ospite poco prolifico;1.33;7.22;7.09;9.6;12.73;8.0;7.2;6.4;6.4;8.87;2.1-dev;East Atlanta - Birmingham 2
USA_USLLeagueOne;AV Alta;Charlotte Independ.;71.96;MEDIA;22;;;;;;2026-07-06;PRO: attacco casa positivo | attacco trasferta positivo | trend over recente casa | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: profilo over interno debole;0.5;8.67;13.0;5.15;8.32;7.2;9.6;4.44;6.86;8.22;2.1-dev;AV Alta - Charlotte Independ.
USA_USLLeagueTwo_Chesapeake;Northern Virginia;Patuxent;71.0;MEDIA;26;;;;;;2026-07-06;PRO: attacco casa positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo || CONTRO: ospite poco prolifico | profilo over esterno debole | BTTS non elevato;1.6;13.0;1.61;8.68;14.0;9.6;7.2;6.4;4.0;4.91;2.1-dev;Northern Virginia - Patuxent
USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Louisiana;70.99;MEDIA;17;;;;;;2026-07-06;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over esterno positivo || CONTRO: trend over casa non forte | profilo over interno debole | BTTS non elevato;1.33;11.16;13.0;2.02;9.55;6.67;8.4;4.0;8.0;6.87;2.1-dev;Little Rock Rangers - Louisiana
USA_MLSNextPro_WesternConference_CentralDivision;Austin FC II;Colorado Rapids 2;69.99;MEDIA;18;;;;;;2026-07-06;PRO: attacco casa positivo | difesa trasferta vulnerabile | profilo over interno positivo || CONTRO: ospite poco prolifico | trend over casa non forte | trend over trasferta non forte | profilo over esterno debole | BTTS non elevato;8.0;13.0;4.43;3.5;13.79;6.0;6.0;5.0;4.0;6.27;2.1-dev;Austin FC II - Colorado Rapids 2
Latvia_Virsliga;Super Nova;Ogre United;69.45;MEDIA;22;;;;;;2026-07-06;PRO: difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | ospite poco prolifico | trend over casa non forte;1.78;5.91;5.91;8.24;14.0;6.0;8.4;5.71;6.0;7.5;2.1-dev;Super Nova - Ogre United
Sweden_Allsvenskan;Brommapojkarna;GAIS;67.09;MEDIA;17;;;;;;2026-07-06;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: BTTS non elevato;0.53;8.86;8.6;7.27;6.36;9.6;7.2;5.33;6.4;6.93;2.1-dev;Brommapojkarna - GAIS
