MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-09-21;Norway_3rdDivision_Group6;Lyn 2;Sarpsborg 08 2;91.52;ALTA;22;2026-09-21;Norway_3rdDivision_Group6;Norway_3rdDivision_Group6;;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;1.38;13.0;13.0;8.0;10.0;9.6;10.8;8.89;8.0;8.84;2.2.def1
2026-09-21;Norway_3rdDivision_Group4;Madla IL;Haugesund 2;90.96;ALTA;24;2026-09-21;Norway_3rdDivision_Group4;Norway_3rdDivision_Group4;;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;5.08;13.0;11.2;4.78;10.0;9.6;12.0;7.78;9.0;8.53;2.2.def1
2026-09-21;Norway_3rdDivision_Group2;Nardo;Ranheim 2;89.48;ALTA;24;2026-09-21;Norway_3rdDivision_Group2;Norway_3rdDivision_Group2;;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;0.92;12.44;13.0;8.0;10.0;9.6;10.8;6.67;8.89;9.16;2.2.def1
2026-09-21;Norway_3rdDivision_Group5;Alta;Strømsgodset 2;89.24;ALTA;23;2026-09-21;Norway_3rdDivision_Group5;Norway_3rdDivision_Group5;;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;2.77;13.0;12.13;5.36;10.0;9.6;9.6;8.89;10.0;7.89;2.2.def1
2026-09-21;Norway_3rdDivision_Group1;K. Oslo 2;Ready;88.37;ALTA;25;2026-09-21;Norway_3rdDivision_Group1;Norway_3rdDivision_Group1;;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;2.31;11.82;13.0;8.0;9.09;10.8;9.6;8.89;6.67;8.2;2.2.def1
2026-09-21;Armenia_FirstLeague;Andranik;Lernayin Artsakh;86.68;ALTA;10;2026-09-21;Armenia_FirstLeague;Armenia_FirstLeague;seconda divisione armena;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | BTTS basso: possibile partita a senso unico;1.2;13.0;13.0;3.64;9.85;10.0;10.0;10.0;10.0;6.0;2.2.def1
2026-09-21;Norway_3rdDivision_Group5;Tromsø 2;Kongsvinger 2;84.46;ALTA;23;2026-09-21;Norway_3rdDivision_Group5;Norway_3rdDivision_Group5;;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;0.92;9.95;11.2;7.85;10.0;9.6;10.8;6.67;8.0;9.47;2.2.def1
2026-09-21;Estonia_EsiliigaB;Levadia U19;Tammeka U21;84.45;ALTA;31;2026-09-21;Estonia_EsiliigaB;Estonia_EsiliigaB;;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;2.0;13.0;13.0;6.75;9.43;8.4;9.6;6.67;7.5;8.1;2.2.def1
2026-09-21;Norway_3rdDivision_Group2;Spjelkavik;Rosenborg 2;83.31;ALTA;24;2026-09-21;Norway_3rdDivision_Group2;Norway_3rdDivision_Group2;;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;0.46;11.82;11.82;7.46;8.37;10.8;9.6;6.67;7.78;8.53;2.2.def1
2026-09-21;Norway_3rdDivision_Group4;Staal Jorpeland;Viking 2;81.65;ALTA;24;2026-09-21;Norway_3rdDivision_Group4;Norway_3rdDivision_Group4;;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.85;11.51;13.0;8.0;6.22;9.6;9.6;7.0;6.67;8.21;2.2.def1
2026-09-21;Norway_3rdDivision_Group4;Odd 2;Stabaek 2;77.1;ALTA;24;2026-09-21;Norway_3rdDivision_Group4;Norway_3rdDivision_Group4;;"PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga || V22DEF_STRONG_DEFENSE[Rule=AWAY_STRONG;Threshold=1.60;Penalty=-13.00;HomeGALast5=1.80;AwayGALast5=1.40;BaseScore=90.10;FinalScore=77.10]";1.38;10.89;12.75;8.0;10.0;10.8;8.4;8.89;8.89;10.11;2.2.def1
