ResetId;ResetAt;TargetMode;TargetValue;Country;LeagueId;CompletedMatchesArchived;RankingRowsRemoved;PostponedRowsRemoved;ResultsFileRemoved;StandingsFileRemoved
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Chesapeake;77;113;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_GreatForest;43;61;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_GreatLakes;48;72;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_GreatPlains;35;53;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Heartland;55;71;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_LoneStar;58;81;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Metropolitan;65;79;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_MidAtlantic;63;97;1;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_MidSouth;45;73;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Mountain;44;59;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_NorCal;56;104;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Northeast;72;103;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Northwest;56;92;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_PlayIn;3;3;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_PlayOff;28;179;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Ranger;37;55;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_SouthAtlantic;81;104;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_SouthCentral;42;66;0;SI;SI
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_SouthFlorida;41;48;0;SI;SI
