Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
8;1;Olympia Yerevan;6;5;1;0;15;5;10;16;2.667
8;2;BKMA 2;7;5;0;2;18;8;10;15;2.143
8;3;Andranik;6;4;1;1;16;6;10;13;2.167
8;4;Bentonit;6;3;2;1;22;14;8;11;1.833
8;5;Pyunik 2;6;3;2;1;12;10;2;11;1.833
8;6;Mika;5;2;1;2;10;11;-1;7;1.4
8;7;Lernayin Artsakh;5;2;0;3;10;11;-1;6;1.2
8;8;Urartu 2;6;1;3;2;9;15;-6;6;1.0
8;9;Noah 2;7;1;3;3;7;18;-11;6;0.857
8;10;Araks Ararat;4;1;2;1;6;5;1;5;1.25
8;11;Shirak 2;4;1;1;2;3;7;-4;4;1.0
8;12;Ararat 2;5;1;0;4;6;10;-4;3;0.6
8;13;Sardarapat 2;5;1;0;4;2;10;-8;3;0.6
8;14;Ararat-Armenia 2;6;0;2;4;6;12;-6;2;0.333
