Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
10;1;Noah;8;8;0;0;21;5;16;24;3.0
10;2;Pyunik;7;5;2;0;15;5;10;17;2.429
10;3;Ararat-Armenia;7;5;1;1;14;7;7;16;2.286
10;4;Alashkert;7;4;2;1;15;3;12;14;2.0
10;5;Sardarapat;7;3;2;2;13;11;2;11;1.571
10;6;Urartu;8;3;2;3;12;10;2;11;1.375
10;7;Shirak;7;3;1;3;10;7;3;10;1.429
10;8;BKMA;7;2;1;4;7;9;-2;7;1.0
10;9;Ararat;7;2;0;5;5;13;-8;6;0.857
10;10;Van;8;1;1;6;4;21;-17;4;0.5
10;11;FC Gandzasar;8;1;0;7;8;20;-12;3;0.375
10;12;Syunik;7;0;2;5;3;16;-13;2;0.286
