Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
20;1;Monaro Panthers;18;15;0;3;74;22;52;45;2.5
20;2;Canberra Croatia;17;14;1;2;51;18;33;43;2.529
20;3;Tigers FC;19;13;2;4;51;21;30;41;2.158
20;4;Canberra Juventus;18;11;1;6;36;31;5;34;1.889
20;5;Tuggeranong Utd;16;11;0;5;37;34;3;33;2.062
20;6;Queanbeyan City;15;8;2;5;32;23;9;26;1.733
20;7;Canberra Olympic;18;5;2;11;34;49;-15;17;0.944
20;8;O'Connor Knights;16;5;1;10;16;31;-15;16;1.0
20;9;Belconnen Utd.;18;2;3;13;24;37;-13;9;0.5
20;10;Canberra White Eagles;18;2;1;15;14;50;-36;7;0.389
20;11;Brindabella;16;2;1;13;10;55;-45;7;0.438
20;12;Canberra Croatia FC;1;1;0;0;3;0;3;3;3.0
20;13;Tuggeranong Utd.;1;1;0;0;1;0;1;3;3.0
20;14;Belconnen United;1;0;0;1;0;1;-1;0;0.0
20;15;Canberra White Eagles FC;1;0;0;1;0;2;-2;0;0.0
20;16;Brindabella Blues FC;1;0;0;1;0;9;-9;0;0.0
