Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
16;1;Monaro Panthers;14;11;0;3;51;21;30;33;2.357
16;2;Tigers FC;15;10;1;4;41;18;23;31;2.067
16;3;Canberra Croatia;13;10;1;2;38;16;22;31;2.385
16;4;Tuggeranong Utd;13;9;0;4;33;29;4;27;2.077
16;5;Canberra Juventus;13;8;1;4;30;23;7;25;1.923
16;6;Queanbeyan City;12;8;0;4;27;17;10;24;2.0
16;7;O'Connor Knights;14;5;0;9;15;28;-13;15;1.071
16;8;Canberra Olympic;13;4;1;8;30;37;-7;13;1.0
16;9;Belconnen Utd.;14;2;2;10;23;33;-10;8;0.571
16;10;Brindabella;13;2;1;10;9;42;-33;7;0.538
16;11;Canberra White Eagles;14;1;1;12;10;43;-33;4;0.286
