Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
20;1;Broadmeadow;18;12;4;2;49;22;27;40;2.222
20;2;Weston Bears;19;11;3;5;44;31;13;36;1.895
20;3;Maitland;18;10;3;5;34;28;6;33;1.833
20;4;Belmont Swansea Utd.;17;9;5;3;40;30;10;32;1.882
20;5;Edgeworth E.;17;8;5;4;34;29;5;29;1.706
20;6;Cooks Hill United;18;7;5;6;36;31;5;26;1.444
20;7;Lambton J.;19;6;4;9;35;30;5;22;1.158
20;8;Valentine;18;5;4;9;18;36;-18;19;1.056
20;9;Newcastle Olympic;18;4;6;8;33;32;1;18;1.0
20;10;Adamstown Rosebud;18;4;5;9;25;36;-11;17;0.944
20;11;Kahibah;18;4;2;12;28;46;-18;14;0.778
20;12;Charlestown Azzurri;18;4;2;12;24;49;-25;14;0.778
