Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
19;1;Broadmeadow;18;12;4;2;49;22;27;40;2.222
19;2;Belmont Swansea Utd.;17;9;5;3;40;30;10;32;1.882
19;3;Weston Bears;17;9;3;5;34;29;5;30;1.765
19;4;Maitland;17;9;3;5;33;28;5;30;1.765
19;5;Edgeworth E.;17;8;5;4;34;29;5;29;1.706
19;6;Cooks Hill United;18;7;5;6;36;31;5;26;1.444
19;7;Lambton J.;18;6;4;8;35;29;6;22;1.222
19;8;Valentine;18;5;4;9;18;36;-18;19;1.056
19;9;Newcastle Olympic;18;4;6;8;33;32;1;18;1.0
19;10;Adamstown Rosebud;18;4;5;9;25;36;-11;17;0.944
19;11;Kahibah;17;4;2;11;26;41;-15;14;0.824
19;12;Charlestown Azzurri;17;4;2;11;24;44;-20;14;0.824
