Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
24;1;Adelaide City;22;14;6;2;43;16;27;48;2.182
24;2;West Torrens;21;13;3;5;52;28;24;42;2.0
24;3;NE Metrostars;21;12;5;4;51;23;28;41;1.952
24;4;FK Beograd;22;11;3;8;36;27;9;36;1.636
24;5;Playford Patriots;21;9;5;7;40;30;10;32;1.524
24;6;Croydon;21;8;6;7;46;39;7;30;1.429
24;7;Sturt Lions;23;9;3;11;36;37;-1;30;1.304
24;8;Adelaide United U23;21;7;8;6;32;30;2;29;1.381
24;9;Campbelltown City;22;7;6;9;32;35;-3;27;1.227
24;10;West Adelaide;22;6;7;9;39;43;-4;25;1.136
24;11;Adelaide Comets;21;4;5;12;20;36;-16;17;0.81
24;12;Croydon Kings;1;1;0;0;3;0;3;3;3.0
24;13;North Eastern Metro Stars;1;1;0;0;3;1;2;3;3.0
24;14;West Torrens Birkalla;2;1;0;1;5;4;1;3;1.5
24;15;Para;21;0;2;19;14;97;-83;2;0.095
24;16;Adelaide United Youth;2;0;1;1;0;3;-3;1;0.5
24;17;Playford City Patriots;1;0;0;1;0;1;-1;0;0.0
24;18;Para Hills Knights;1;0;0;1;0;2;-2;0;0.0
