Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
17;1;NE Metrostars;16;10;4;2;45;17;28;34;2.125
17;2;West Torrens;16;10;3;3;33;23;10;33;2.062
17;3;Adelaide City;16;9;5;2;31;14;17;32;2.0
17;4;FK Beograd;16;8;3;5;30;19;11;27;1.688
17;5;Croydon;17;8;3;6;38;30;8;27;1.588
17;6;Playford Patriots;16;7;5;4;35;25;10;26;1.625
17;7;Adelaide United U23;16;5;6;5;22;24;-2;21;1.312
17;8;West Adelaide;16;4;6;6;33;33;0;18;1.125
17;9;Sturt Lions;16;6;0;10;29;30;-1;18;1.125
17;10;Campbelltown City;16;5;3;8;27;29;-2;18;1.125
17;11;Adelaide Comets;17;3;4;10;19;34;-15;13;0.765
17;12;Para;16;0;2;14;9;73;-64;2;0.125
