Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
20;1;South Hobart;18;14;2;2;60;15;45;44;2.444
20;2;Kingborough Lions;18;13;1;4;49;17;32;40;2.222
20;3;Devonport;17;13;1;3;50;19;31;40;2.353
20;4;Launceston;17;10;1;6;40;30;10;31;1.824
20;5;Clarence Zebras;18;8;4;6;31;28;3;28;1.556
20;6;Riverside Olympic;18;7;3;8;30;32;-2;24;1.333
20;7;South East Utd.;17;6;0;11;22;48;-26;18;1.059
20;8;Glenorchy Knights;18;4;3;11;23;34;-11;15;0.833
20;9;Ulverstone;18;2;1;15;14;57;-43;7;0.389
20;10;Launceston United;17;1;2;14;16;59;-43;5;0.294
20;11;Devonport City;1;1;0;0;4;1;3;3;3.0
20;12;South East United;1;1;0;0;1;0;1;3;3.0
