Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
26;1;Oakleigh;24;15;6;3;49;21;28;51;2.125
26;2;Hume City;23;13;4;6;43;28;15;43;1.87
26;3;Preston Lions;22;13;4;5;33;18;15;43;1.955
26;4;Avondale FC;23;13;2;8;59;31;28;41;1.783
26;5;South Melbourne;24;13;2;9;36;33;3;41;1.708
26;6;Dandenong City;26;10;7;9;35;30;5;37;1.423
26;7;Heidelberg;23;9;7;7;34;28;6;34;1.478
26;8;George Cross;23;7;11;5;29;29;0;32;1.391
26;9;Melbourne City U21;22;8;6;8;39;27;12;30;1.364
26;10;Altona Magic;26;8;6;12;28;42;-14;30;1.154
26;11;St Albans;25;7;7;11;28;44;-16;28;1.12
26;12;Bentleigh;24;5;6;13;21;47;-26;21;0.875
26;13;Dandenong Thunder;23;4;3;16;23;51;-28;15;0.652
26;14;Green Gully;24;3;6;15;20;49;-29;15;0.625
26;15;Melbourne City FC Youth;2;2;0;0;5;0;5;6;3.0
26;16;Oakleigh Cannons;2;1;1;0;2;1;1;4;2.0
26;17;Melbourne City Youth;1;1;0;0;2;0;2;3;3.0
26;18;Caroline Springs George Cross;1;0;1;0;1;1;0;1;1.0
26;19;Hume City FC;1;0;1;0;0;0;0;1;1.0
26;20;Bentleigh Greens;1;0;0;1;0;1;-1;0;0.0
26;21;Dandenong Thunder SC;1;0;0;1;0;1;-1;0;0.0
26;22;Heidelberg United;1;0;0;1;0;1;-1;0;0.0
26;23;Avondale;1;0;0;1;1;3;-2;0;0.0
26;24;St Albans Saints;1;0;0;1;0;2;-2;0;0.0
