Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
18;1;Perth RedStar;17;10;4;3;28;22;6;34;2.0
18;2;Olympic Kingsway;17;10;3;4;37;25;12;33;1.941
18;3;Bayswater City;17;9;5;3;42;25;17;32;1.882
18;4;Fremantle City;18;7;7;4;35;27;8;28;1.556
18;5;Perth Azzurri;17;7;7;3;40;33;7;28;1.647
18;6;Dianella White Eagle;17;6;6;5;32;30;2;24;1.412
18;7;Stirling Macedonia;17;7;2;8;32;27;5;23;1.353
18;8;Western Knights;17;6;4;7;31;30;1;22;1.294
18;9;Sorrento;18;6;2;10;18;31;-13;20;1.111
18;10;Armadale;17;4;4;9;33;45;-12;16;0.941
18;11;Perth Glory U23;17;3;4;10;28;36;-8;13;0.765
18;12;Balcatta;17;3;2;12;24;49;-25;11;0.647
