Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
28;1;Blacktown Spartans;28;20;5;3;75;35;40;65;2.321
28;2;Northern Tigers;26;14;7;5;45;26;19;49;1.885
28;3;Bankstown City Lions;26;14;5;7;49;40;9;47;1.808
28;4;Macarthur Rams;26;13;6;7;36;29;7;45;1.731
28;5;Canterbury Bankstown;25;12;5;8;58;41;17;41;1.64
28;6;Rydalmere Lions;25;10;7;8;37;35;2;37;1.48
28;7;Bulls Academy;25;11;3;11;47;40;7;36;1.44
28;8;Hills United;25;10;6;9;43;41;2;36;1.44
28;9;Hakoah Sydney;25;8;9;8;42;40;2;33;1.32
28;10;Hurstville Zagreb;25;9;6;10;39;40;-1;33;1.32
28;11;Central Coast Mariners U23;25;7;6;12;41;50;-9;27;1.08
28;12;Newcastle Jets U23;25;6;8;11;47;56;-9;26;1.04
28;13;Dulwich Hill;25;6;8;11;31;47;-16;26;1.04
28;14;Inter Lions;25;7;5;13;30;47;-17;26;1.04
28;15;Prospect United;26;2;13;11;25;46;-21;19;0.731
28;16;Western City Rangers;25;5;4;16;29;52;-23;19;0.76
28;17;Mt Druitt Town Rangers;1;1;0;0;3;2;1;3;3.0
28;18;Rydalmere;2;1;0;1;3;4;-1;3;1.5
28;19;Dulwich Hill FC;1;0;1;0;2;2;0;1;1.0
28;20;Inter Lions FC;1;0;0;1;2;3;-1;0;0.0
28;21;Northbridge FC Bulls;1;0;0;1;2;3;-1;0;0.0
28;22;Central Coast Mariners Youth;1;0;0;1;1;2;-1;0;0.0
28;23;Hills United FC;1;0;0;1;1;2;-1;0;0.0
28;24;Newcastle Jets Youth;1;0;0;1;2;7;-5;0;0.0
