Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
22;1;Blacktown Spartans;21;13;5;3;49;28;21;44;2.095
22;2;Northern Tigers;21;11;6;4;37;18;19;39;1.857
22;3;Canterbury Bankstown;22;11;5;6;54;36;18;38;1.727
22;4;Bankstown City Lions;21;12;2;7;37;34;3;38;1.81
22;5;Macarthur Rams;21;10;5;6;26;21;5;35;1.667
22;6;Hills United;21;9;5;7;37;34;3;32;1.524
22;7;Bulls Academy;21;9;3;9;37;28;9;30;1.429
22;8;Hakoah Sydney;22;7;8;7;39;37;2;29;1.318
22;9;Rydalmere Lions;21;7;7;7;30;33;-3;28;1.333
22;10;Central Coast Mariners U23;21;7;6;8;38;41;-3;27;1.286
22;11;Hurstville Zagreb;22;7;5;10;33;37;-4;26;1.182
22;12;Inter Lions;21;7;3;11;25;37;-12;24;1.143
22;13;Newcastle Jets U23;21;5;7;9;39;43;-4;22;1.048
22;14;Dulwich Hill;21;5;7;9;21;37;-16;22;1.048
22;15;Prospect United;22;2;12;8;21;39;-18;18;0.818
22;16;Western City Rangers;21;3;4;14;23;43;-20;13;0.619
