Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
16;1;Lake Macquarie;15;11;1;3;55;21;34;34;2.267
16;2;Wallsend Red Devils;14;9;4;1;39;19;20;31;2.214
16;3;New Lambton;15;8;2;5;35;26;9;26;1.733
16;4;Newcastle Croatia;15;8;0;7;38;35;3;24;1.6
16;5;Dudley Redhead United;14;6;3;5;21;22;-1;21;1.5
16;6;Cessnock City Hornets;15;6;2;7;24;27;-3;20;1.333
16;7;West Wallsend;14;5;3;6;26;35;-9;18;1.286
16;8;Singleton Strikers;15;4;3;8;17;35;-18;15;1.0
16;9;South Cardiff;14;3;1;10;11;25;-14;10;0.714
16;10;Toronto Awaba Stags;15;3;1;11;20;41;-21;10;0.667
