Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
14;1;Lake Macquarie;14;10;1;3;50;20;30;31;2.214
14;2;Wallsend Red Devils;13;9;3;1;37;17;20;30;2.308
14;3;New Lambton;13;7;2;4;29;19;10;23;1.769
14;4;Newcastle Croatia;14;7;0;7;33;33;0;21;1.5
14;5;Dudley Redhead United;14;6;3;5;21;22;-1;21;1.5
14;6;West Wallsend;13;5;3;5;24;32;-8;18;1.385
14;7;Cessnock City Hornets;14;5;2;7;21;25;-4;17;1.214
14;8;Singleton Strikers;14;4;3;7;15;30;-15;15;1.071
14;9;South Cardiff;14;3;1;10;11;25;-14;10;0.714
14;10;Toronto Awaba Stags;13;3;0;10;16;34;-18;9;0.692
