Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
23;1;Brisbane Strikers;20;16;3;1;47;15;32;51;2.55
23;2;Broadbeach Utd.;19;14;4;1;48;18;30;46;2.421
23;3;Ipswich;19;9;4;6;32;29;3;31;1.632
23;4;Sunshine Coast Wanderers;19;8;6;5;38;26;12;30;1.579
23;5;Robina City;20;8;6;6;31;21;10;30;1.5
23;6;Redlands;19;8;5;6;38;31;7;29;1.526
23;7;Logan Lightning;20;8;3;9;40;38;2;27;1.35
23;8;Caboolture;19;7;3;9;33;34;-1;24;1.263
23;9;Holland Park Hawks;20;6;4;10;30;41;-11;22;1.1
23;10;St. George Willawong;19;4;1;14;11;41;-30;13;0.684
23;11;North Star;19;3;3;13;18;40;-22;12;0.632
23;12;Capalaba;20;3;3;14;21;53;-32;12;0.6
23;13;Redlands United;3;2;0;1;7;7;0;6;2.0
23;14;St George Willawong FC;1;1;0;0;2;0;2;3;3.0
23;15;Broadbeach United;1;0;1;0;0;0;0;1;1.0
23;16;North Star FC;1;0;0;1;1;2;-1;0;0.0
23;17;Ipswich FC;1;0;0;1;0;1;-1;0;0.0
