Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
15;1;South Hobart U21;14;9;1;4;62;26;36;28;2.0
15;2;Olympia Warriors;14;9;1;4;39;23;16;28;2.0
15;3;Hobart City;14;8;4;2;38;23;15;28;2.0
15;4;New Town;14;7;5;2;48;17;31;26;1.857
15;5;Taroona;13;7;3;3;46;18;28;24;1.846
15;6;Clarence Zebras U21;13;6;1;6;33;35;-2;19;1.462
15;7;Glenorchy Knights U21;14;3;2;9;37;53;-16;11;0.786
15;8;Hobart Utd.;14;3;2;9;26;64;-38;11;0.786
15;9;University of Tasmania;14;3;1;10;27;53;-26;10;0.714
15;10;South East Utd. U21;6;0;0;6;6;50;-44;0;0.0
