Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
22;1;Melbourne Knights;21;14;2;5;37;16;21;44;2.095
22;2;Northcote City;21;12;4;5;37;23;14;40;1.905
22;3;Brunswick Juventus;20;13;0;7;40;30;10;39;1.95
22;4;Eltham Redbacks;21;10;4;7;54;36;18;34;1.619
22;5;Manningham United Blues;22;9;4;9;39;43;-4;31;1.409
22;6;Bulleen;20;8;6;6;33;27;6;30;1.5
22;7;Melbourne Srbija;19;9;2;8;24;22;2;29;1.526
22;8;Melbourne Victory U21;20;8;4;8;46;38;8;28;1.4
22;9;North Geelong;19;9;1;9;33;37;-4;28;1.474
22;10;Brunswick City;21;8;3;10;39;42;-3;27;1.286
22;11;Western Utd. U21;20;8;1;11;42;50;-8;25;1.25
22;12;Langwarrin;20;6;5;9;36;45;-9;23;1.15
22;13;North Sunshine Eagles;20;5;3;12;28;36;-8;18;0.9
22;14;Port Melbourne Sharks;20;2;4;14;10;48;-38;10;0.5
22;15;Western United FC Youth;1;1;0;0;3;2;1;3;3.0
22;16;North Sunshine Eagles SC;1;0;1;0;2;2;0;1;1.0
22;17;North Geelong Warriors;1;0;1;0;1;1;0;1;1.0
22;18;Port Melbourne Sharks SC;1;0;1;0;1;1;0;1;1.0
22;19;Melbourne Victory Youth;1;0;0;1;2;3;-1;0;0.0
22;20;Langwarrin SC;1;0;0;1;1;6;-5;0;0.0
